DATE,ALBPPRIVSA
1988-01-01,806.5103264439149
1988-02-01,1406.79462798259
1988-03-01,914.646503568414
1988-04-01,809.122731038893
1988-05-01,1054.04224766466
1988-06-01,1053.92054982246
1988-07-01,1092.61982793488
1988-08-01,1073.38600437935
1988-09-01,957.183289830007
1988-10-01,766.5815593214661
1988-11-01,916.2915234130811
1988-12-01,1473.11405562923
1989-01-01,897.670593160695
1989-02-01,788.236889935397
1989-03-01,888.4516923114411
1989-04-01,824.826366252905
1989-05-01,868.469636224592
1989-06-01,1159.79999267181
1989-07-01,767.4968460625701
1989-08-01,1262.24462296246
1989-09-01,892.45269627434
1989-10-01,986.6774132620089
1989-11-01,947.381846939264
1989-12-01,942.453005781378
1990-01-01,821.206744295693
1990-02-01,1130.02014212976
1990-03-01,1298.46629138919
1990-04-01,1121.80847881715
1990-05-01,1149.82092661365
1990-06-01,904.6108594381129
1990-07-01,989.8938171678329
1990-08-01,820.609584683045
1990-09-01,778.57751826327
1990-10-01,1034.11194495892
1990-11-01,1094.1963009849
1990-12-01,909.186518469644
1991-01-01,598.733947994598
1991-02-01,893.119185396288
1991-03-01,828.0050274070151
1991-04-01,919.551842946331
1991-05-01,815.453061096523
1991-06-01,823.227372115914
1991-07-01,950.176528908712
1991-08-01,990.561754545932
1991-09-01,1161.79594526388
1991-10-01,915.828396496261
1991-11-01,933.890157129908
1991-12-01,619.336550279153
1992-01-01,1496.94093473982
1992-02-01,990.9794270669031
1992-03-01,1004.91088625195
1992-04-01,1137.04492209291
1992-05-01,1018.4562586616499
1992-06-01,930.446560547995
1992-07-01,936.5036604913631
1992-08-01,911.8853883437371
1992-09-01,1492.76135253721
1992-10-01,1065.5327116154901
1992-11-01,1126.4791296006301
1992-12-01,975.165665769259
1993-01-01,1344.2373752549902
1993-02-01,1095.63363833029
1993-03-01,877.505600084637
1993-04-01,1042.4752777875901
1993-05-01,978.188204571273
1993-06-01,1621.7413984935401
1993-07-01,1303.61723969012
1993-08-01,1231.1754556634
1993-09-01,1443.89864160924
1993-10-01,913.257510250562
1993-11-01,1185.6930328216902
1993-12-01,1718.14382375922
1994-01-01,1753.41542918776
1994-02-01,1429.01857644208
1994-03-01,1682.2172124632502
1994-04-01,1669.5747644909302
1994-05-01,1657.3626187125901
1994-06-01,1796.5008922178101
1994-07-01,1517.12297023584
1994-08-01,1671.4250060023599
1994-09-01,1343.7502783888601
1994-10-01,1179.8674811011
1994-11-01,1531.0097308815
1994-12-01,1328.8926682692402
1995-01-01,1667.72290597137
1995-02-01,1197.4473459130302
1995-03-01,1329.18732758818
1995-04-01,1540.92924724042
