DATE,NCBPPRIVSA
1988-01-01,2151.56866169459
1988-02-01,4750.3427686955
1988-03-01,4813.47958267698
1988-04-01,4023.4567435151703
1988-05-01,4502.038813529671
1988-06-01,4434.06372231725
1988-07-01,3958.8705898427397
1988-08-01,4341.70937968585
1988-09-01,4277.79761555024
1988-10-01,4230.69792479836
1988-11-01,4203.51702474802
1988-12-01,3829.98172387671
1989-01-01,4212.64248139451
1989-02-01,3666.51299822484
1989-03-01,2875.56390394169
1989-04-01,4178.03718194757
1989-05-01,4154.37507638954
1989-06-01,4217.02122278224
1989-07-01,4180.2602644938
1989-08-01,4118.26486262122
1989-09-01,3470.0146513453697
1989-10-01,4041.9579700572
1989-11-01,3745.8318548090706
1989-12-01,4047.9794057433796
1990-01-01,4785.44134470067
1990-02-01,3718.8971935067498
1990-03-01,3629.5376696904796
1990-04-01,3165.0257026879603
1990-05-01,3139.00656284437
1990-06-01,3472.7476904226896
1990-07-01,3212.1362140525603
1990-08-01,3224.20282264266
1990-09-01,3216.12446993879
1990-10-01,2775.62020106562
1990-11-01,3209.9262549483897
1990-12-01,2739.8357210302397
1991-01-01,3075.45529026987
1991-02-01,2810.4786234988896
1991-03-01,2936.57077111016
1991-04-01,3418.8661526051
1991-05-01,3299.5205414303005
1991-06-01,3074.5380181000896
1991-07-01,3318.2553324025703
1991-08-01,3509.0061497490997
1991-09-01,3593.2321400765004
1991-10-01,3762.4555419257103
1991-11-01,3481.93017897338
1991-12-01,3751.3490021224297
1992-01-01,4963.17102506558
1992-02-01,4430.36517833212
1992-03-01,4115.68074083356
1992-04-01,4206.36056864347
1992-05-01,3800.1818961766703
1992-06-01,3399.99348818849
1992-07-01,4351.291316658971
1992-08-01,3516.68184482544
1992-09-01,4455.407801593329
1992-10-01,3986.1998103069895
1992-11-01,3394.2559154764504
1992-12-01,4468.90994787256
1993-01-01,4330.04494130632
1993-02-01,4748.10724669387
1993-03-01,4189.38999458069
1993-04-01,5672.127584727671
1993-05-01,2910.22704652914
1993-06-01,4302.051977892221
1993-07-01,4377.2435780385495
1993-08-01,4820.340125229221
1993-09-01,4341.83576606258
1993-10-01,4577.19505162354
1993-11-01,5176.02181918868
1993-12-01,5372.414692266921
1994-01-01,4636.80229615012
1994-02-01,4810.85650365782
1994-03-01,5413.310187233929
1994-04-01,5185.79929696156
1994-05-01,5376.27733032224
1994-06-01,5749.425572164229
1994-07-01,4475.30556734996
1994-08-01,5583.41613417138
1994-09-01,5953.28053463715
1994-10-01,5703.88695684074
1994-11-01,5344.34062369115
1994-12-01,4823.46841703243
1995-01-01,5108.28417576007
1995-02-01,4527.77168579585
1995-03-01,5025.98763407426
1995-04-01,4333.47877152443
1995-05-01,5069.91938439116
1995-06-01,5105.29780916783
1995-07-01,4708.71915601476
1995-08-01,6578.10384125852
1995-09-01,4714.38842206247
1995-10-01,5042.165571050639
1995-11-01,5995.43087212089
1995-12-01,5204.93718759112
1996-01-01,5276.11260899348
1996-02-01,5403.04404198128
1996-03-01,4847.24140217828
1996-04-01,5881.615280026839
1996-05-01,7179.511865062529
1996-06-01,5408.79760997221
1996-07-01,5586.090397606221
1996-08-01,5164.32479084785
1996-09-01,5192.560693129521
1996-10-01,5565.62423585344
1996-11-01,5618.58974887917
1996-12-01,5376.31321143906
1997-01-01,5749.37910853869
1997-02-01,5509.394014553411
1997-03-01,5205.73161334549
1997-04-01,6606.793563152521
1997-05-01,6129.81828140391
1997-06-01,6088.64578584477
1997-07-01,6021.766304739829
1997-08-01,5737.383370639101
1997-09-01,6345.674749850289
1997-10-01,7145.8361180684415
1997-11-01,6258.00368311707
1997-12-01,6283.0157603275
1998-01-01,6036.33731802536
1998-02-01,6527.256310097149
1998-03-01,7121.5271638327695
1998-04-01,6631.692486721229
1998-05-01,5731.823341167421
1998-06-01,6465.06222238879
1998-07-01,6677.14958645857
1998-08-01,6730.55532250831
1998-09-01,7461.876994796729
1998-10-01,6888.68763915338
1998-11-01,6314.285236956121
1998-12-01,7425.90412542716
1999-01-01,7510.74032761352
1999-02-01,6824.65797760306
1999-03-01,7025.84731305982
1999-04-01,6326.715300621589
1999-05-01,6676.279287062011
1999-06-01,9520.02907559338
1999-07-01,7272.23526486354
1999-08-01,7045.68938512615
1999-09-01,5870.28559867042
1999-10-01,5939.933569337039
1999-11-01,6539.96485237261
1999-12-01,6839.76650143135
2000-01-01,5757.2680097101
2000-02-01,6973.454951557579
2000-03-01,7019.62601400876
2000-04-01,5677.8160902641
2000-05-01,6169.73160239994
2000-06-01,7365.0571688256005
2000-07-01,5239.79058437798
2000-08-01,6323.60984619016
2000-09-01,5905.21200544984
2000-10-01,6319.0668813988905
2000-11-01,5914.32512269109
2000-12-01,5427.22415345865
2001-01-01,8246.41860512287
2001-02-01,5993.2864468512
2001-03-01,6077.26898285241
2001-04-01,7053.31591245448
2001-05-01,7146.008394188921
2001-06-01,6361.91930460807
2001-07-01,6002.00101700082
2001-08-01,6258.2081884894
2001-09-01,6746.56608740302
2001-10-01,6202.994066472879
2001-11-01,7316.15632977394
2001-12-01,6247.8090294168205
2002-01-01,6424.62822056324
2002-02-01,7126.4558235453505
2002-03-01,6079.41795829298
2002-04-01,6959.17854312433
2002-05-01,6428.421253545601
2002-06-01,6501.11056845179
2002-07-01,6869.02757452351
2002-08-01,6421.94147735587
2002-09-01,6497.095130330191
2002-10-01,7016.208440327161
2002-11-01,6479.250050171109
2002-12-01,9184.03934667095
2003-01-01,7007.98880359422
2003-02-01,4995.96627626785
2003-03-01,5949.77910065714
