DATE,TNBPPRIVSA
1988-01-01,1302.70915722228
1988-02-01,2704.03771189721
1988-03-01,2318.1395611978196
1988-04-01,2425.08252656578
1988-05-01,2604.79772683075
1988-06-01,2532.26359504435
1988-07-01,2372.68552501985
1988-08-01,2174.9445799772698
1988-09-01,2502.4926129456
1988-10-01,1748.93258696701
1988-11-01,2435.63287755112
1988-12-01,2481.2564103854397
1989-01-01,3472.95126707776
1989-02-01,1641.52584787487
1989-03-01,2092.1110602060503
1989-04-01,2631.71229822734
1989-05-01,2229.8447767603398
1989-06-01,1898.8465891474802
1989-07-01,1847.3184179195898
1989-08-01,2107.75736436612
1989-09-01,1918.3685927687302
1989-10-01,1958.1889351629998
1989-11-01,2175.19489325635
1989-12-01,2006.38712679018
1990-01-01,3077.98631110878
1990-02-01,1564.52880196768
1990-03-01,2552.47545087662
1990-04-01,1863.1784409686
1990-05-01,1738.5982550359197
1990-06-01,1783.5048745664103
1990-07-01,1962.9941787856
1990-08-01,1780.9010572768302
1990-09-01,1494.93512309716
1990-10-01,1523.85896347091
1990-11-01,1367.94436697477
1990-12-01,1206.5695211849002
1991-01-01,1221.20422503076
1991-02-01,1276.44539350684
1991-03-01,1607.3318814803602
1991-04-01,1617.2524396079598
1991-05-01,1719.21677065961
1991-06-01,2546.23684376881
1991-07-01,1833.8388098680603
1991-08-01,1580.2082825484
1991-09-01,1865.9632912056302
1991-10-01,1913.5613042065197
1991-11-01,1893.3040795979398
1991-12-01,1856.1388277941396
1992-01-01,1918.96837412293
1992-02-01,2151.84418914547
1992-03-01,2092.1118209266
1992-04-01,1988.32252381036
1992-05-01,2056.98491541864
1992-06-01,2055.5675255872
1992-07-01,2057.2352554653303
1992-08-01,2229.84464239495
1992-09-01,2315.62189545318
1992-10-01,2201.72165279062
1992-11-01,1976.21616173388
1992-12-01,2546.64697573933
1993-01-01,2381.4027485217102
1993-02-01,2314.44818028612
1993-03-01,2231.85432914151
1993-04-01,2615.29088050696
1993-05-01,2339.6975889697
1993-06-01,2727.41889814314
1993-07-01,2593.6457532601103
1993-08-01,2645.63556247092
1993-09-01,2909.64102808205
1993-10-01,2969.15074551091
1993-11-01,2923.27845010291
1993-12-01,3107.6146360331395
1994-01-01,2368.23172212062
1994-02-01,3154.76897935438
1994-03-01,3239.77218104976
1994-04-01,3158.6041622523403
1994-05-01,2989.87364028805
1994-06-01,2875.27313498284
1994-07-01,2505.59187979592
1994-08-01,2962.5779085011895
1994-09-01,2722.73660001894
1994-10-01,2570.40307546737
1994-11-01,3163.07829172178
1994-12-01,2968.5605026358503
1995-01-01,2911.39129733091
1995-02-01,2989.60241070023
1995-03-01,2974.7290120617604
1995-04-01,2488.1249546866197
1995-05-01,2925.89749068802
1995-06-01,2839.4780326923496
1995-07-01,3229.11997186659
1995-08-01,3436.52880489269
1995-09-01,3040.81946322898
1995-10-01,3637.3316869534997
1995-11-01,3141.43054105907
1995-12-01,3162.67026984813
1996-01-01,3460.37483831695
1996-02-01,2995.1110724951
1996-03-01,3001.23875830948
1996-04-01,3406.4894349961796
1996-05-01,4639.02609709827
1996-06-01,3838.8759465654903
1996-07-01,3844.4000257092
1996-08-01,2855.38036392531
1996-09-01,4645.06885727559
1996-10-01,3457.01731719709
1996-11-01,3553.27032773181
1996-12-01,3516.25523156826
1997-01-01,3304.63029927151
1997-02-01,3012.36620630047
1997-03-01,3170.96318132026
1997-04-01,3529.54018107541
1997-05-01,3079.10967448799
1997-06-01,3155.0645675813503
1997-07-01,3071.25264344418
1997-08-01,2883.79773734297
1997-09-01,3590.48763623136
1997-10-01,3828.50081167759
1997-11-01,2776.0224080602698
1997-12-01,3047.49816479042
1998-01-01,2930.44251893899
1998-02-01,3350.90100252388
1998-03-01,3144.2162653019604
1998-04-01,2968.6870463462897
1998-05-01,3174.7434989772996
1998-06-01,3038.9257043755397
1998-07-01,3206.87692287963
1998-08-01,3232.6360034082204
1998-09-01,3276.9706492437895
1998-10-01,2919.84956588829
1998-11-01,3443.89091985007
1998-12-01,3200.8676952423903
1999-01-01,2447.2040907031896
1999-02-01,3362.4369886942304
1999-03-01,3119.89851190432
1999-04-01,3349.0783710079
1999-05-01,2824.89450527266
1999-06-01,3308.3195109967305
1999-07-01,3115.4922421216697
1999-08-01,2962.9699890492197
1999-09-01,2742.05882692712
1999-10-01,3879.3690818389
1999-11-01,3333.83814039324
1999-12-01,3382.86852945569
2000-01-01,3219.39411498489
2000-02-01,3127.9439703641197
2000-03-01,3258.23060309037
2000-04-01,2610.2607888901503
2000-05-01,3129.44950506545
2000-06-01,2402.0383554291698
2000-07-01,2924.79522835042
2000-08-01,2737.37385890005
2000-09-01,2779.55587578438
2000-10-01,2964.2555966928603
2000-11-01,2840.36031850467
2000-12-01,2497.50653598541
2001-01-01,3013.5562714387397
2001-02-01,2982.38072019922
2001-03-01,2864.93451920523
2001-04-01,2831.0862839081897
2001-05-01,2848.1090306559304
2001-06-01,3088.7341556961
2001-07-01,2394.73758989018
2001-08-01,3616.13266068052
2001-09-01,2366.45606650112
2001-10-01,2334.81812450654
2001-11-01,2356.54693242919
2001-12-01,2334.5863225715498
2002-01-01,2615.22828925496
2002-02-01,3348.14528341238
2002-03-01,2350.14919122958
2002-04-01,2798.76628145834
2002-05-01,2912.12317651279
2002-06-01,2630.5288302294503
2002-07-01,2858.27957427025
2002-08-01,2756.87034929255
2002-09-01,3674.99900964895
2002-10-01,3044.2042320720197
2002-11-01,2785.658097284
2002-12-01,2748.44563366166
2003-01-01,2736.35199170714
