DATE,IABPPRIVSA
1988-01-01,437.547750684888
1988-02-01,508.098591111786
1988-03-01,531.52704219287
1988-04-01,477.89982850093696
1988-05-01,478.718599748461
1988-06-01,692.6101953529111
1988-07-01,518.914166513556
1988-08-01,417.014729962522
1988-09-01,558.574369922508
1988-10-01,654.9928951704429
1988-11-01,717.722570700259
1988-12-01,721.79730796182
1989-01-01,661.302257173056
1989-02-01,581.714926207261
1989-03-01,599.459471040116
1989-04-01,584.581394976223
1989-05-01,549.198962299461
1989-06-01,700.156803623731
1989-07-01,594.9948346915451
1989-08-01,730.355551183107
1989-09-01,647.1788066492591
1989-10-01,708.8074918386391
1989-11-01,609.219016264532
1989-12-01,606.634647948861
1990-01-01,782.675210511751
1990-02-01,1010.94611214705
1990-03-01,584.391426474102
1990-04-01,714.983928220549
1990-05-01,635.2510060552739
1990-06-01,520.623995050534
1990-07-01,585.239463166575
1990-08-01,724.314336269432
1990-09-01,545.233354238107
1990-10-01,467.20039737131697
1990-11-01,641.459650669237
1990-12-01,571.066537453126
1991-01-01,502.45153929992404
1991-02-01,676.328825648422
1991-03-01,678.0256936425891
1991-04-01,685.201137360596
1991-05-01,865.180985722982
1991-06-01,639.499320233128
1991-07-01,1012.9651518617401
1991-08-01,623.442233168115
1991-09-01,793.9840839028461
1991-10-01,660.208373691234
1991-11-01,798.237715716215
1991-12-01,808.023287555014
1992-01-01,916.826423284895
1992-02-01,906.463928479951
1992-03-01,1026.81068266522
1992-04-01,697.3676314962939
1992-05-01,787.689761791082
1992-06-01,1021.3032040943301
1992-07-01,1286.21644082641
1992-08-01,909.870541558723
1992-09-01,846.1663816111039
1992-10-01,892.728263984113
1992-11-01,741.748066219915
1992-12-01,842.08806759692
1993-01-01,870.9280482666929
1993-02-01,744.5519973603931
1993-03-01,784.219665563369
1993-04-01,777.443260284797
1993-05-01,836.151986792686
1993-06-01,786.288326075972
1993-07-01,692.7636850407449
1993-08-01,931.033824160493
1993-09-01,1125.54988484765
1993-10-01,1046.54164767074
1993-11-01,1415.60426325066
1993-12-01,1008.8706877117099
1994-01-01,948.8958868220129
1994-02-01,828.165519483235
1994-03-01,994.855163766135
1994-04-01,1492.7425707562
1994-05-01,1031.00529087225
1994-06-01,959.066160308108
1994-07-01,1063.1075489280001
1994-08-01,882.5712348362489
1994-09-01,846.561924164539
1994-10-01,945.0136659485061
1994-11-01,909.117331837394
1994-12-01,1580.74717846185
1995-01-01,812.062412597296
1995-02-01,958.019848864466
1995-03-01,651.852131264945
1995-04-01,834.0396967154829
1995-05-01,950.631122370392
1995-06-01,906.981275119912
1995-07-01,972.541059871524
1995-08-01,733.161117915883
1995-09-01,814.717756652117
1995-10-01,1177.46637259366
1995-11-01,1044.94269071632
1995-12-01,781.0238754916201
1996-01-01,859.601761562538
1996-02-01,973.581063399803
1996-03-01,1102.8153501334698
1996-04-01,1182.97880904374
1996-05-01,823.117290399699
1996-06-01,843.839457450658
1996-07-01,873.8515026275
1996-08-01,1026.04789937704
1996-09-01,905.9276892445239
1996-10-01,643.756557336524
1996-11-01,865.2273337157111
1996-12-01,1663.50465843398
1997-01-01,927.1083238872411
1997-02-01,633.212753752677
1997-03-01,1084.09268079962
1997-04-01,1536.28370053524
1997-05-01,969.5460763624429
1997-06-01,1087.6124175310001
1997-07-01,945.377193071456
1997-08-01,1098.81512491895
1997-09-01,907.414279097135
1997-10-01,976.835316412426
1997-11-01,939.120287141212
1997-12-01,879.673834948387
1998-01-01,1272.28791500629
1998-02-01,1131.4546415283698
1998-03-01,820.8836021042399
1998-04-01,840.188271014817
1998-05-01,1275.68496932158
1998-06-01,920.412151015031
1998-07-01,1107.76735492981
1998-08-01,1131.78828927661
1998-09-01,1381.72189882163
1998-10-01,1411.19490915504
1998-11-01,1046.26007475624
1998-12-01,1503.7584234475698
1999-01-01,1041.2375404890402
1999-02-01,973.175245198035
1999-03-01,1089.0969578689999
1999-04-01,1012.17371849675
1999-05-01,937.5929110230741
1999-06-01,1115.76334625511
1999-07-01,1138.14497416845
1999-08-01,1156.27587052854
1999-09-01,1069.99311829368
1999-10-01,884.642129326453
1999-11-01,1575.2404013114099
1999-12-01,1124.7244526244301
2000-01-01,1053.08493714164
2000-02-01,1074.71377293644
2000-03-01,1303.0670445666601
2000-04-01,1029.7467919498
2000-05-01,971.2148745116141
2000-06-01,1355.61801099909
2000-07-01,1179.9597701333698
2000-08-01,1062.54191728407
2000-09-01,830.4171431071809
2000-10-01,822.258602567307
2000-11-01,985.348884818602
2000-12-01,667.486806852296
2001-01-01,1029.50256903825
2001-02-01,1003.7952831083801
2001-03-01,914.8021831961189
2001-04-01,943.20080750271
2001-05-01,1202.8157956775901
2001-06-01,917.868549561255
2001-07-01,793.221660574143
2001-08-01,885.9439261143159
2001-09-01,937.927762373496
2001-10-01,1507.8956889383899
2001-11-01,1145.55345515151
2001-12-01,1234.16616889392
2002-01-01,1322.19731044021
2002-02-01,1648.49757702595
2002-03-01,974.6150370271449
2002-04-01,1093.61294194631
2002-05-01,1143.04868438261
2002-06-01,947.044725199673
2002-07-01,1069.9782066880698
2002-08-01,1081.10765495185
2002-09-01,1318.97157667747
2002-10-01,1266.76710768157
2002-11-01,1086.49710982846
2002-12-01,1311.6954249491
2003-01-01,1049.18315308574
2003-02-01,1210.1825445232598
2003-03-01,1252.6992114779
2003-04-01,1435.23989254783
2003-05-01,1465.3872023206602
2003-06-01,1401.7982533326501
2003-07-01,1718.41765309177
2003-08-01,1366.0865319335198
2003-09-01,1293.62925875104
