DATE,MABPPRIVSA
1988-01-01,2668.7633460002803
1988-02-01,2901.92786217228
1988-03-01,3847.69652801991
1988-04-01,2563.62586360447
1988-05-01,2585.53519799252
1988-06-01,2957.9245983570195
1988-07-01,2656.86118120995
1988-08-01,2254.00694805469
1988-09-01,2429.54099981253
1988-10-01,2355.13474804821
1988-11-01,2283.80589826531
1988-12-01,2341.19803482302
1989-01-01,2230.02147088809
1989-02-01,2178.1336823413103
1989-03-01,2076.58853190077
1989-04-01,2012.00210887827
1989-05-01,1822.6393891338398
1989-06-01,1647.9381403420498
1989-07-01,1689.76679825552
1989-08-01,1667.34957649198
1989-09-01,1750.1151153201902
1989-10-01,1538.3240636190899
1989-11-01,1704.59044897059
1989-12-01,1612.31204846318
1990-01-01,2104.99458466092
1990-02-01,1870.5121715416699
1990-03-01,1285.74093153207
1990-04-01,1168.0270970621
1990-05-01,1338.24696419164
1990-06-01,1270.45609954178
1990-07-01,1107.02316154069
1990-08-01,1296.0463906133
1990-09-01,1002.6371696145801
1990-10-01,1390.28761854049
1990-11-01,944.882340947697
1990-12-01,927.290305386584
1991-01-01,954.887280212137
1991-02-01,779.304355564214
1991-03-01,899.125330989186
1991-04-01,1040.11346065156
1991-05-01,1019.30731073161
1991-06-01,1022.7552753510199
1991-07-01,1145.57710772228
1991-08-01,1083.94041000703
1991-09-01,1097.4318875421302
1991-10-01,1215.8868375534698
1991-11-01,1072.1054544276199
1991-12-01,1090.7794933393302
1992-01-01,1223.1577837061
1992-02-01,1166.95162519105
1992-03-01,1375.2734234006698
1992-04-01,1364.54401444565
1992-05-01,1347.64820717111
1992-06-01,1404.49637129942
1992-07-01,1415.7350528984
1992-08-01,1238.4131971570098
1992-09-01,1382.5756805347698
1992-10-01,1381.27964522141
1992-11-01,1455.18279026602
1992-12-01,1424.7679337385998
1993-01-01,1346.07932540371
1993-02-01,1452.2031657499801
1993-03-01,1093.45263555048
1993-04-01,1366.63905683468
1993-05-01,1414.6332762027403
1993-06-01,1414.75274527285
1993-07-01,1364.51792757047
1993-08-01,1694.9190418843
1993-09-01,1613.95202690966
1993-10-01,1507.38083068173
1993-11-01,1581.0858993152697
1993-12-01,1813.89812720695
1994-01-01,1334.5978641694098
1994-02-01,1355.85668486879
1994-03-01,1489.42873039651
1994-04-01,1535.78710338254
1994-05-01,1513.32627775934
1994-06-01,1542.33805177142
1994-07-01,1570.3303366257999
1994-08-01,1507.17320666218
1994-09-01,1509.08318332874
1994-10-01,1456.3262042718698
1994-11-01,1543.47719638968
1994-12-01,1563.34509666697
1995-01-01,1466.8412608674403
1995-02-01,1250.53738387735
1995-03-01,1528.9100901054599
1995-04-01,1279.0219699530198
1995-05-01,1350.82978708848
1995-06-01,1282.39496720164
1995-07-01,1276.36558474745
1995-08-01,1263.6941745285
1995-09-01,1313.73052552071
1995-10-01,1250.31566614968
1995-11-01,1547.66463442171
1995-12-01,1180.31976371097
1996-01-01,1166.51506707573
1996-02-01,1267.2571752143901
1996-03-01,1241.8715709785902
1996-04-01,1587.17755000768
1996-05-01,1448.87324521501
1996-06-01,1337.3345517512
1996-07-01,1464.89502647899
1996-08-01,1563.8351403936701
1996-09-01,1420.5777238680898
1996-10-01,1568.9139990378699
1996-11-01,1572.820671101
1996-12-01,1594.96456356711
1997-01-01,2097.66757550267
1997-02-01,1556.53021306971
1997-03-01,1349.81976354691
1997-04-01,1383.22239088841
1997-05-01,1431.5195994170401
1997-06-01,1577.9583606791598
1997-07-01,1382.1674885037
1997-08-01,1472.20246769656
1997-09-01,1491.10287602174
1997-10-01,1446.5402719665801
1997-11-01,1184.6757097326401
1997-12-01,1473.8936368149402
1998-01-01,1619.87799435966
1998-02-01,1778.7586809329102
1998-03-01,1690.39916839629
1998-04-01,1505.61949141935
1998-05-01,1503.406801639
1998-06-01,1408.1010418373
1998-07-01,1435.7710975675302
1998-08-01,1487.32465273825
1998-09-01,2073.1656050431
1998-10-01,1617.22008679798
1998-11-01,1405.45519772205
1998-12-01,1642.1433010991598
1999-01-01,1531.0401000861402
1999-02-01,1682.29542102298
1999-03-01,1700.60499714678
1999-04-01,1660.7563123906
1999-05-01,1450.8587136607
1999-06-01,1673.59198076143
