DATE,KSBPPRIVSA
1988-01-01,618.443809489678
1988-02-01,720.863276814392
1988-03-01,804.347298856391
1988-04-01,789.4339531732389
1988-05-01,829.7023090097431
1988-06-01,861.259549518843
1988-07-01,856.3562456515199
1988-08-01,849.666791529561
1988-09-01,787.384729851714
1988-10-01,922.9830730932989
1988-11-01,641.59392145671
1988-12-01,1102.96350041669
1989-01-01,783.010818265845
1989-02-01,577.384892455593
1989-03-01,723.347063303529
1989-04-01,675.300546648454
1989-05-01,647.15709210353
1989-06-01,703.048223325061
1989-07-01,736.8498670779849
1989-08-01,700.706923150996
1989-09-01,972.347668038501
1989-10-01,755.759694933733
1989-11-01,993.7555755931911
1989-12-01,998.539829391898
1990-01-01,1505.7668671027802
1990-02-01,534.2149616994969
1990-03-01,676.4017180075911
1990-04-01,706.928845477244
1990-05-01,606.8056134451069
1990-06-01,646.071803293839
1990-07-01,654.46160276385
1990-08-01,679.9809972200679
1990-09-01,543.279030100336
1990-10-01,640.5839373709571
1990-11-01,733.7383654735761
1990-12-01,404.70118283766897
1991-01-01,430.388667248412
1991-02-01,632.026815711207
1991-03-01,592.720252721467
1991-04-01,675.727926496659
1991-05-01,658.726641052559
1991-06-01,643.53257408928
1991-07-01,719.667599960893
1991-08-01,599.720573381465
1991-09-01,626.85274090152
1991-10-01,581.655589049431
1991-11-01,522.190165955754
1991-12-01,694.23649747998
1992-01-01,941.745134603936
1992-02-01,918.95815752534
1992-03-01,743.9321584364101
1992-04-01,805.1671525043381
1992-05-01,883.574143382171
1992-06-01,790.227533133258
1992-07-01,726.3653242273081
1992-08-01,708.84807249312
1992-09-01,665.007432790831
1992-10-01,669.413176832137
1992-11-01,778.284163496198
1992-12-01,756.814953637484
1993-01-01,716.591358016904
1993-02-01,723.039407767491
1993-03-01,919.3992453867371
1993-04-01,846.5333741975
1993-05-01,1026.80132477546
1993-06-01,994.297125465756
1993-07-01,815.263728730505
1993-08-01,943.5614159363009
1993-09-01,937.4429012293449
1993-10-01,838.3012290845011
1993-11-01,1037.78927368133
1993-12-01,981.985954019547
1994-01-01,959.9106425550419
1994-02-01,1088.80558287452
1994-03-01,1194.40237558737
1994-04-01,1121.8557193867698
1994-05-01,909.073064267635
1994-06-01,873.610685495345
1994-07-01,1017.5171598386399
1994-08-01,1561.67829997393
1994-09-01,937.171887982305
1994-10-01,1404.25735986714
1994-11-01,912.6716642482139
1994-12-01,811.125434566571
1995-01-01,1127.71791308678
1995-02-01,670.726706176104
1995-03-01,843.157341630457
1995-04-01,680.72797363121
1995-05-01,732.228552183561
1995-06-01,826.468572101814
1995-07-01,1076.55354943621
1995-08-01,1227.78507849589
1995-09-01,1245.35416202777
1995-10-01,1411.1590890563598
1995-11-01,1147.19102926692
1995-12-01,1048.3341481442699
1996-01-01,934.9466503475501
1996-02-01,1192.99750510138
1996-03-01,2041.4325646477898
1996-04-01,1262.9696970263499
1996-05-01,1472.5070692816698
1996-06-01,1203.8702929055
1996-07-01,1245.64619512879
1996-08-01,1080.45355982546
1996-09-01,1208.66035151613
1996-10-01,950.343411443787
1996-11-01,1006.07032943489
1996-12-01,1014.9854203582499
1997-01-01,1107.2588987899499
1997-02-01,920.270769237762
1997-03-01,816.68573592627
1997-04-01,1009.06517026081
1997-05-01,1049.90045751674
1997-06-01,1265.5903695165302
1997-07-01,984.8550184477381
1997-08-01,1047.57301245941
1997-09-01,1805.63872595008
1997-10-01,1203.6943371013099
1997-11-01,917.57786195808
1997-12-01,1354.9802034152901
1998-01-01,935.5052314616611
1998-02-01,1450.2595383699402
1998-03-01,906.876365012114
1998-04-01,1156.85713937842
1998-05-01,927.7130862200819
1998-06-01,987.789583659957
1998-07-01,1558.17421247776
1998-08-01,955.2223990263769
1998-09-01,1186.4015677352302
1998-10-01,1054.65715588294
1998-11-01,1473.25833204959
1998-12-01,1987.2651873151501
1999-01-01,1082.77289653942
1999-02-01,941.988399963848
1999-03-01,1474.0404907669501
1999-04-01,1405.3145114803601
1999-05-01,1189.9067706994
1999-06-01,1418.1570012627699
1999-07-01,1155.71479636241
1999-08-01,1227.03479688507
1999-09-01,1149.67258579858
1999-10-01,1299.2111597151
1999-11-01,1245.19219892409
1999-12-01,1103.8797127914802
2000-01-01,1510.5911265936402
2000-02-01,1515.8432105056302
2000-03-01,968.879041888678
2000-04-01,1178.6245631855
2000-05-01,1060.1416182195699
2000-06-01,828.520333973342
2000-07-01,815.9521333459379
2000-08-01,845.6594525402229
2000-09-01,863.715301893513
2000-10-01,1459.6432551018302
2000-11-01,827.204700409077
2000-12-01,504.014452228972
2001-01-01,1711.56302647942
2001-02-01,1400.1062892859302
2001-03-01,1272.03367543344
2001-04-01,923.48240545862
2001-05-01,1359.46952264917
2001-06-01,917.267741898562
2001-07-01,853.1975593344059
2001-08-01,1259.16609857566
2001-09-01,853.683757470979
2001-10-01,902.6128390165469
2001-11-01,882.9439673116659
2001-12-01,1264.56897530334
2002-01-01,891.52844293806
2002-02-01,833.9556223673669
2002-03-01,901.3642581697951
2002-04-01,909.092584245583
2002-05-01,940.428651864038
2002-06-01,1320.07227201985
2002-07-01,1181.68057342718
2002-08-01,1023.29268873252
2002-09-01,850.2601402957049
2002-10-01,1067.0831602139801
2002-11-01,964.704778344113
2002-12-01,825.7654390617939
2003-01-01,1440.71863494221
2003-02-01,877.0552213606089
2003-03-01,871.201304873858
2003-04-01,943.943726959519
2003-05-01,960.01589093982
2003-06-01,1041.55532293497
2003-07-01,1212.40669547422
2003-08-01,1150.00433118433
2003-09-01,1227.00217647754
