DATE,HIBPPRIVSA
1988-01-01,301.274315213436
1988-02-01,498.85318902115193
1988-03-01,463.22174711875
1988-04-01,672.046703247663
1988-05-01,450.380965507267
1988-06-01,654.939946154114
1988-07-01,795.617927001573
1988-08-01,640.456464438207
1988-09-01,569.990144279009
1988-10-01,617.092423173066
1988-11-01,747.970369840002
1988-12-01,569.930946413086
1989-01-01,878.63575788931
1989-02-01,678.219924515529
1989-03-01,603.011176181214
1989-04-01,548.7536337419081
1989-05-01,1100.01155609321
1989-06-01,1155.65917828828
1989-07-01,761.069435382866
1989-08-01,915.6249891916119
1989-09-01,770.1854747674589
1989-10-01,793.315310294848
1989-11-01,868.958023740508
1989-12-01,475.068032560973
1990-01-01,961.7571047476531
1990-02-01,569.302217561838
1990-03-01,611.46378805609
1990-04-01,721.177103625293
1990-05-01,599.650392694788
1990-06-01,668.993107673552
1990-07-01,607.5004272778621
1990-08-01,379.62133226465403
1990-09-01,497.86703139954903
1990-10-01,659.7962826284739
1990-11-01,776.740003064938
1990-12-01,1407.5044247495002
1991-01-01,536.3814233825341
1991-02-01,813.004370768198
1991-03-01,1290.0774490680499
1991-04-01,859.6301475286749
1991-05-01,866.182833140427
1991-06-01,362.726129366697
1991-07-01,520.309176523908
1991-08-01,971.199516170341
1991-09-01,452.86793920841905
1991-10-01,1050.1938328794001
1991-11-01,395.558292508548
1991-12-01,703.2617833875661
1992-01-01,544.078545015796
1992-02-01,683.6456146858541
1992-03-01,686.973783163304
1992-04-01,766.9759558388789
1992-05-01,445.874369692705
1992-06-01,251.671020944594
1992-07-01,620.962085597269
1992-08-01,728.485090796284
1992-09-01,969.7502937301609
1992-10-01,482.41894654959503
1992-11-01,523.980147014648
1992-12-01,1504.45338878863
1993-01-01,582.176909817353
1993-02-01,381.4473610046
1993-03-01,492.167105034086
1993-04-01,532.3401774580481
1993-05-01,547.308228100085
1993-06-01,424.44696168584096
1993-07-01,456.84611632806394
1993-08-01,566.884694142901
1993-09-01,545.0070905800441
1993-10-01,726.230252718985
1993-11-01,367.777911745146
1993-12-01,321.71628462437
1994-01-01,574.6844497992801
1994-02-01,628.107449978849
1994-03-01,226.462203533628
1994-04-01,464.394761147743
1994-05-01,781.789190171153
1994-06-01,547.434487506819
1994-07-01,498.43027493586504
1994-08-01,602.633815220422
1994-09-01,629.792075806146
1994-10-01,752.3873731213009
1994-11-01,1015.22254923233
1994-12-01,547.530155005663
1995-01-01,792.708212180654
1995-02-01,1116.07661582765
1995-03-01,486.224085289469
1995-04-01,371.98017970785895
1995-05-01,279.142626879645
1995-06-01,678.373364659954
1995-07-01,739.6373883736121
1995-08-01,244.702183295138
1995-09-01,658.905805850361
1995-10-01,333.42751627369097
1995-11-01,332.49587142617696
1995-12-01,384.93897512928396
1996-01-01,347.775242225123
1996-02-01,337.783302200141
1996-03-01,428.15560514563003
1996-04-01,239.105198770434
1996-05-01,180.966615553204
1996-06-01,279.23550328825803
1996-07-01,553.632153973048
1996-08-01,345.106165548371
1996-09-01,255.384611908251
1996-10-01,211.133604271736
1996-11-01,358.689032963454
1996-12-01,265.404964772448
1997-01-01,204.105417028419
1997-02-01,178.19061886417703
1997-03-01,240.35050422423302
1997-04-01,786.680424520997
1997-05-01,577.323390849317
1997-06-01,413.401682705053
1997-07-01,287.908968922527
1997-08-01,273.1325786387
1997-09-01,236.647408394693
1997-10-01,216.29683861253102
1997-11-01,324.258448472747
1997-12-01,251.83738006735
1998-01-01,249.52042108235298
1998-02-01,271.421064029563
1998-03-01,266.829894811815
1998-04-01,256.154208975932
1998-05-01,240.9234623185
1998-06-01,207.165352942699
1998-07-01,230.454085581194
1998-08-01,212.097401446507
1998-09-01,285.770984644563
1998-10-01,251.39004449817799
1998-11-01,187.297260813794
1998-12-01,306.44205066277
1999-01-01,423.257752126904
1999-02-01,210.485384177599
1999-03-01,290.657558210495
1999-04-01,254.295859265515
1999-05-01,307.759208896848
1999-06-01,330.716997685722
1999-07-01,410.797211368863
1999-08-01,383.86459202996696
1999-09-01,187.06036141922797
1999-10-01,334.390339943762
1999-11-01,318.57986662791
1999-12-01,417.721094021445
2000-01-01,308.24724526439604
2000-02-01,228.588498827696
2000-03-01,397.627627846136
2000-04-01,348.276724274718
2000-05-01,382.95391268614
2000-06-01,309.77263373260797
2000-07-01,274.863270777568
2000-08-01,345.583733713119
2000-09-01,272.238438202262
2000-10-01,347.018639480601
2000-11-01,428.23321691370904
2000-12-01,407.233486951197
2001-01-01,408.83536815177496
2001-02-01,459.280997373454
2001-03-01,322.39307125613703
2001-04-01,371.151383505056
2001-05-01,482.42958366372704
2001-06-01,309.510276570708
2001-07-01,390.965769425373
2001-08-01,409.11287575956703
2001-09-01,430.73672169102304
2001-10-01,412.5719754839
2001-11-01,356.41237151550695
2001-12-01,262.687511307248
2002-01-01,328.462624186977
2002-02-01,317.802128832498
2002-03-01,237.834194347823
2002-04-01,516.502661100428
2002-05-01,705.5183308718539
2002-06-01,335.903973837053
2002-07-01,408.785029471193
2002-08-01,491.422283738949
2002-09-01,590.249123923209
2002-10-01,635.0108735408439
2002-11-01,454.402541218618
2002-12-01,570.8235214636151
2003-01-01,880.7997183178301
2003-02-01,514.627664357044
2003-03-01,552.832158942828
2003-04-01,440.474557401676
2003-05-01,331.80508357513304
2003-06-01,544.5836715410501
2003-07-01,524.740851415664
2003-08-01,421.610651638283
2003-09-01,425.901923763035
2003-10-01,454.572314327063
2003-11-01,512.737496474874
2003-12-01,500.209100110295
2004-01-01,940.063555441427
2004-02-01,789.8636694458979
