DATE,NEBPPRIVSA
1988-01-01,306.515497812364
1988-02-01,359.152677700492
1988-03-01,499.0886829058
1988-04-01,456.11459563022004
1988-05-01,547.534526418048
1988-06-01,453.452701559974
1988-07-01,367.58947812262704
1988-08-01,408.348788116027
1988-09-01,372.694480152548
1988-10-01,467.74158939703796
1988-11-01,916.7781604564461
1988-12-01,466.22296754941596
1989-01-01,711.53129408689
1989-02-01,285.682179251648
1989-03-01,410.006160468571
1989-04-01,399.212082444219
1989-05-01,365.256619436235
1989-06-01,431.345942023584
1989-07-01,444.84289483179197
1989-08-01,423.867001506398
1989-09-01,698.56332991338
1989-10-01,383.637802338122
1989-11-01,1147.0393063972901
1989-12-01,301.19382685646303
1990-01-01,3009.7518761324895
1990-02-01,429.55990797577203
1990-03-01,381.071614810353
1990-04-01,386.919199166813
1990-05-01,409.69015751307
1990-06-01,414.44044136153997
1990-07-01,426.09268927566
1990-08-01,433.516146366167
1990-09-01,377.723352363934
1990-10-01,445.466756685928
1990-11-01,431.923661812847
1990-12-01,757.6220612426579
1991-01-01,417.24765905767197
1991-02-01,411.384728977599
1991-03-01,452.706336080135
1991-04-01,458.520050650306
1991-05-01,494.032033048169
1991-06-01,445.56665677022596
1991-07-01,500.79238277444705
1991-08-01,486.33463066694503
1991-09-01,527.956794006555
1991-10-01,839.816710968893
1991-11-01,438.186700719096
1991-12-01,645.130553745758
1992-01-01,513.237565750027
1992-02-01,784.0049848432519
1992-03-01,615.6350087746459
1992-04-01,731.916743173309
1992-05-01,557.8644330135199
1992-06-01,523.838304726754
1992-07-01,657.1682347079441
1992-08-01,507.62825343622495
1992-09-01,544.847821273075
1992-10-01,513.891992521148
1992-11-01,498.15183243832297
1992-12-01,479.534534367858
1993-01-01,382.439030961188
1993-02-01,624.570940671353
1993-03-01,651.295824677038
1993-04-01,563.035024301755
1993-05-01,596.23049239915
1993-06-01,826.4962866120931
1993-07-01,637.6323623040989
1993-08-01,703.595079083061
1993-09-01,752.199748036662
1993-10-01,548.638460491464
1993-11-01,615.894853303919
1993-12-01,599.175103704133
1994-01-01,530.964560175506
1994-02-01,437.89262428961194
1994-03-01,547.019002634045
1994-04-01,523.385871132246
1994-05-01,624.743760901847
1994-06-01,568.343269601062
1994-07-01,498.385602809917
1994-08-01,706.3112935180611
1994-09-01,619.95311110902
1994-10-01,686.2528958044641
1994-11-01,1105.3337032478098
1994-12-01,508.219647444151
1995-01-01,772.687359782259
1995-02-01,615.5288690429979
1995-03-01,614.777814442263
1995-04-01,702.08229653641
1995-05-01,594.25973652814
1995-06-01,737.604619815128
1995-07-01,617.232530745292
1995-08-01,537.559345677683
1995-09-01,750.978972948276
1995-10-01,668.964986567189
1995-11-01,1166.23412942464
1995-12-01,427.50852634793404
1996-01-01,1225.39957833018
1996-02-01,984.8517238945019
1996-03-01,778.6053938121961
1996-04-01,860.7803928979171
1996-05-01,770.684872554868
1996-06-01,694.75676230584
1996-07-01,1368.73477832094
1996-08-01,992.209476612569
1996-09-01,657.626354817875
1996-10-01,1226.73842791888
1996-11-01,487.188581259517
1996-12-01,917.559327353237
1997-01-01,510.53212550008004
1997-02-01,562.234441244878
1997-03-01,782.713303784748
1997-04-01,675.520609951778
1997-05-01,964.210459013656
1997-06-01,793.5914847541701
1997-07-01,961.812460357507
1997-08-01,871.105852891655
1997-09-01,1013.9231652719801
1997-10-01,1229.6102389056
1997-11-01,667.084296801006
1997-12-01,951.559108838676
1998-01-01,932.6888854051571
1998-02-01,912.232554449416
1998-03-01,657.4210543935479
1998-04-01,964.0354876337869
1998-05-01,769.926100214795
1998-06-01,744.499937204519
1998-07-01,767.5395518976311
1998-08-01,737.7467527726981
1998-09-01,932.69010852461
1998-10-01,734.3461489244901
1998-11-01,906.208964283575
1998-12-01,1214.20483129257
1999-01-01,1123.6786998844198
1999-02-01,1000.5714285212
1999-03-01,833.628689327821
1999-04-01,769.4583693164881
1999-05-01,717.6060162335001
1999-06-01,717.810449394639
1999-07-01,656.8898002194841
1999-08-01,775.915351008269
1999-09-01,674.894250706594
1999-10-01,575.456386756866
1999-11-01,1328.4712277381402
1999-12-01,682.9460894574389
2000-01-01,496.005111172193
2000-02-01,1423.56071745016
2000-03-01,914.484482131224
2000-04-01,585.13524413278
2000-05-01,726.9260426632969
2000-06-01,991.8334491358901
2000-07-01,674.915228701808
2000-08-01,631.292030128634
2000-09-01,571.4801909673951
2000-10-01,869.5335392998489
2000-11-01,581.387377681643
2000-12-01,511.661439514923
2001-01-01,506.504565824288
2001-02-01,519.374140332718
2001-03-01,586.426179449505
2001-04-01,650.353842322686
2001-05-01,671.920993570841
2001-06-01,814.48310647961
2001-07-01,749.189093179595
2001-08-01,754.536308183757
2001-09-01,562.555806272029
2001-10-01,612.107358168447
2001-11-01,619.6737628669271
2001-12-01,585.6625783777571
2002-01-01,923.7109443691701
2002-02-01,669.502153689566
2002-03-01,747.434700338121
2002-04-01,842.2840142138409
2002-05-01,752.562520468054
2002-06-01,676.184487423739
2002-07-01,726.8710953058991
2002-08-01,652.302522494317
2002-09-01,891.0666099972971
2002-10-01,770.576221313857
2002-11-01,982.863159341714
2002-12-01,758.587928225891
2003-01-01,690.568516892456
2003-02-01,828.5796976102631
2003-03-01,789.594955435437
2003-04-01,814.680420391757
2003-05-01,838.6048549918539
2003-06-01,756.835172674363
2003-07-01,937.8399300462551
2003-08-01,682.287479537599
2003-09-01,1007.8556367650099
2003-10-01,821.859359866198
2003-11-01,788.6771364525681
2003-12-01,795.291417747813
2004-01-01,789.1259808705521
