DATE,SDBPPRIVSA
1988-01-01,201.906068429966
1988-02-01,213.49736917867
1988-03-01,180.827599773065
1988-04-01,147.939647598644
1988-05-01,111.635467441054
1988-06-01,134.54103024379802
1988-07-01,235.31236029765597
1988-08-01,142.860721075656
1988-09-01,122.71594945388
1988-10-01,118.213237033155
1988-11-01,144.309350723983
1988-12-01,237.71307641159902
1989-01-01,110.56759489282301
1989-02-01,58.3248506840696
1989-03-01,106.436447294781
1989-04-01,136.349931786375
1989-05-01,275.84866680409
1989-06-01,174.873916087449
1989-07-01,122.94164673621201
1989-08-01,137.288808047794
1989-09-01,114.789405464086
1989-10-01,180.202233935737
1989-11-01,342.79038432715
1989-12-01,192.858981999108
1990-01-01,2059.22090429245
1990-02-01,151.722652661289
1990-03-01,166.905029742147
1990-04-01,175.28136283188
1990-05-01,238.04871203838798
1990-06-01,180.878456998009
1990-07-01,177.159758202504
1990-08-01,176.23019159320998
1990-09-01,180.528649327133
1990-10-01,190.805747336417
1990-11-01,150.315715779706
1990-12-01,59.9890812547176
1991-01-01,195.975851253848
1991-02-01,317.147309030858
1991-03-01,211.43923013617803
1991-04-01,215.975655391219
1991-05-01,170.746708484775
1991-06-01,143.19028749434298
1991-07-01,242.742032458656
1991-08-01,231.062116360421
1991-09-01,215.27093883993197
1991-10-01,179.67628445228297
1991-11-01,145.622245273475
1991-12-01,237.85019680978002
1992-01-01,207.802736822583
1992-02-01,392.31033357202205
1992-03-01,183.703950121164
1992-04-01,202.130464587543
1992-05-01,244.80082912253602
1992-06-01,230.98868602311
1992-07-01,202.253353071491
1992-08-01,166.942245540072
1992-09-01,287.262825409357
1992-10-01,255.610453552712
1992-11-01,354.187546599436
1992-12-01,216.815179425793
1993-01-01,229.427471384109
1993-02-01,312.376224509849
1993-03-01,510.780594346065
1993-04-01,238.67005950307998
1993-05-01,200.931595225099
1993-06-01,208.405856908904
1993-07-01,195.11830294871498
1993-08-01,286.000601656345
1993-09-01,314.476049850628
1993-10-01,241.555140456289
1993-11-01,214.380171763107
1993-12-01,252.526107449185
1994-01-01,378.199333867172
1994-02-01,310.049465642722
1994-03-01,404.708246119704
1994-04-01,304.044597064477
1994-05-01,366.884612489935
1994-06-01,476.754388784811
1994-07-01,449.482985484939
1994-08-01,332.230586997344
1994-09-01,272.336499715185
1994-10-01,518.127708801754
1994-11-01,422.48743331321
1994-12-01,125.88620618082001
1995-01-01,542.206111688711
1995-02-01,273.809757630519
1995-03-01,374.36618468362
1995-04-01,341.527131908166
1995-05-01,382.70882242000505
1995-06-01,335.319734583811
1995-07-01,315.931825309411
1995-08-01,374.58197079526605
1995-09-01,263.261061317175
1995-10-01,284.22198997674303
1995-11-01,340.987942073316
1995-12-01,291.952020762163
1996-01-01,242.10893785202802
1996-02-01,317.13519615844103
1996-03-01,419.87274044622103
1996-04-01,458.68096479645
1996-05-01,294.222306310423
1996-06-01,365.468670543184
1996-07-01,600.145505357676
1996-08-01,342.470176426591
1996-09-01,343.208575175674
1996-10-01,336.55540924141496
1996-11-01,262.07187411804796
1996-12-01,291.36057895820204
1997-01-01,247.79311155405497
1997-02-01,265.754775682187
1997-03-01,190.842210072039
1997-04-01,230.441632028069
1997-05-01,280.631128887797
1997-06-01,283.827472053029
1997-07-01,265.56944451733
1997-08-01,267.17343188534
1997-09-01,426.88183721944705
1997-10-01,269.652942695877
1997-11-01,483.19787167910795
1997-12-01,667.2166604931581
1998-01-01,300.19293662717
1998-02-01,275.37663653381196
1998-03-01,185.552292992752
1998-04-01,269.773635296997
1998-05-01,380.481455727523
1998-06-01,272.129459201639
1998-07-01,279.456598249852
1998-08-01,337.369713372377
1998-09-01,233.120942927985
1998-10-01,306.84920693073
1998-11-01,285.70952146741297
1998-12-01,406.44901996754896
1999-01-01,260.221829236259
1999-02-01,541.511532937099
1999-03-01,370.192927123078
1999-04-01,397.33994835881
1999-05-01,300.93805383456004
1999-06-01,307.631866242911
1999-07-01,352.78227015672303
1999-08-01,334.029379298104
1999-09-01,292.643049176097
1999-10-01,330.57753428724703
1999-11-01,364.53792659285597
1999-12-01,262.528429541415
2000-01-01,386.611249414078
2000-02-01,517.8249420501
2000-03-01,547.103379461884
2000-04-01,276.520635081861
2000-05-01,354.47364772266604
2000-06-01,365.07198938863996
2000-07-01,320.542910287479
2000-08-01,363.95368708918
2000-09-01,418.896881961562
2000-10-01,348.16615469133
2000-11-01,312.48184487463
2000-12-01,260.684850238566
2001-01-01,321.86382173387403
2001-02-01,293.85965826899104
2001-03-01,302.38778974627
2001-04-01,375.62435467440497
2001-05-01,325.25500492369497
2001-06-01,385.84890416291097
2001-07-01,410.57197665271104
2001-08-01,370.387466534965
2001-09-01,367.18346915188005
2001-10-01,426.78220328036497
2001-11-01,347.799943376827
2001-12-01,445.55646539536906
2002-01-01,200.236968893786
2002-02-01,743.531935705978
2002-03-01,254.862292869255
2002-04-01,377.363357827725
2002-05-01,337.265201604329
2002-06-01,377.787086165952
2002-07-01,296.449394953473
2002-08-01,312.962802756511
2002-09-01,371.691972823394
2002-10-01,366.553975896448
2002-11-01,350.41484808353204
2002-12-01,545.746268366726
2003-01-01,423.378843657578
2003-02-01,260.13359900469004
2003-03-01,302.681473682488
2003-04-01,342.404172378845
2003-05-01,464.140137058841
2003-06-01,373.711244657449
2003-07-01,492.37670224050794
2003-08-01,382.08286658998395
2003-09-01,401.164523061739
2003-10-01,390.728025202136
2003-11-01,370.566377594085
2003-12-01,372.266949485282
2004-01-01,573.572979929383
2004-02-01,435.72638348454694
