DATE,AKBPPRIVSA
1988-01-01,47.7669473377118
1988-02-01,50.1727352826116
1988-03-01,37.403236358215
1988-04-01,39.3406025102329
1988-05-01,42.579895740287796
1988-06-01,55.771091416287696
1988-07-01,165.55839332856598
1988-08-01,56.6191575215062
1988-09-01,89.2461015324822
1988-10-01,56.04789794222239
1988-11-01,65.7193514493608
1988-12-01,60.7351602394348
1989-01-01,40.153041673861
1989-02-01,59.7380616767278
1989-03-01,56.3029953503069
1989-04-01,54.321219504489896
1989-05-01,49.206274552865
1989-06-01,68.68502931759579
1989-07-01,42.343155606691106
1989-08-01,53.72068562286489
1989-09-01,47.3708130049395
1989-10-01,77.5421066947283
1989-11-01,52.9567611932514
1989-12-01,29.992826570985603
1990-01-01,44.872399429788196
1990-02-01,41.323688407079295
1990-03-01,48.7695252778226
1990-04-01,63.756651668646604
1990-05-01,83.3304033505628
1990-06-01,59.1384865735219
1990-07-01,73.43638768400241
1990-08-01,68.28694541214361
1990-09-01,81.28731681911309
1990-10-01,84.54380242585421
1990-11-01,67.1868621921788
1990-12-01,92.09326603916192
1991-01-01,92.5342517113914
1991-02-01,92.6889141451733
1991-03-01,125.99550151134198
1991-04-01,77.34058803925491
1991-05-01,81.5113658289375
1991-06-01,76.28345869345101
1991-07-01,90.419916038113
1991-08-01,78.8493987963701
1991-09-01,71.7024703347025
1991-10-01,83.0533715745473
1991-11-01,78.7268174656444
1991-12-01,75.57594990363259
1992-01-01,86.94705751494709
1992-02-01,66.9589252160981
1992-03-01,78.65313255013609
1992-04-01,85.01526124921409
1992-05-01,76.0391038978476
1992-06-01,113.831169904955
1992-07-01,87.380000784678
1992-08-01,85.58250140184191
1992-09-01,98.31531802167281
1992-10-01,86.2051007601667
1992-11-01,105.56404083192601
1992-12-01,99.6260097383686
1993-01-01,102.26921644251101
1993-02-01,113.863468809516
1993-03-01,141.759844054024
1993-04-01,197.067413186038
1993-05-01,134.73589337238198
1993-06-01,113.58309354516001
1993-07-01,119.046594287822
1993-08-01,131.53592875313498
1993-09-01,136.270948642359
1993-10-01,128.686056048639
1993-11-01,148.960575832561
1993-12-01,170.771619641956
1994-01-01,119.229284866847
1994-02-01,194.450494575379
1994-03-01,280.497807902021
1994-04-01,163.57366270431
1994-05-01,170.336620704639
1994-06-01,156.633081874554
1994-07-01,234.256779440798
1994-08-01,128.290002354335
1994-09-01,127.458235794374
1994-10-01,141.210637261127
1994-11-01,123.168704776191
1994-12-01,138.063615446841
1995-01-01,174.69584088129102
1995-02-01,279.87711272537996
1995-03-01,115.433285245489
1995-04-01,172.02585833194698
1995-05-01,165.110631473604
1995-06-01,176.052915811855
1995-07-01,176.709294248971
1995-08-01,233.160506997413
1995-09-01,220.765630494518
1995-10-01,238.849576867691
1995-11-01,246.22734817246499
1995-12-01,204.55226812426602
1996-01-01,200.69483863641602
1996-02-01,196.257215641606
1996-03-01,145.197098408011
1996-04-01,188.29007902064498
1996-05-01,220.24943933673802
1996-06-01,206.90395067070702
1996-07-01,201.595455365264
1996-08-01,424.833068473215
1996-09-01,204.078842857555
1996-10-01,178.63725940027803
1996-11-01,158.214913688093
1996-12-01,186.600251943518
1997-01-01,159.872325985498
1997-02-01,186.149557422623
1997-03-01,238.002416454886
1997-04-01,199.532637180915
1997-05-01,207.68307005707902
1997-06-01,180.12943083372397
1997-07-01,201.71180930913
1997-08-01,203.015773601942
1997-09-01,304.69894514891104
1997-10-01,225.41497784283797
1997-11-01,225.144809124272
1997-12-01,177.596528349636
1998-01-01,204.115982574098
1998-02-01,209.71713363695702
1998-03-01,214.168589218359
1998-04-01,254.11590261137798
1998-05-01,192.84781334195
1998-06-01,287.52580414906896
1998-07-01,252.720537449175
1998-08-01,210.27670951801
1998-09-01,196.79084062459202
1998-10-01,231.304853548731
1998-11-01,280.732094058994
1998-12-01,304.407042960061
1999-01-01,177.69553912471198
1999-02-01,399.847154883435
1999-03-01,185.248110672711
1999-04-01,172.04107356790402
1999-05-01,187.91326334704
1999-06-01,276.05427446674196
1999-07-01,175.124889181109
1999-08-01,162.282943405286
1999-09-01,179.68583173818698
1999-10-01,134.79273513669798
1999-11-01,142.088050406589
1999-12-01,135.288052265152
2000-01-01,178.629451081076
2000-02-01,136.39573740799102
2000-03-01,175.38764010127
2000-04-01,162.123347122017
2000-05-01,181.35571586320802
2000-06-01,160.974996059207
2000-07-01,162.63220700258302
2000-08-01,202.887296365931
2000-09-01,188.73704730451198
2000-10-01,206.556571553676
2000-11-01,148.25133462277202
2000-12-01,203.23761032376098
2001-01-01,252.695616031176
2001-02-01,286.292623589564
2001-03-01,243.147208693679
2001-04-01,246.72347815084203
2001-05-01,198.42423629240002
2001-06-01,226.16127763963902
2001-07-01,303.58502695010503
2001-08-01,290.726477956041
2001-09-01,202.046505401004
2001-10-01,249.23027264550498
2001-11-01,346.942290417156
2001-12-01,221.639001713377
2002-01-01,330.071476447113
2002-02-01,245.425629344899
2002-03-01,471.855233598221
2002-04-01,133.46840499916001
2002-05-01,198.54349826350602
2002-06-01,247.41685181178298
2002-07-01,237.697892889263
2002-08-01,237.767019432295
2002-09-01,346.947055150273
2002-10-01,261.008547203199
2002-11-01,251.557030731915
2002-12-01,207.865599084086
2003-01-01,177.45333046837501
2003-02-01,445.833700868806
2003-03-01,189.101590309548
2003-04-01,248.541446301679
2003-05-01,378.490888749322
2003-06-01,322.17044597993697
2003-07-01,230.814161858153
2003-08-01,228.821858060312
2003-09-01,291.989405173847
2003-10-01,344.17042181952
2003-11-01,240.86592466275602
