DATE,NHBPPRIVSA
1988-01-01,1584.0060712159197
1988-02-01,1509.31161452714
1988-03-01,1439.5258464575302
1988-04-01,1131.55020827185
1988-05-01,870.0125279645531
1988-06-01,874.339067898818
1988-07-01,934.268234569496
1988-08-01,748.338545440626
1988-09-01,638.316256264438
1988-10-01,657.971832994057
1988-11-01,1057.59184067541
1988-12-01,654.0228769401609
1989-01-01,624.5413018155809
1989-02-01,545.226469444877
1989-03-01,602.968260843597
1989-04-01,638.655984390122
1989-05-01,566.069194361311
1989-06-01,480.340405529628
1989-07-01,436.649024555232
1989-08-01,814.7215579881689
1989-09-01,530.634668099179
1989-10-01,455.362810090281
1989-11-01,415.20440862382696
1989-12-01,561.729913176522
1990-01-01,380.917754919216
1990-02-01,472.57156343757003
1990-03-01,358.869113101266
1990-04-01,290.083637048123
1990-05-01,353.164610820961
1990-06-01,345.779855100725
1990-07-01,289.918425674286
1990-08-01,310.744655600238
1990-09-01,288.379619966487
1990-10-01,452.666124968466
1990-11-01,257.64283668087
1990-12-01,240.255715485247
1991-01-01,240.437907331791
1991-02-01,222.469251684118
1991-03-01,201.66944807985402
1991-04-01,269.672501911049
1991-05-01,251.79439526807099
1991-06-01,246.53465954188098
1991-07-01,251.694078309403
1991-08-01,217.531054546334
1991-09-01,233.576919962541
1991-10-01,265.599180332532
1991-11-01,241.129953864332
1991-12-01,233.94661418956002
1992-01-01,241.574844059902
1992-02-01,371.16805484296697
1992-03-01,302.81036004002203
1992-04-01,261.699863941416
1992-05-01,245.26434517633098
1992-06-01,367.29249866215895
1992-07-01,329.448171209226
1992-08-01,323.68891428623
1992-09-01,328.418666620983
1992-10-01,252.42735907548698
1992-11-01,343.444114900727
1992-12-01,320.37227121545396
1993-01-01,371.694271942568
1993-02-01,299.144521110806
1993-03-01,319.225119236517
1993-04-01,252.94132527595798
1993-05-01,382.15850266988997
1993-06-01,253.60290981344798
1993-07-01,381.550231829032
1993-08-01,281.012100599753
1993-09-01,277.669146865482
1993-10-01,312.128049290047
1993-11-01,310.058098149736
1993-12-01,364.181806559225
1994-01-01,346.53293639078004
1994-02-01,332.028046060812
1994-03-01,341.69899793685397
1994-04-01,398.608467231927
1994-05-01,360.1191824874
1994-06-01,408.730934322299
1994-07-01,360.77251223867796
1994-08-01,420.82952477158
1994-09-01,407.568810089349
1994-10-01,355.524381673722
1994-11-01,391.895811669505
1994-12-01,374.336911373282
1995-01-01,367.29570705009104
1995-02-01,311.281254236773
1995-03-01,352.86183969495596
1995-04-01,346.16831061401297
1995-05-01,374.622840128806
1995-06-01,307.195756015047
1995-07-01,331.550464112159
1995-08-01,347.812883155392
1995-09-01,344.43223163295096
1995-10-01,346.80941839008005
1995-11-01,333.67936073701304
1995-12-01,332.37836857357496
1996-01-01,230.821907644473
1996-02-01,358.61501023356203
1996-03-01,347.180032947344
1996-04-01,332.482162009003
1996-05-01,458.27065828292604
1996-06-01,382.422260748668
1996-07-01,381.357362909596
1996-08-01,431.748839309056
1996-09-01,366.237451284937
1996-10-01,641.728488561806
1996-11-01,359.158733955671
1996-12-01,379.45343517257004
1997-01-01,409.214206531559
1997-02-01,436.637558911794
1997-03-01,387.66459864398104
1997-04-01,438.831042179745
1997-05-01,387.87859443732697
1997-06-01,445.539244160783
1997-07-01,438.814508927736
1997-08-01,380.087025898527
1997-09-01,466.95446362081395
1997-10-01,409.729762208929
1997-11-01,515.020545248467
1997-12-01,422.279463343628
1998-01-01,442.43734121747804
1998-02-01,438.60611110313596
1998-03-01,486.196921454606
1998-04-01,487.135575518601
1998-05-01,433.631192986359
1998-06-01,492.557344644412
1998-07-01,511.51167949444397
1998-08-01,405.180215885716
1998-09-01,503.99208234696897
1998-10-01,511.43865646835
1998-11-01,484.650227901631
1998-12-01,544.223661553827
1999-01-01,481.29849958097
1999-02-01,509.629090171905
1999-03-01,542.983948768205
1999-04-01,550.206958389744
1999-05-01,488.01783399818703
1999-06-01,460.81792914603795
1999-07-01,497.451547369732
1999-08-01,514.359164572493
1999-09-01,434.487599413313
1999-10-01,418.008964213638
1999-11-01,490.16769531214
1999-12-01,495.287928148576
2000-01-01,471.957095419592
2000-02-01,454.01238100974604
2000-03-01,535.4634338092579
2000-04-01,445.16542327069396
2000-05-01,654.114839239291
2000-06-01,512.9603412999691
2000-07-01,493.00822137873
2000-08-01,565.52924120136
2000-09-01,591.655539821758
2000-10-01,586.63588280652
2000-11-01,508.72125355161
2000-12-01,509.316745997455
2001-01-01,470.85642073091697
2001-02-01,571.7149075456559
2001-03-01,468.043232514874
2001-04-01,494.487915590224
2001-05-01,551.436412356751
2001-06-01,525.157613659599
2001-07-01,513.200072087825
2001-08-01,534.051560930082
2001-09-01,451.323540409304
2001-10-01,547.930818992285
2001-11-01,635.582916882065
2001-12-01,387.160578646035
2002-01-01,662.525029193559
2002-02-01,875.452638896179
2002-03-01,579.149025549472
2002-04-01,627.968223556797
2002-05-01,593.165866740937
2002-06-01,521.910216696209
2002-07-01,939.6222126325121
2002-08-01,609.257355624577
2002-09-01,679.1050632977481
2002-10-01,634.824396354104
2002-11-01,583.0023811154709
2002-12-01,705.945132170555
2003-01-01,662.85010086253
2003-02-01,452.01317563974294
2003-03-01,600.2420409483921
2003-04-01,682.552986432724
2003-05-01,621.013649872197
2003-06-01,717.3147642693781
2003-07-01,712.901529248563
2003-08-01,703.0930130461189
2003-09-01,543.975931061998
2003-10-01,703.4669978138651
2003-11-01,586.080350876041
2003-12-01,712.195547423878
2004-01-01,687.738485254256
2004-02-01,843.646649923288
