DATE,DEBPPRIVSA
1988-01-01,550.476640857872
1988-02-01,654.2226748935781
1988-03-01,710.723257449882
1988-04-01,597.937330285961
1988-05-01,665.5536870037461
1988-06-01,741.544476419876
1988-07-01,393.94197698473295
1988-08-01,637.9843250479689
1988-09-01,581.51613462572
1988-10-01,574.466036902571
1988-11-01,662.651539837595
1988-12-01,569.74163764662
1989-01-01,544.7154149650161
1989-02-01,441.569226553618
1989-03-01,465.275624126939
1989-04-01,503.722749455702
1989-05-01,523.35375820597
1989-06-01,672.315041840652
1989-07-01,300.943279922498
1989-08-01,389.170395154024
1989-09-01,645.727875263075
1989-10-01,638.724387989711
1989-11-01,452.64368093319297
1989-12-01,333.674221578755
1990-01-01,535.015643446094
1990-02-01,580.9674676168979
1990-03-01,526.767028975766
1990-04-01,481.29019846725504
1990-05-01,400.03395658145797
1990-06-01,410.334571784765
1990-07-01,450.737961710605
1990-08-01,416.99050369708397
1990-09-01,347.68740115712
1990-10-01,428.655380137024
1990-11-01,440.769355550885
1990-12-01,387.37649269984
1991-01-01,379.29630536013
1991-02-01,341.791434327369
1991-03-01,321.828374213513
1991-04-01,371.36103353823
1991-05-01,410.95465153279196
1991-06-01,359.57183216557996
1991-07-01,370.11776212788806
1991-08-01,353.500633613855
1991-09-01,361.46236356465
1991-10-01,340.09930526001597
1991-11-01,336.514720896566
1991-12-01,393.724510857507
1992-01-01,366.528190476045
1992-02-01,401.84858761013703
1992-03-01,410.739339083948
1992-04-01,369.358927451076
1992-05-01,365.47999728593805
1992-06-01,314.51794553294997
1992-07-01,418.039313799703
1992-08-01,443.159634466394
1992-09-01,488.149159621999
1992-10-01,379.215010265996
1992-11-01,371.736335458704
1992-12-01,343.03087716084
1993-01-01,397.797905546606
1993-02-01,435.571877179526
1993-03-01,388.24725365727403
1993-04-01,420.231249026452
1993-05-01,405.770844647403
1993-06-01,448.64163270475
1993-07-01,393.816294437272
1993-08-01,436.39508675289596
1993-09-01,406.676903888704
1993-10-01,397.81467506884
1993-11-01,399.49943643190903
1993-12-01,428.599672396138
1994-01-01,411.73253852461306
1994-02-01,355.649270979077
1994-03-01,449.45334187466597
1994-04-01,436.354565247285
1994-05-01,443.64164365794403
1994-06-01,391.171385942394
1994-07-01,394.52540636087997
1994-08-01,443.63657714889
1994-09-01,424.46489934810404
1994-10-01,338.286397912709
1994-11-01,442.868882475512
1994-12-01,423.76447568968496
1995-01-01,519.464844009662
1995-02-01,318.904210104753
1995-03-01,334.520098492412
1995-04-01,377.075752953284
1995-05-01,364.49215649243104
1995-06-01,346.00759555403295
1995-07-01,357.89456878031797
1995-08-01,326.462523976112
1995-09-01,405.248617890467
1995-10-01,423.80174778836096
1995-11-01,539.073171847637
1995-12-01,339.632466480239
1996-01-01,339.35958590508
1996-02-01,409.500426217095
1996-03-01,372.859991625058
1996-04-01,395.497719436968
1996-05-01,360.180016626417
1996-06-01,419.705223086552
1996-07-01,371.994395588143
1996-08-01,383.633333544135
1996-09-01,332.069227092706
1996-10-01,366.74760197982005
1996-11-01,346.53917900313
1996-12-01,386.119192793683
1997-01-01,390.155835337118
1997-02-01,389.983863498051
1997-03-01,429.792935831698
1997-04-01,351.41067950797094
1997-05-01,429.704390516557
1997-06-01,335.61861184838904
1997-07-01,425.401682182512
1997-08-01,318.98009077351
1997-09-01,504.384033887276
1997-10-01,481.561895263176
1997-11-01,386.263819285428
1997-12-01,420.64556762588404
1998-01-01,730.410292429444
1998-02-01,376.979912875153
1998-03-01,360.123682712957
1998-04-01,471.34150727164496
1998-05-01,385.879357350359
1998-06-01,443.84108316626504
1998-07-01,474.609846272777
1998-08-01,478.82117802201
1998-09-01,419.570140266587
1998-10-01,362.501568091374
1998-11-01,445.77634693786905
1998-12-01,456.185824466037
1999-01-01,478.03081603617403
1999-02-01,467.12177044744203
1999-03-01,505.537104259754
1999-04-01,389.716297260929
1999-05-01,451.610253142988
1999-06-01,467.959863373984
1999-07-01,403.81794843918897
1999-08-01,393.5512223243
1999-09-01,442.755952386788
1999-10-01,391.91474370875505
1999-11-01,424.684738596385
1999-12-01,422.12954844983
2000-01-01,394.992958352293
2000-02-01,446.834368001447
2000-03-01,405.63372439716795
2000-04-01,266.71375278502603
2000-05-01,399.393964488591
2000-06-01,526.1426700368061
2000-07-01,286.974809201859
2000-08-01,361.587398521648
2000-09-01,402.478077145634
2000-10-01,473.119302252508
2000-11-01,415.860538966631
2000-12-01,417.23071022387296
2001-01-01,434.371541640021
2001-02-01,436.282831303767
2001-03-01,445.891910794618
2001-04-01,460.437077655707
2001-05-01,459.141018936522
2001-06-01,461.84671182963797
2001-07-01,416.677227871149
2001-08-01,447.525594820143
2001-09-01,439.873508764449
2001-10-01,445.29278095495596
2001-11-01,479.551294434548
2001-12-01,418.92070045736705
2002-01-01,544.419097283371
2002-02-01,481.823024996222
2002-03-01,524.341160957248
2002-04-01,525.1003115083461
2002-05-01,507.52618742982
2002-06-01,478.806560571589
2002-07-01,516.685568279941
2002-08-01,540.302354706364
2002-09-01,439.557146693618
2002-10-01,598.348479932515
2002-11-01,507.768514120242
2002-12-01,555.555539455494
2003-01-01,452.491122663244
2003-02-01,490.24467306836897
2003-03-01,451.593216169007
2003-04-01,509.566049541991
2003-05-01,681.696329039301
2003-06-01,517.974975279863
2003-07-01,644.678841953481
2003-08-01,637.736050815233
2003-09-01,636.876304046003
2003-10-01,638.398569050429
2003-11-01,783.202770274449
2003-12-01,1151.45206054339
2004-01-01,660.943742444691
2004-02-01,739.359219735014
2004-03-01,783.786521623697
