DATE,CABPPRIVSA
1988-01-01,16466.483108968998
1988-02-01,19704.3786206515
1988-03-01,19420.9456936104
1988-04-01,21148.677853845
1988-05-01,19129.807991499398
1988-06-01,21077.4705927905
1988-07-01,18940.715006129598
1988-08-01,22646.438667437596
1988-09-01,20723.743662112
1988-10-01,22482.9341485181
1988-11-01,27485.2416722183
1988-12-01,19450.3370892939
1989-01-01,19852.0929914287
1989-02-01,20109.923831168002
1989-03-01,18775.392645966
1989-04-01,19020.2190751104
1989-05-01,20713.5986871187
1989-06-01,18036.0713524081
1989-07-01,19990.027236865702
1989-08-01,18271.9380245585
1989-09-01,19103.0975447321
1989-10-01,19545.8796030196
1989-11-01,20392.679838101798
1989-12-01,23086.295504452202
1990-01-01,20920.4833919976
1990-02-01,19301.841661489398
1990-03-01,16533.6051921884
1990-04-01,14412.0598973866
1990-05-01,14303.479866313
1990-06-01,13872.820538054099
1990-07-01,12526.114929566398
1990-08-01,12108.923718706299
1990-09-01,11272.0959110276
1990-10-01,9364.925354398041
1990-11-01,9445.09220412345
1990-12-01,8227.87576252197
1991-01-01,8856.772608582809
1991-02-01,8236.5997369338
1991-03-01,10040.0046777267
1991-04-01,9238.452318249609
1991-05-01,10306.766471265899
1991-06-01,8363.424377812491
1991-07-01,9597.60699593207
1991-08-01,8543.67012866024
1991-09-01,8371.61214991547
1991-10-01,9399.138662156929
1991-11-01,7699.685692935609
1991-12-01,8217.32696219822
1992-01-01,8233.08325197007
1992-02-01,9860.09982849315
1992-03-01,7358.682316677579
1992-04-01,8811.74645466085
1992-05-01,7397.417637451541
1992-06-01,8631.13817216869
1992-07-01,7742.01018017985
1992-08-01,7659.50074238625
1992-09-01,7603.418909559441
1992-10-01,7716.871637326899
1992-11-01,7515.46592807583
1992-12-01,9609.41605910734
1993-01-01,7998.87304520448
1993-02-01,6684.879027429611
1993-03-01,7988.237908735841
1993-04-01,7067.34269108119
1993-05-01,6606.04247414918
1993-06-01,7524.7024471224595
1993-07-01,6548.8672802971105
1993-08-01,6727.149854255999
1993-09-01,6994.526891211949
1993-10-01,6499.80681253894
1993-11-01,7011.23897921759
1993-12-01,7694.68965904505
1994-01-01,7156.03298923977
1994-02-01,7979.12930800287
1994-03-01,8541.853047464709
1994-04-01,7368.7154119467405
1994-05-01,7897.0617442613
1994-06-01,10478.2603348584
1994-07-01,6168.28478571869
1994-08-01,8430.807038022891
1994-09-01,8344.04293232649
1994-10-01,7810.1555091458995
1994-11-01,8409.84230979768
1994-12-01,6958.5287104237705
1995-01-01,5843.68620604682
1995-02-01,7973.204512058001
1995-03-01,5856.619361474301
1995-04-01,6404.65296671812
1995-05-01,7298.14311024389
1995-06-01,6531.2745108201
1995-07-01,6769.32550960904
1995-08-01,8823.62616275918
1995-09-01,6783.69813752084
1995-10-01,7141.794159858009
1995-11-01,7892.23594269141
1995-12-01,7898.26787781365
1996-01-01,7895.598160165579
1996-02-01,7199.74906470115
1996-03-01,7737.50662732055
1996-04-01,8151.778189723009
1996-05-01,7684.5338752180405
1996-06-01,6898.1708205926
1996-07-01,7782.4288667126
1996-08-01,7536.74457291527
1996-09-01,7523.82850139496
1996-10-01,9695.06358272591
1996-11-01,7305.45971300986
1996-12-01,6401.2524621676
1997-01-01,7455.084739889741
1997-02-01,9772.62501088813
1997-03-01,8017.8865969537
1997-04-01,8727.701997353959
1997-05-01,8657.7821772769
1997-06-01,8091.101351284351
1997-07-01,9244.136375778871
1997-08-01,8974.60125145142
1997-09-01,9866.47677060396
1997-10-01,11895.0808677162
1997-11-01,8793.773118602621
1997-12-01,9581.61279075783
1998-01-01,7767.201800328091
1998-02-01,9218.99113447277
1998-03-01,9634.21557286774
1998-04-01,10321.8271471838
1998-05-01,9498.83299194646
1998-06-01,11196.4225808157
1998-07-01,10282.8568941792
1998-08-01,10918.8284014304
1998-09-01,11102.3726971875
1998-10-01,11223.4586348852
1998-11-01,10839.2154695431
1998-12-01,10532.9003855023
1999-01-01,11041.5809849044
1999-02-01,10399.307708812901
1999-03-01,10921.1354192063
1999-04-01,10180.3815578638
1999-05-01,11118.2455658786
1999-06-01,11942.43150142
1999-07-01,12125.6588108948
1999-08-01,10784.0375194851
1999-09-01,10989.865316804
1999-10-01,10952.4716726808
1999-11-01,11011.0240661846
1999-12-01,11604.3428099579
2000-01-01,11951.086643016899
2000-02-01,11922.9012129006
2000-03-01,12069.049337068
2000-04-01,10757.5632567728
2000-05-01,11245.9330131457
2000-06-01,14511.7099648407
2000-07-01,10824.2487002915
2000-08-01,12134.9084044879
2000-09-01,11282.894383230401
2000-10-01,11611.5005124692
2000-11-01,12689.1267356913
2000-12-01,12714.5293984177
2001-01-01,15950.574450511398
2001-02-01,10619.3246189993
2001-03-01,11935.7839316977
2001-04-01,12151.7566365221
2001-05-01,12092.680536201102
2001-06-01,11909.2915091923
2001-07-01,10294.7771877576
2001-08-01,12798.9446106622
2001-09-01,9317.62878951217
2001-10-01,12003.8921480225
2001-11-01,11501.071878641202
2001-12-01,11770.5884132721
2002-01-01,11799.729246225701
2002-02-01,12748.1221550019
2002-03-01,11622.6659749215
2002-04-01,12554.2724292318
2002-05-01,11997.695674913999
2002-06-01,11516.437791558501
2002-07-01,13594.165486913602
2002-08-01,12963.8003997306
2002-09-01,13492.8305364594
2002-10-01,18188.640594359098
2002-11-01,14210.6122061666
2002-12-01,12675.397643131999
2003-01-01,15204.0249126251
2003-02-01,17762.2692182443
2003-03-01,14197.656132799199
2003-04-01,14986.3086110967
2003-05-01,15934.199828861101
2003-06-01,14002.2411431241
2003-07-01,15878.800717850401
2003-08-01,14117.0239369469
2003-09-01,15412.0963027546
2003-10-01,20612.7829930796
2003-11-01,15093.2580370472
2003-12-01,15660.4786829765
2004-01-01,16146.903641313
2004-02-01,16040.937392783999
2004-03-01,17130.6463955729
2004-04-01,16998.3395321492
2004-05-01,16089.090850356599
2004-06-01,17192.3500461308
2004-07-01,16792.6462016753
2004-08-01,17604.0165656183
2004-09-01,17854.6694584494
2004-10-01,17531.326661549097
2004-11-01,19938.532502026297
2004-12-01,19166.5558917698
2005-01-01,16518.500964670602
2005-02-01,15835.061615048799
2005-03-01,16123.3288166382
2005-04-01,16795.4439748168
2005-05-01,15606.7688658652
2005-06-01,17005.7676609878
2005-07-01,17147.3597725219
2005-08-01,16923.2514102614
2005-09-01,20692.310883235
2005-10-01,15046.8086428936
2005-11-01,16052.380679802
2005-12-01,13589.7036909493
2006-01-01,14210.7466462945
2006-02-01,18177.050334416002
2006-03-01,13719.524052255601
2006-04-01,13498.2394666524
2006-05-01,13847.2120941435
2006-06-01,13789.331497793
2006-07-01,10680.045723045601
2006-08-01,11582.828630440301
2006-09-01,12259.1349343011
2006-10-01,10546.7430309583
2006-11-01,10848.2499002517
2006-12-01,10647.773673948801
2007-01-01,11884.2546054822
2007-02-01,9565.94962388499
