DATE,PABPPRIVSA
1988-01-01,4303.156045607129
1988-02-01,4509.83720200501
1988-03-01,5821.0891316240295
1988-04-01,4945.45992787229
1988-05-01,4343.47542612238
1988-06-01,4825.41963533615
1988-07-01,3705.1597646622
1988-08-01,4505.8632939654
1988-09-01,4294.88715517293
1988-10-01,4132.4316589479495
1988-11-01,4221.29952664343
1988-12-01,4548.177293657871
1989-01-01,3833.2881249408
1989-02-01,4061.8006309365
1989-03-01,3592.41968423844
1989-04-01,4173.62564825883
1989-05-01,3998.8406772167205
1989-06-01,3725.74657415605
1989-07-01,3487.7026892995
1989-08-01,3945.4712879592103
1989-09-01,4005.3014364938704
1989-10-01,3581.51268369096
1989-11-01,3507.194666738
1989-12-01,3481.65546372317
1990-01-01,3935.5095980984206
1990-02-01,3704.31821034374
1990-03-01,3492.5924010101503
1990-04-01,3015.3914294401898
1990-05-01,3240.59155255556
1990-06-01,2933.96448606388
1990-07-01,2804.7168307214897
1990-08-01,2648.15789230596
1990-09-01,2287.01318727117
1990-10-01,3002.1180246315002
1990-11-01,2657.2230883637803
1990-12-01,2163.2266145918898
1991-01-01,2680.60662817807
1991-02-01,2754.6681118452602
1991-03-01,3139.70056668479
1991-04-01,3075.6357174990503
1991-05-01,2839.73151398057
1991-06-01,2863.3288839886
1991-07-01,3351.7898349906895
1991-08-01,3043.97072218378
1991-09-01,2971.39609228271
1991-10-01,3423.37296486642
1991-11-01,3028.56693606431
1991-12-01,3111.8096925781397
1992-01-01,3353.18324061129
1992-02-01,3342.85521267086
1992-03-01,3432.10358007332
1992-04-01,3039.62199634247
1992-05-01,3252.05665251656
1992-06-01,3075.42215817245
1992-07-01,3441.51733236341
1992-08-01,3084.35923714409
1992-09-01,3345.70672502378
1992-10-01,3000.5463995115197
1992-11-01,3313.3348353165397
1992-12-01,3656.66489724024
1993-01-01,3794.4366681497795
1993-02-01,3393.97459030779
1993-03-01,2963.3002081169398
1993-04-01,3185.95626421651
1993-05-01,3102.6920211206298
1993-06-01,3727.10595495094
1993-07-01,3298.9622338764098
1993-08-01,3658.29456285508
1993-09-01,3514.20989947226
1993-10-01,3557.8388405539004
1993-11-01,3737.29648374534
1993-12-01,4465.851143497321
1994-01-01,2111.19155619054
1994-02-01,2732.89813142315
1994-03-01,2988.76274119959
1994-04-01,3224.03489213449
1994-05-01,3856.4161870301295
1994-06-01,3653.21868527844
1994-07-01,3716.8379584988
1994-08-01,3397.2785709922496
1994-09-01,3254.23938424984
1994-10-01,2889.42005466393
1994-11-01,3238.2527654531605
1994-12-01,3941.77413438231
1995-01-01,3089.55661132552
1995-02-01,2766.6320272190997
1995-03-01,2771.79939059995
1995-04-01,2752.0492570234196
1995-05-01,2875.7462839462605
1995-06-01,2901.13377350659
1995-07-01,2819.40746251065
1995-08-01,3134.2286633363397
1995-09-01,2893.1776302986605
1995-10-01,3085.62625031842
1995-11-01,2983.1091473004103
1995-12-01,2738.1735181115
1996-01-01,2309.5719156829896
1996-02-01,2591.89490836207
1996-03-01,2969.04673150223
1996-04-01,3293.98411270419
1996-05-01,3414.15897985333
1996-06-01,2955.78151894722
1996-07-01,3193.19761403242
1996-08-01,3224.68305030156
1996-09-01,3367.8268252518
1996-10-01,3558.07958323424
1996-11-01,3024.25636698754
1996-12-01,3027.12666960055
1997-01-01,3308.72150922584
1997-02-01,3827.8011015484794
1997-03-01,3408.33537786546
1997-04-01,3108.9546142169897
1997-05-01,3089.33011561749
1997-06-01,2938.67564508843
1997-07-01,3042.7084353608097
1997-08-01,3146.58665069119
1997-09-01,3140.16167589307
1997-10-01,3166.6367646020003
1997-11-01,2901.49970055671
1997-12-01,3191.80510371904
1998-01-01,3916.0544265140707
1998-02-01,3385.48815960718
1998-03-01,3201.75039133271
1998-04-01,3356.1367144505393
1998-05-01,2623.09667046606
1998-06-01,3446.24367614128
1998-07-01,3299.17781916349
1998-08-01,2938.53794535789
1998-09-01,3826.0661850654496
1998-10-01,3286.45063640562
1998-11-01,4006.97145439971
1998-12-01,4170.77625964483
1999-01-01,3083.1278008240997
1999-02-01,3596.0400564904903
1999-03-01,3554.1327269964504
1999-04-01,3401.6525624719
1999-05-01,3190.7208579266
1999-06-01,4219.3441188826
1999-07-01,3230.6023207250396
1999-08-01,3154.7369556968297
1999-09-01,3006.23114836733
1999-10-01,2819.22556154887
1999-11-01,3554.21649463676
1999-12-01,3398.40657141235
2000-01-01,3640.3652290339705
2000-02-01,3316.3764913894
2000-03-01,3783.91925156103
2000-04-01,2695.05221329286
2000-05-01,3581.8164258487604
2000-06-01,3408.03952768503
2000-07-01,2983.0051521430296
2000-08-01,3437.7831741679497
2000-09-01,3313.21681866453
2000-10-01,3287.19125655113
2000-11-01,3178.84253041461
2000-12-01,2686.67262223571
2001-01-01,2995.06770779086
2001-02-01,2748.69079304093
2001-03-01,3236.31278757031
2001-04-01,3242.72926996646
2001-05-01,3239.1593008468103
2001-06-01,3335.7903989135198
2001-07-01,3217.3982309059197
2001-08-01,3379.91833346745
2001-09-01,2706.6400604035002
2001-10-01,3924.52113672776
2001-11-01,2810.94933242181
2001-12-01,3084.7338289412
2002-01-01,3528.2345643096796
2002-02-01,3755.7686216579705
2002-03-01,2886.52415154675
2002-04-01,3320.14557795096
2002-05-01,3462.43169630266
2002-06-01,3176.5211245945598
2002-07-01,3444.51236586588
2002-08-01,3533.37162936285
2002-09-01,3562.08772891943
2002-10-01,3984.57980137331
2002-11-01,3340.18191289764
2002-12-01,3537.5227752796995
2003-01-01,3328.7998280510496
