DATE,GABPPRIVSA
1988-01-01,3645.5199717953496
1988-02-01,6017.5934311788205
1988-03-01,6090.5551641177
1988-04-01,5891.4348050851295
1988-05-01,5339.66317143256
1988-06-01,6143.355667145191
1988-07-01,5041.791347377671
1988-08-01,4958.5334080147995
1988-09-01,4504.865834309389
1988-10-01,5363.876712459821
1988-11-01,5630.6230030177
1988-12-01,5449.58467614057
1989-01-01,5025.62731979552
1989-02-01,4746.600610628921
1989-03-01,4239.27016667592
1989-04-01,3986.3487181947703
1989-05-01,4693.58441532303
1989-06-01,4098.350274970529
1989-07-01,3830.3728171312605
1989-08-01,4578.68149162248
1989-09-01,4507.70757337053
1989-10-01,4179.9218406137
1989-11-01,4168.8962548578
1989-12-01,4238.004284347539
1990-01-01,6280.50413806967
1990-02-01,3385.55137509097
1990-03-01,3831.51809319497
1990-04-01,3286.67536047234
1990-05-01,3298.4631227963396
1990-06-01,3098.2890530650798
1990-07-01,3273.7710289310103
1990-08-01,3874.4255525840504
1990-09-01,2854.64031465364
1990-10-01,2768.98701802016
1990-11-01,2696.46172330852
1990-12-01,2596.8424581940303
1991-01-01,2760.62796589141
1991-02-01,3566.17042885909
1991-03-01,2877.27298684344
1991-04-01,3488.9136149997103
1991-05-01,3277.2190112960197
1991-06-01,2667.464260118
1991-07-01,3585.7398891076705
1991-08-01,2738.85621414506
1991-09-01,3555.3302229383294
1991-10-01,3366.79680972262
1991-11-01,3462.80900924177
1991-12-01,3275.29626385036
1992-01-01,3790.14009278363
1992-02-01,3949.00945693127
1992-03-01,3841.6834040631
1992-04-01,3920.50221077683
1992-05-01,3561.1391751189003
1992-06-01,3914.7007273659997
1992-07-01,3900.5805759262603
1992-08-01,3276.64104759076
1992-09-01,3699.8188172835903
1992-10-01,3978.6014552727297
1992-11-01,3593.3999071867797
1992-12-01,3836.94425224951
1993-01-01,4396.177135116371
1993-02-01,4397.01847575615
1993-03-01,4206.4447738095505
1993-04-01,4109.90199543182
1993-05-01,3984.2302727176398
1993-06-01,4468.21059054003
1993-07-01,4486.43001488714
1993-08-01,4837.95185741733
1993-09-01,5011.42098279878
1993-10-01,5305.29831593535
1993-11-01,5508.20376182376
1993-12-01,5444.35424570052
1994-01-01,4815.43435451007
1994-02-01,5220.25808518698
1994-03-01,5654.077575309871
1994-04-01,5543.38664994095
1994-05-01,6118.38903207518
1994-06-01,6031.32028719186
1994-07-01,4285.06421785805
1994-08-01,5751.985925453349
1994-09-01,5829.786085778261
1994-10-01,5789.6590107519605
1994-11-01,7295.913208622
1994-12-01,6201.18587630995
1995-01-01,6281.085987518579
1995-02-01,5212.08109294955
1995-03-01,5874.765597391141
1995-04-01,5412.29414945392
1995-05-01,6072.2207878788
1995-06-01,7817.152703424879
1995-07-01,6643.962308586961
1995-08-01,6875.929448878621
1995-09-01,6685.112525670961
1995-10-01,6441.26366059052
1995-11-01,6866.98735254356
1995-12-01,6996.26714876325
1996-01-01,6909.56869716468
1996-02-01,7196.733082190359
1996-03-01,5739.375023227329
1996-04-01,7370.211233193299
1996-05-01,7225.450717150029
1996-06-01,6146.90346161464
1996-07-01,6233.01866947818
1996-08-01,7017.90141086856
1996-09-01,6802.81810494042
1996-10-01,6146.7945445262
1996-11-01,5961.21056009598
1996-12-01,6617.14098590922
1997-01-01,6371.92523561866
1997-02-01,5155.29164960742
1997-03-01,6079.66750856816
1997-04-01,6959.139260062099
1997-05-01,6262.364200132321
1997-06-01,6578.89868360521
1997-07-01,7166.500529037779
1997-08-01,6065.39863576286
1997-09-01,5937.45655722743
1997-10-01,7836.39847390869
1997-11-01,6093.39044567957
1997-12-01,5934.55568630481
1998-01-01,6422.66967655484
1998-02-01,7049.323013515171
1998-03-01,7374.38233482157
1998-04-01,6684.83870107673
1998-05-01,7002.33853948966
1998-06-01,6849.37064546306
1998-07-01,7117.85004948665
1998-08-01,7587.02634775182
1998-09-01,7699.42402093333
1998-10-01,8265.08146754153
1998-11-01,8187.366419065241
1998-12-01,8303.258508711891
1999-01-01,6970.215545774539
1999-02-01,7462.541113782199
1999-03-01,7336.4403602085595
1999-04-01,7552.8932901445
1999-05-01,5773.527054653
1999-06-01,8965.35417876658
1999-07-01,6772.22368206681
1999-08-01,7438.205655628941
1999-09-01,7570.472382171351
1999-10-01,7510.024719488129
1999-11-01,9478.32814606542
1999-12-01,7800.94415682567
2000-01-01,7941.171436834109
2000-02-01,8062.658293767141
2000-03-01,7978.447140830659
2000-04-01,7657.64870948978
2000-05-01,7631.34923645356
2000-06-01,7800.33054848525
2000-07-01,7419.46513297311
2000-08-01,7248.82127487755
2000-09-01,7786.561615645859
2000-10-01,7235.16379547755
2000-11-01,7879.71594603512
2000-12-01,7544.651477556479
2001-01-01,8303.44605629558
2001-02-01,8117.729787102049
2001-03-01,7080.612211052571
2001-04-01,7664.08640033522
2001-05-01,7775.87910765553
2001-06-01,9126.90536183852
2001-07-01,8018.807312343941
2001-08-01,7609.34714793544
2001-09-01,7110.242076013671
2001-10-01,7384.37108412162
2001-11-01,7484.754080395559
2001-12-01,7172.627560629259
2002-01-01,7440.309141100291
2002-02-01,8134.55479663029
2002-03-01,8079.894637511949
2002-04-01,8410.137949903728
2002-05-01,8603.28884596912
2002-06-01,8539.516425590458
2002-07-01,8908.27615379854
2002-08-01,6598.18465124699
2002-09-01,7636.9223605341
2002-10-01,8368.95229772446
2002-11-01,7568.337993792629
2002-12-01,7615.00272114157
2003-01-01,7831.839950130459
2003-02-01,7161.898646594909
2003-03-01,7308.837012573391
2003-04-01,7806.155568399159
