DATE,IDBPPRIVSA
1988-01-01,218.05423762916598
1988-02-01,269.966678712029
1988-03-01,281.054236172073
1988-04-01,268.50160683366903
1988-05-01,240.507465248076
1988-06-01,261.343338729419
1988-07-01,254.02630409924703
1988-08-01,311.986257784162
1988-09-01,282.470709116432
1988-10-01,290.310049675994
1988-11-01,245.462328610251
1988-12-01,233.926827634072
1989-01-01,240.630674935656
1989-02-01,260.999288951612
1989-03-01,311.16117223429296
1989-04-01,311.048231406186
1989-05-01,381.809475129922
1989-06-01,467.68954565601405
1989-07-01,563.000088761332
1989-08-01,332.433575303299
1989-09-01,415.060317633066
1989-10-01,399.30749421525803
1989-11-01,474.393416548497
1989-12-01,488.568074010971
1990-01-01,537.31140934776
1990-02-01,423.901334699971
1990-03-01,457.685570845605
1990-04-01,451.809460820743
1990-05-01,455.201786193302
1990-06-01,402.108402925486
1990-07-01,497.276510449254
1990-08-01,444.247883206548
1990-09-01,550.923870514813
1990-10-01,414.382507033095
1990-11-01,403.305763700583
1990-12-01,439.63015324589895
1991-01-01,390.244704223467
1991-02-01,454.39420640453005
1991-03-01,446.85543074739195
1991-04-01,486.57425079827794
1991-05-01,626.893212265065
1991-06-01,493.682228988303
1991-07-01,510.248068313543
1991-08-01,564.925267557412
1991-09-01,515.8459490722889
1991-10-01,831.957865026378
1991-11-01,444.75019440947
1991-12-01,730.9986892252541
1992-01-01,835.039388140179
1992-02-01,760.3230737488609
1992-03-01,710.15152775965
1992-04-01,810.8006379723081
1992-05-01,710.1431488026969
1992-06-01,697.0328854849989
1992-07-01,682.595840921732
1992-08-01,723.040869477207
1992-09-01,796.4950197999249
1992-10-01,1190.0277261869999
1992-11-01,867.718221095437
1992-12-01,710.333782384037
1993-01-01,677.767223750383
1993-02-01,1034.6425345114599
1993-03-01,808.5550963234771
1993-04-01,802.172671192892
1993-05-01,792.088610590825
1993-06-01,820.083658223088
1993-07-01,948.293672324032
1993-08-01,966.5351370630369
1993-09-01,922.223410080519
1993-10-01,1010.3284618183001
1993-11-01,1117.8399014035601
1993-12-01,1176.1657876152
1994-01-01,1483.17465844884
1994-02-01,727.097724675578
1994-03-01,1197.19469571099
1994-04-01,1059.10096662861
1994-05-01,908.055134735357
1994-06-01,954.0844155647861
1994-07-01,826.222523728858
1994-08-01,814.05839939306
1994-09-01,1375.8926015094
1994-10-01,900.206026445433
1994-11-01,671.208070168905
1994-12-01,655.355274031512
1995-01-01,711.3044391036279
1995-02-01,819.2038466646981
1995-03-01,690.224732145612
1995-04-01,595.559240967763
1995-05-01,819.0377502862019
1995-06-01,933.566323752205
1995-07-01,741.734525136942
1995-08-01,926.2638415011819
1995-09-01,987.435142579025
1995-10-01,787.875333870103
1995-11-01,917.4247039765049
1995-12-01,933.284677224991
1996-01-01,782.661066902826
1996-02-01,827.5211689346789
1996-03-01,795.4946215799
1996-04-01,886.1371179132229
1996-05-01,922.6073599801371
1996-06-01,851.160727815532
1996-07-01,881.4266348392171
1996-08-01,731.9306730238859
1996-09-01,740.583397849918
1996-10-01,695.961857786602
1996-11-01,691.4592393416541
1996-12-01,607.726088421743
1997-01-01,779.401768030726
1997-02-01,753.4303733218441
1997-03-01,778.793155330562
1997-04-01,794.4280656751461
1997-05-01,754.974055728609
1997-06-01,731.88559173838
1997-07-01,945.7996528960871
1997-08-01,932.574575367403
1997-09-01,782.169980178421
1997-10-01,889.572977308656
1997-11-01,826.8632976339129
1997-12-01,865.0046103786
1998-01-01,865.3016151641409
1998-02-01,817.34593407102
1998-03-01,1089.85195448994
1998-04-01,850.1839434457049
1998-05-01,848.100142675417
1998-06-01,786.078878342546
1998-07-01,881.001576737391
1998-08-01,803.766616824241
1998-09-01,856.709224108521
1998-10-01,930.9328293424389
1998-11-01,948.53104103152
1998-12-01,1030.32490831036
1999-01-01,907.684789520237
1999-02-01,737.520961550074
1999-03-01,904.4282333805901
1999-04-01,1066.2505380189698
1999-05-01,849.6635802293739
1999-06-01,975.865322638348
1999-07-01,973.0599779610229
1999-08-01,857.666409664491
1999-09-01,1027.34568073117
1999-10-01,889.7139586431109
1999-11-01,879.645877053793
1999-12-01,923.3559289391001
2000-01-01,847.9546669784249
2000-02-01,879.649777431937
2000-03-01,893.2398071973109
2000-04-01,813.6646342625779
2000-05-01,870.128129783621
2000-06-01,956.995986986462
2000-07-01,816.7285280195689
2000-08-01,943.717351878623
2000-09-01,899.7015865589
2000-10-01,772.198805415339
2000-11-01,996.068803081353
2000-12-01,671.991319125519
2001-01-01,1054.20331077101
2001-02-01,955.569731009474
2001-03-01,1278.02172691279
2001-04-01,900.388036413395
2001-05-01,1018.1301493740899
2001-06-01,1022.4618714480999
2001-07-01,825.101866715636
2001-08-01,939.331853707551
2001-09-01,726.5802513772501
2001-10-01,955.062104444442
2001-11-01,781.82964956516
2001-12-01,728.6189242951269
2002-01-01,1004.1489730694199
2002-02-01,849.973746913423
2002-03-01,829.8272231976081
2002-04-01,1058.88261309953
2002-05-01,973.7984526531011
2002-06-01,809.4330377427631
2002-07-01,949.902654569575
2002-08-01,1006.33759265053
2002-09-01,1166.16468467179
2002-10-01,1254.6948968264599
2002-11-01,1135.71937224502
2002-12-01,1675.7291014801199
2003-01-01,1141.6689774017
2003-02-01,1300.22818555053
2003-03-01,1009.3185133323401
2003-04-01,1156.7361015690599
2003-05-01,1181.54338105593
2003-06-01,1115.4494287429902
2003-07-01,1272.55021288991
2003-08-01,1218.86126266806
2003-09-01,1313.21388984923
2003-10-01,1456.56766686271
2003-11-01,1285.4994055151699
