DATE,VTBPPRIVSA
1988-01-01,225.12190892700698
1988-02-01,405.57637683084
1988-03-01,388.58505747092005
1988-04-01,567.644895308581
1988-05-01,401.304891486636
1988-06-01,416.89047666155096
1988-07-01,355.29026255876505
1988-08-01,922.560886478513
1988-09-01,401.539056039523
1988-10-01,327.897094351405
1988-11-01,322.236427075566
1988-12-01,362.21520765980796
1989-01-01,339.85702063439
1989-02-01,271.512185152193
1989-03-01,392.520161129044
1989-04-01,355.865848455886
1989-05-01,366.853759070961
1989-06-01,312.720196175047
1989-07-01,264.13921966568404
1989-08-01,281.561168160117
1989-09-01,229.80334398775298
1989-10-01,256.102884311092
1989-11-01,288.86167314999403
1989-12-01,250.47115664900798
1990-01-01,286.510347965669
1990-02-01,310.110306766399
1990-03-01,214.98936391829
1990-04-01,195.034960276065
1990-05-01,187.337462363039
1990-06-01,188.959049601013
1990-07-01,206.726853000425
1990-08-01,180.263961784574
1990-09-01,191.626786348921
1990-10-01,211.79687412632
1990-11-01,174.689877908232
1990-12-01,178.72322989265498
1991-01-01,101.35432396846599
1991-02-01,134.55832612980302
1991-03-01,129.887420133489
1991-04-01,169.08095758585
1991-05-01,220.697823042668
1991-06-01,150.85059223708402
1991-07-01,165.920353412198
1991-08-01,132.09335465459
1991-09-01,173.39694349153197
1991-10-01,172.914274017451
1991-11-01,158.708937224194
1991-12-01,107.060744197137
1992-01-01,140.866773675052
1992-02-01,255.378683327659
1992-03-01,184.057450171506
1992-04-01,164.733918400788
1992-05-01,158.188999203301
1992-06-01,176.255267009161
1992-07-01,195.013400928044
1992-08-01,159.780099821032
1992-09-01,297.382297389152
1992-10-01,144.282267121353
1992-11-01,180.831122890451
1992-12-01,155.045607318523
1993-01-01,173.02962122214902
1993-02-01,174.24709162465598
1993-03-01,149.07494287284402
1993-04-01,133.470633546873
1993-05-01,165.443565140983
1993-06-01,177.55069169966202
1993-07-01,176.054379194574
1993-08-01,172.579894848881
1993-09-01,171.891341015867
1993-10-01,182.186098548084
1993-11-01,255.47618127033599
1993-12-01,184.266514288017
1994-01-01,115.121136709428
1994-02-01,178.155604929115
1994-03-01,154.275460340936
1994-04-01,190.243780360041
1994-05-01,248.332150884136
1994-06-01,210.069395562812
1994-07-01,208.762342525962
1994-08-01,217.32660387359402
1994-09-01,187.606335373877
1994-10-01,193.55422625914198
1994-11-01,196.44242421243197
1994-12-01,175.170755373349
1995-01-01,194.95543172442402
1995-02-01,192.737252925197
1995-03-01,182.402206255299
1995-04-01,216.080877338926
1995-05-01,169.662459255334
1995-06-01,156.823758899361
1995-07-01,140.202980401056
1995-08-01,210.091646090689
1995-09-01,181.533161119221
1995-10-01,246.014308130047
1995-11-01,181.87373292020501
1995-12-01,269.855689754691
1996-01-01,144.392765823026
1996-02-01,190.890236185111
1996-03-01,230.21962852832803
1996-04-01,171.242696603188
1996-05-01,178.62782115422698
1996-06-01,180.05970880004298
1996-07-01,187.824200622997
1996-08-01,181.527912882699
1996-09-01,181.97169938565497
1996-10-01,179.040382433474
1996-11-01,190.19603303174
1996-12-01,203.044721912151
1997-01-01,200.149413117813
1997-02-01,112.246523465072
1997-03-01,208.34080193031897
1997-04-01,169.743841108738
1997-05-01,158.26635679529102
1997-06-01,145.252799800835
1997-07-01,167.314944479714
1997-08-01,173.46075674891998
1997-09-01,170.907923861144
1997-10-01,138.06750102163602
1997-11-01,131.160137473284
1997-12-01,167.335225451726
1998-01-01,305.865761012897
1998-02-01,160.66384708038998
1998-03-01,172.577912364052
1998-04-01,174.622324556155
1998-05-01,159.479133192062
1998-06-01,208.127402030649
1998-07-01,165.728902579746
1998-08-01,213.681362049361
1998-09-01,186.18510744569
1998-10-01,191.031730710704
1998-11-01,174.07482298884997
1998-12-01,202.576606698531
1999-01-01,147.609860952392
1999-02-01,204.218633485259
1999-03-01,206.917252699001
1999-04-01,226.13818534283698
1999-05-01,199.051781370524
1999-06-01,320.293710767958
1999-07-01,227.940830939926
1999-08-01,161.23599677954599
1999-09-01,207.64463690278197
1999-10-01,164.075568569707
1999-11-01,213.51051016587502
1999-12-01,211.990462773161
2000-01-01,170.64859935859698
2000-02-01,195.411300454788
2000-03-01,194.147346378742
2000-04-01,176.925356990986
2000-05-01,209.213591220216
2000-06-01,217.509205126236
2000-07-01,176.39038773295
2000-08-01,193.226740975121
2000-09-01,160.014611284687
2000-10-01,186.10347267267602
2000-11-01,231.405798680653
2000-12-01,159.056705644419
2001-01-01,213.779380423627
2001-02-01,229.74978988235299
2001-03-01,151.336023738634
2001-04-01,152.614416907277
2001-05-01,214.554221575729
2001-06-01,180.331302700193
2001-07-01,306.399654956619
2001-08-01,187.640227246765
2001-09-01,229.680905434208
2001-10-01,225.324777245644
2001-11-01,173.148787226062
2001-12-01,160.47255472074698
2002-01-01,278.977492540771
2002-02-01,197.02464899587298
2002-03-01,338.314564926511
2002-04-01,246.484223852218
2002-05-01,211.168773962157
2002-06-01,204.75070622634
2002-07-01,253.528081956916
2002-08-01,218.677709471312
2002-09-01,226.25968390207902
2002-10-01,258.962048119607
2002-11-01,262.57394998062097
2002-12-01,238.80573066620602
2003-01-01,225.879876267229
2003-02-01,231.40660670917703
2003-03-01,184.707764754865
2003-04-01,260.685400252988
2003-05-01,228.48753798925702
2003-06-01,212.86867197663102
2003-07-01,221.762151322639
2003-08-01,204.874593180722
2003-09-01,208.214717037783
2003-10-01,287.920232800039
2003-11-01,239.645407287966
2003-12-01,312.53838536475797
2004-01-01,314.102472188712
2004-02-01,192.104879475225
2004-03-01,340.59361481210897
