DATE,LABPPRIVSA
1988-01-01,438.01852369652397
1988-02-01,452.331039782253
1988-03-01,510.34601596861603
1988-04-01,547.283863017352
1988-05-01,502.942140183508
1988-06-01,795.796522452071
1988-07-01,504.768583513183
1988-08-01,498.81781241808096
1988-09-01,698.104685322108
1988-10-01,479.795005114733
1988-11-01,423.149597509233
1988-12-01,496.49036051509
1989-01-01,478.272468649313
1989-02-01,698.194610992483
1989-03-01,541.2461304042359
1989-04-01,425.41241863908095
1989-05-01,455.021917355216
1989-06-01,500.495632465758
1989-07-01,337.74951949291403
1989-08-01,451.33885075891897
1989-09-01,430.967097149012
1989-10-01,710.107249610791
1989-11-01,567.158411773383
1989-12-01,529.117055273032
1990-01-01,509.23894538770105
1990-02-01,446.188370010053
1990-03-01,461.110563255348
1990-04-01,407.29059898513196
1990-05-01,566.287110087826
1990-06-01,446.161547911334
1990-07-01,493.01053222926697
1990-08-01,514.857217295837
1990-09-01,402.755001575421
1990-10-01,439.96097141236
1990-11-01,524.3451242513761
1990-12-01,671.557295250587
1991-01-01,418.613553079842
1991-02-01,523.921915998602
1991-03-01,399.637481229924
1991-04-01,562.834148842344
1991-05-01,552.984277044062
1991-06-01,488.057343855605
1991-07-01,661.682932287756
1991-08-01,603.137629519789
1991-09-01,726.503034371714
1991-10-01,748.244145706745
1991-11-01,529.025590608727
1991-12-01,647.746637215171
1992-01-01,775.934091967965
1992-02-01,721.561703044004
1992-03-01,720.6566233207581
1992-04-01,784.3208928519659
1992-05-01,760.994910669598
1992-06-01,865.9976565445711
1992-07-01,943.4014213770621
1992-08-01,716.140907355303
1992-09-01,851.266065939839
1992-10-01,847.477882281122
1992-11-01,880.073900930278
1992-12-01,805.80097869517
1993-01-01,894.008316557346
1993-02-01,1232.19808809404
1993-03-01,840.7346708367909
1993-04-01,756.034837013161
1993-05-01,757.03212170795
1993-06-01,775.9866213546969
1993-07-01,813.252088844191
1993-08-01,1473.09582062944
1993-09-01,1081.2159651361699
1993-10-01,783.462377644384
1993-11-01,1007.37655519284
1993-12-01,1073.04600749786
1994-01-01,1229.34156890959
1994-02-01,1129.86232317924
1994-03-01,1465.9724378098
1994-04-01,1110.7714972459698
1994-05-01,1218.05986717368
1994-06-01,985.6556541034599
1994-07-01,1843.88269674255
1994-08-01,1456.76560828366
1994-09-01,1137.38315045165
1994-10-01,1154.90276774325
1994-11-01,1054.19455352098
1994-12-01,1202.93529027956
1995-01-01,1027.74272888831
1995-02-01,1109.68970997323
1995-03-01,1420.59486007242
1995-04-01,749.9610049160989
1995-05-01,1057.7622385058
1995-06-01,1285.30291987116
1995-07-01,1019.1870998016499
1995-08-01,1158.1064933667901
1995-09-01,1483.46483932038
1995-10-01,1501.67405849478
1995-11-01,1226.2403079026199
1995-12-01,1215.0772672097698
1996-01-01,1890.58271072422
1996-02-01,1222.9094564756099
1996-03-01,1072.97983037473
1996-04-01,1622.0211459044199
1996-05-01,1337.30751969953
1996-06-01,1192.9075907978802
1996-07-01,1183.1937748911
1996-08-01,1185.95229378132
1996-09-01,1056.15619533515
1996-10-01,1132.6546078014
1996-11-01,1980.9302766977398
1996-12-01,1241.29020337471
1997-01-01,1234.24955747964
1997-02-01,1532.21747350151
1997-03-01,1137.69672977294
1997-04-01,1753.76273139161
1997-05-01,1179.3665841393
1997-06-01,1393.59240838054
1997-07-01,1307.10814525634
1997-08-01,1072.8437026341498
1997-09-01,1049.85533248816
1997-10-01,1175.98672999821
1997-11-01,1381.41569197465
1997-12-01,1337.42035984885
1998-01-01,1134.29984059348
1998-02-01,1212.61071260628
1998-03-01,1309.2018711350802
1998-04-01,1479.2886174125
1998-05-01,1228.71973670585
1998-06-01,1303.09898842211
