DATE,MTBPPRIVSA
1988-01-01,45.7994163026369
1988-02-01,221.65865958237302
1988-03-01,49.9972725680653
1988-04-01,54.1678508760355
1988-05-01,81.0180929867267
1988-06-01,54.7007996186522
1988-07-01,49.1233946355506
1988-08-01,55.5864715691769
1988-09-01,52.772019434568
1988-10-01,48.764846352103206
1988-11-01,41.09408643250261
1988-12-01,45.859629799565
1989-01-01,36.8969423205896
1989-02-01,26.916322934341
1989-03-01,52.89972002831671
1989-04-01,63.011363303157104
1989-05-01,48.185896629270104
1989-06-01,63.172774928385
1989-07-01,44.0093997891664
1989-08-01,78.0892481071054
1989-09-01,42.0559449130275
1989-10-01,50.5017592164201
1989-11-01,49.45612571576879
1989-12-01,47.050511065040595
1990-01-01,59.8253536974299
1990-02-01,54.0089639839009
1990-03-01,70.6745277517028
1990-04-01,60.0532309981109
1990-05-01,80.7850529011867
1990-06-01,58.7868801381673
1990-07-01,115.33285917754401
1990-08-01,80.4803777955592
1990-09-01,92.732426213675
1990-10-01,80.2773569684804
1990-11-01,127.635324491296
1990-12-01,108.255551272706
1991-01-01,86.83092670424058
1991-02-01,105.86690518271999
1991-03-01,78.6251516326182
1991-04-01,87.4817715380459
1991-05-01,96.1048303927007
1991-06-01,96.305522586975
1991-07-01,126.74292310978201
1991-08-01,99.8034222896463
1991-09-01,170.310743210791
1991-10-01,158.60355688411
1991-11-01,168.325717202145
1991-12-01,135.677958671834
1992-01-01,204.45010021097
1992-02-01,219.79605888773602
1992-03-01,158.227299410837
1992-04-01,146.086192098944
1992-05-01,144.132587195624
1992-06-01,154.603008662633
1992-07-01,183.30652179739602
1992-08-01,176.14126055655103
1992-09-01,157.707815016449
1992-10-01,164.962938404633
1992-11-01,144.963634435969
1992-12-01,182.59063860025398
1993-01-01,91.186383887483
1993-02-01,112.077505471042
1993-03-01,208.159321781238
1993-04-01,209.190643034504
1993-05-01,237.64069670610002
1993-06-01,270.200350933325
1993-07-01,188.176573784637
1993-08-01,278.543476730709
1993-09-01,213.149371559664
1993-10-01,260.085586363106
1993-11-01,224.443941342762
1993-12-01,305.260618935888
1994-01-01,340.890639209063
1994-02-01,267.425496934695
1994-03-01,292.015225064435
1994-04-01,238.138364879676
1994-05-01,261.674615689895
1994-06-01,261.36484594878
1994-07-01,236.846557549757
1994-08-01,219.898437748862
1994-09-01,261.738588478218
1994-10-01,181.720822695253
1994-11-01,246.755934972596
1994-12-01,177.544117526547
1995-01-01,189.74767842475399
1995-02-01,199.589308241658
1995-03-01,211.36315423226003
1995-04-01,333.021939450684
1995-05-01,188.807386589445
1995-06-01,234.51168463481702
1995-07-01,237.330566589444
1995-08-01,348.796805721343
1995-09-01,202.125940399632
1995-10-01,278.723113172172
1995-11-01,200.820699668064
1995-12-01,401.383783464347
1996-01-01,127.777258751644
1996-02-01,187.50877411365397
1996-03-01,189.65200383464298
1996-04-01,221.687688519021
1996-05-01,265.692557949777
1996-06-01,219.826491193018
1996-07-01,249.68382173040797
1996-08-01,227.753375461763
1996-09-01,234.91733923816102
1996-10-01,274.144226771021
1996-11-01,249.275785945336
1996-12-01,116.168726851386
1997-01-01,203.261481823928
1997-02-01,255.37505933411398
1997-03-01,161.554625091488
1997-04-01,240.89685528477
1997-05-01,230.255676393869
1997-06-01,206.48348210781398
1997-07-01,181.379494728224
1997-08-01,157.813628596517
1997-09-01,190.668947434049
1997-10-01,142.114053248848
1997-11-01,124.526148179908
1997-12-01,200.324648418948
1998-01-01,138.089661892465
1998-02-01,178.333304042171
1998-03-01,200.247325453587
1998-04-01,266.104421904472
1998-05-01,147.02774740117098
1998-06-01,149.28140870356302
1998-07-01,176.235088089364
1998-08-01,164.65553959144
1998-09-01,215.86427249182702
1998-10-01,238.249016186224
1998-11-01,316.554095052622
1998-12-01,197.647702749155
1999-01-01,288.94821762851603
1999-02-01,150.975791396054
1999-03-01,203.006525019101
1999-04-01,152.892520328913
1999-05-01,180.711747779487
1999-06-01,190.34194226766
1999-07-01,233.65888326856603
1999-08-01,133.510763306132
1999-09-01,108.99289429449301
1999-10-01,131.413163593663
1999-11-01,255.230797806319
1999-12-01,146.033478973799
2000-01-01,117.904030168874
2000-02-01,213.94941703624
2000-03-01,278.114836821271
2000-04-01,170.076462906006
2000-05-01,171.302950759331
2000-06-01,166.47735932960302
2000-07-01,163.695353260537
2000-08-01,242.492070360254
2000-09-01,185.06750551433998
2000-10-01,153.001750828004
2000-11-01,146.765607296511
2000-12-01,272.818131286032
2001-01-01,167.759322717942
2001-02-01,270.302286064947
2001-03-01,181.428150407476
2001-04-01,165.329264421444
2001-05-01,207.51982542635398
2001-06-01,290.89703467242003
2001-07-01,204.970196795411
2001-08-01,188.176949625053
2001-09-01,158.838565020502
2001-10-01,208.380836963548
2001-11-01,217.303810964442
2001-12-01,208.816325879777
2002-01-01,298.680988726527
2002-02-01,209.42840384089698
2002-03-01,346.77902886233596
2002-04-01,282.039108195179
2002-05-01,292.57960721637903
2002-06-01,328.55838548817
2002-07-01,222.87456568897701
2002-08-01,410.89329868464597
2002-09-01,334.591022491903
2002-10-01,416.338842572897
2002-11-01,410.340128649914
2002-12-01,281.945192495588
2003-01-01,422.169373784541
2003-02-01,528.590118509187
2003-03-01,259.74841879077303
2003-04-01,325.35517118123
2003-05-01,302.44064352899
2003-06-01,248.858020670218
2003-07-01,266.20523986488
2003-08-01,255.36261806141
2003-09-01,351.23496620928
2003-10-01,380.013802585647
2003-11-01,241.089131130196
2003-12-01,309.380193089504
2004-01-01,297.450346099077
2004-02-01,241.861538469641
