DATE,NVBPPRIVSA
1988-01-01,1350.35921513152
1988-02-01,2408.0690772512303
1988-03-01,2786.20842941218
1988-04-01,2334.93651991815
1988-05-01,3373.74410876645
1988-06-01,1662.71355113481
1988-07-01,1851.4069420810602
1988-08-01,2821.8636196073103
1988-09-01,3324.7127261679802
1988-10-01,2014.7309991013
1988-11-01,3115.03133279402
1988-12-01,3279.5242346170503
1989-01-01,2201.1838947839
1989-02-01,3970.3918823300605
1989-03-01,2241.1051966214604
1989-04-01,1964.62506325198
1989-05-01,1952.59900949899
1989-06-01,3565.6405723254998
1989-07-01,2264.23855090995
1989-08-01,2029.51817099293
1989-09-01,2133.1910668923497
1989-10-01,2063.58189818829
1989-11-01,2731.99025643124
1989-12-01,2429.01500480406
1990-01-01,2940.45019268018
1990-02-01,2654.42436451617
1990-03-01,2515.35747177629
1990-04-01,2232.25347027811
1990-05-01,1909.6056973179998
1990-06-01,2090.45178504204
1990-07-01,2230.41979484088
1990-08-01,2617.17277435296
1990-09-01,1649.97545796134
1990-10-01,1674.79995670785
1990-11-01,1237.34340423597
1990-12-01,1179.8911983388
1991-01-01,1409.79492637102
1991-02-01,1204.14440218244
1991-03-01,1399.18184796305
1991-04-01,1820.04357772523
1991-05-01,2383.8817614824898
1991-06-01,2682.8541055326396
1991-07-01,1422.6732150329099
1991-08-01,1120.85661645332
1991-09-01,1043.56303256893
1991-10-01,1874.67426446232
1991-11-01,1477.74386059284
1991-12-01,2519.15408184714
1992-01-01,1930.5103728675301
1992-02-01,1262.18396519687
1992-03-01,1356.8803579027199
1992-04-01,1366.60677018004
1992-05-01,1103.17885082015
1992-06-01,1234.74637196685
1992-07-01,1684.69779942733
1992-08-01,1476.5780706432402
1992-09-01,1319.6716792244001
1992-10-01,1685.81319845319
1992-11-01,1440.26551777792
1992-12-01,1180.4927238956698
1993-01-01,930.5853997529449
1993-02-01,1916.7724843243802
1993-03-01,1598.84610709246
1993-04-01,1827.41957503166
1993-05-01,1910.34163247983
1993-06-01,1785.7283548160299
1993-07-01,2102.4470325825
1993-08-01,1954.9987452693
1993-09-01,2324.6368517113397
1993-10-01,2016.33578315267
1993-11-01,2550.45810014589
1993-12-01,2613.5152522013395
1994-01-01,2286.67354093507
1994-02-01,2310.6223063929397
1994-03-01,3067.79271578063
1994-04-01,2554.4575226657103
1994-05-01,2420.45119348228
1994-06-01,3001.5831859094897
1994-07-01,2135.1679888148497
1994-08-01,2274.37191747317
1994-09-01,2647.16377183969
1994-10-01,3378.1478357327
1994-11-01,2215.24699029858
1994-12-01,2720.23102073435
1995-01-01,2279.54815436133
1995-02-01,2231.9808202845
1995-03-01,1921.1988617555498
1995-04-01,2394.99323429972
1995-05-01,3208.1025888612703
1995-06-01,2613.6682063534304
1995-07-01,2976.2881650999298
1995-08-01,3349.1904016923304
1995-09-01,3374.81282385865
1995-10-01,2791.41881875725
1995-11-01,2797.56012595482
1995-12-01,2683.2032049273803
1996-01-01,3133.8747949149
1996-02-01,3655.5184202881
1996-03-01,2906.07267013285
1996-04-01,2049.0388043689604
1996-05-01,2884.1890644206396
1996-06-01,3383.5706606861604
1996-07-01,5111.8621362344
1996-08-01,2923.1381283770697
1996-09-01,2841.0151261460496
1996-10-01,2856.0079549468
1996-11-01,2392.75932497469
1996-12-01,3207.9512044100798
1997-01-01,2699.1884672387196
1997-02-01,2778.56861213685
1997-03-01,2246.84384026399
1997-04-01,2728.88147052816
1997-05-01,3325.16920086214
1997-06-01,2519.29100454599
1997-07-01,3113.65401222829
1997-08-01,2682.0130894818103
1997-09-01,3191.47316144567
1997-10-01,2714.0271797057503
1997-11-01,3106.09708053591
1997-12-01,2658.58122726737
1998-01-01,3221.49482936515
1998-02-01,2994.6420772553
1998-03-01,3394.0785664773
1998-04-01,4326.58729036875
1998-05-01,2854.17908169052
1998-06-01,2250.12362819189
1998-07-01,2152.42070332224
1998-08-01,2399.6603187637
1998-09-01,2725.41448153096
1998-10-01,3239.6335323073104
1998-11-01,2474.7925515615602
1998-12-01,3618.6496680097102
1999-01-01,2285.4847517949397
1999-02-01,3253.2026921775396
1999-03-01,3036.33667661671
1999-04-01,2167.53057232394
1999-05-01,2166.8010873739004
1999-06-01,3714.38760200003
1999-07-01,2649.49556907061
1999-08-01,2625.47365250869
1999-09-01,2649.84856945043
1999-10-01,1967.11225359215
1999-11-01,2515.3402665593803
1999-12-01,2709.57349762471
2000-01-01,2567.4546843336498
2000-02-01,2520.43243352193
2000-03-01,2289.7961098344
2000-04-01,2721.3613982380202
2000-05-01,2295.62197243912
2000-06-01,3059.0540861780296
2000-07-01,2432.5818838051
2000-08-01,3195.76156728456
2000-09-01,2134.58707677348
2000-10-01,3090.9279196560497
2000-11-01,3239.5504443621303
2000-12-01,2492.17706972321
2001-01-01,3580.1936660184997
2001-02-01,2660.13428579189
2001-03-01,3774.91659157274
2001-04-01,3687.0054789225605
2001-05-01,2625.17248839296
2001-06-01,2564.84530748771
2001-07-01,2400.00411253962
2001-08-01,3716.3695736057102
2001-09-01,2536.75692616062
2001-10-01,2964.4646117953803
2001-11-01,2809.0842624434304
2001-12-01,2171.53226120748
2002-01-01,3053.34576683085
2002-02-01,2544.4511034532197
2002-03-01,2631.57147142536
2002-04-01,2421.99607027927
2002-05-01,3054.47868078034
2002-06-01,2658.07442371137
2002-07-01,3178.98643256872
2002-08-01,2453.33002858276
2002-09-01,3018.80869139755
2002-10-01,3119.98291918073
2002-11-01,3857.71828055729
2002-12-01,3344.58391314323
2003-01-01,3229.0335781156605
