DATE,ORBPPRIVSA
1988-01-01,706.036780131342
1988-02-01,887.400529045295
1988-03-01,1064.29992462701
1988-04-01,996.010892091059
1988-05-01,1044.1665665681098
1988-06-01,1117.5515943877
1988-07-01,1113.7778804952302
1988-08-01,1300.48934927157
1988-09-01,1549.0690976855701
1988-10-01,1124.65833749744
1988-11-01,1248.36432007896
1988-12-01,1745.60817700975
1989-01-01,1908.2333945343898
1989-02-01,1741.9505283314902
1989-03-01,1202.63085232694
1989-04-01,1128.74885136167
1989-05-01,2630.9275190639
1989-06-01,2229.5526843250896
1989-07-01,1445.99384373875
1989-08-01,1593.84859311367
1989-09-01,2281.37078539333
1989-10-01,1815.1000114934197
1989-11-01,2386.58691373693
1989-12-01,1989.3168107956399
1990-01-01,2561.2522283225303
1990-02-01,1221.43682527894
1990-03-01,2209.2546609471
1990-04-01,1852.98414990393
1990-05-01,1680.0447856346802
1990-06-01,2081.2780342391297
1990-07-01,2265.36771223418
1990-08-01,2088.66608891222
1990-09-01,1255.3175505352901
1990-10-01,1469.44835913853
1990-11-01,1347.29596799766
1990-12-01,1078.77484234657
1991-01-01,986.962897830347
1991-02-01,1104.08647925336
1991-03-01,1171.25360438887
1991-04-01,1411.21579473487
1991-05-01,1441.12820842285
1991-06-01,1236.95105000415
1991-07-01,1363.99601946419
1991-08-01,1342.73572723863
1991-09-01,1008.9401657635199
1991-10-01,1768.4021180548998
1991-11-01,1274.24999280979
1991-12-01,2364.7803834077
1992-01-01,1481.5671224645
1992-02-01,1259.20227313968
1992-03-01,1476.5150360613097
1992-04-01,1354.63952925364
1992-05-01,1458.23895662954
1992-06-01,1278.86271051435
1992-07-01,1411.01423330004
1992-08-01,1391.16989279596
1992-09-01,1424.8470959999202
1992-10-01,1412.92644088754
1992-11-01,1561.3063935204
1992-12-01,1609.10496062259
1993-01-01,1377.61911690898
1993-02-01,1654.8026631642301
1993-03-01,1478.1548251131399
1993-04-01,1636.87763879163
1993-05-01,1618.05000080586
1993-06-01,1569.14297138468
1993-07-01,1550.76224891588
1993-08-01,1873.3215384536602
1993-09-01,1658.11852834589
1993-10-01,1652.37446984776
1993-11-01,1987.4053339447698
1993-12-01,1802.0876481630398
1994-01-01,2229.2601019511
1994-02-01,1877.03313491922
1994-03-01,1775.95038841636
1994-04-01,2107.98788663218
1994-05-01,2126.35383920331
1994-06-01,1796.6204490859802
1994-07-01,1807.9738703966898
1994-08-01,1836.7801200672197
1994-09-01,2847.22241964009
1994-10-01,2237.00578951399
1994-11-01,1840.0130031152698
1994-12-01,1789.5205665068202
1995-01-01,1665.41433327085
1995-02-01,2106.33967381173
1995-03-01,1732.57446018019
1995-04-01,1891.96489979356
1995-05-01,2061.85639451958
1995-06-01,3097.63329045802
1995-07-01,2243.37957133792
1995-08-01,1898.0122748139102
1995-09-01,2496.99666292571
1995-10-01,2185.66955309773
1995-11-01,2229.4956632101002
1995-12-01,2826.49075314724
1996-01-01,2560.0274940584
1996-02-01,2280.21466653639
1996-03-01,2234.7916650501197
1996-04-01,1990.7498850880802
1996-05-01,2138.6144460801997
1996-06-01,2344.49223759503
1996-07-01,2837.95001528802
1996-08-01,2342.7540606406
1996-09-01,2357.63118351743
1996-10-01,2227.0583555632197
1996-11-01,1979.1537325532602
1996-12-01,1957.87265314207
1997-01-01,2377.3943695948897
1997-02-01,2213.45787676746
1997-03-01,3046.0340301609804
1997-04-01,2043.41027176685
1997-05-01,1940.1889151085898
1997-06-01,2196.38871285478
1997-07-01,2111.26876954488
1997-08-01,1813.2619869175799
1997-09-01,2594.6197385964497
1997-10-01,2787.06166850335
1997-11-01,2169.8657986460603
1997-12-01,2908.4976635042103
1998-01-01,1979.46107784779
1998-02-01,2406.63945943045
1998-03-01,2140.9287034792396
1998-04-01,2258.73792182767
1998-05-01,2016.3101285968698
1998-06-01,1880.48312224245
1998-07-01,2832.83449908259
1998-08-01,2177.85597604013
1998-09-01,1950.4938182398103
1998-10-01,1681.5868599925
1998-11-01,2395.93915417915
1998-12-01,2093.74705879969
1999-01-01,1965.00356810696
1999-02-01,1730.70077040242
1999-03-01,2343.23817931292
1999-04-01,1948.53713578983
1999-05-01,1892.1360520264602
1999-06-01,2061.01011639846
1999-07-01,1948.6213281809698
1999-08-01,1866.8845721176
1999-09-01,1412.8198953568499
1999-10-01,1740.26400363135
1999-11-01,1731.00016609298
1999-12-01,1504.53730746509
2000-01-01,1472.26729753349
2000-02-01,1707.6147795919799
2000-03-01,1757.65587595008
2000-04-01,1658.96425534947
2000-05-01,1578.1951134007502
2000-06-01,1721.8962394860198
2000-07-01,1354.42159799131
2000-08-01,1721.44725163768
2000-09-01,1562.49092335019
2000-10-01,1417.25903447433
2000-11-01,2253.77212354602
2000-12-01,1661.89919518472
2001-01-01,1967.0846259581601
2001-02-01,1877.7466491031
2001-03-01,1762.5481673712802
2001-04-01,1644.51516517895
2001-05-01,1654.41391624266
2001-06-01,1591.8798672812197
2001-07-01,1506.2806419609399
2001-08-01,1927.25143482207
2001-09-01,1922.88645786596
2001-10-01,1803.97862676667
2001-11-01,1847.332187792
2001-12-01,1331.52857514915
2002-01-01,1914.41092496082
2002-02-01,1893.96236448483
2002-03-01,1668.38991938063
2002-04-01,2006.3774277854397
2002-05-01,2049.8146493296103
2002-06-01,1680.00277430904
2002-07-01,2014.2631871002698
2002-08-01,1627.7161697159
2002-09-01,1976.7672516654998
2002-10-01,1961.5900858160899
2002-11-01,1913.4757204815398
2002-12-01,1877.89931598013
2003-01-01,3146.07688940807
2003-02-01,1964.0938947028799
2003-03-01,1813.96544759619
2003-04-01,2147.05367325017
2003-05-01,2221.1735804294603
2003-06-01,1902.1272817909398
2003-07-01,2034.1450197622198
2003-08-01,1850.31313268929
2003-09-01,2327.0622739003697
2003-10-01,2378.27354301879
2003-11-01,1653.9071582678198
2003-12-01,2109.2991957584
2004-01-01,1906.01917272228
2004-02-01,1832.1314910967
2004-03-01,2132.90419520667
2004-04-01,2220.4315410102
2004-05-01,2235.92542405078
2004-06-01,2424.10288779914
2004-07-01,2819.5859549071197
2004-08-01,2686.86723494602
2004-09-01,2140.7104914162696
2004-10-01,2413.8322762604103
2004-11-01,2187.91887107341
2004-12-01,2603.83943138531
2005-01-01,2558.4591908155103
2005-02-01,2548.57543391132
2005-03-01,2982.07610086839
2005-04-01,2614.0787201088897
2005-05-01,2241.12583279237
2005-06-01,2540.9976796678
2005-07-01,2428.12183407453
2005-08-01,2660.88708113937
2005-09-01,2708.37757139553
2005-10-01,2708.8397793096
2005-11-01,2845.0056372493395
2005-12-01,2484.43049165718
2006-01-01,2506.79897632245
2006-02-01,2547.74368319265
2006-03-01,2395.15700598881
2006-04-01,2504.1623198112397
2006-05-01,2665.29153123454
2006-06-01,2600.1536127690697
2006-07-01,1846.41263469535
2006-08-01,1981.38872382686
2006-09-01,2018.15338210904
2006-10-01,1995.7710094602498
2006-11-01,2452.0530724774303
2006-12-01,1315.29630565804
2007-01-01,2502.24043196107
2007-02-01,2924.91942339997
2007-03-01,2103.70611502385
2007-04-01,1764.3587393855898
2007-05-01,2006.29032569763
2007-06-01,1598.04999158675
2007-07-01,1718.8229984430402
2007-08-01,1731.57273920448
2007-09-01,1589.70973802293
2007-10-01,1356.0251128129198
2007-11-01,1347.46563294783
2007-12-01,1177.3047046849401
2008-01-01,809.798884204547
2008-02-01,1792.0156006507502
2008-03-01,1149.5730399218598
2008-04-01,946.069619348483
2008-05-01,1191.64851743511
2008-06-01,1140.73714770328
2008-07-01,1220.47521872827
2008-08-01,1059.28607980075
2008-09-01,910.368921901469
2008-10-01,762.206673091814
2008-11-01,695.150849166106
2008-12-01,494.647838267312
2009-01-01,1207.4410753965599
2009-02-01,503.834042912742
2009-03-01,556.517277758312
2009-04-01,599.811183897722
2009-05-01,655.6588196167701
2009-06-01,558.7425968748851
2009-07-01,584.575690336595
2009-08-01,523.2818883761071
2009-09-01,527.802795197564
2009-10-01,673.516284186494
2009-11-01,635.3934845283641
2009-12-01,732.360129829432
2010-01-01,584.195712853566
