DATE,MIBPPRIVSA
1988-01-01,2640.73960312777
1988-02-01,3491.3324856357
1988-03-01,4263.21415456462
1988-04-01,3686.19926714558
1988-05-01,4234.98575007854
1988-06-01,4459.10262647052
1988-07-01,4073.10107808024
1988-08-01,3898.1563649163104
1988-09-01,3786.76212734031
1988-10-01,3483.8149578912103
1988-11-01,3450.9766617406203
1988-12-01,3657.2027110273207
1989-01-01,3339.6046180116305
1989-02-01,3555.70019859411
1989-03-01,3477.2563065824397
1989-04-01,3662.63736807599
1989-05-01,3756.88446038524
1989-06-01,3790.9663234584496
1989-07-01,3410.47890674091
1989-08-01,4139.939059592511
1989-09-01,4002.1812474140706
1989-10-01,4245.07417897841
1989-11-01,5266.63440154292
1989-12-01,3387.0640819370196
1990-01-01,5743.8980218633
1990-02-01,3783.2946323384203
1990-03-01,3817.7989011279296
1990-04-01,3585.5135405262604
1990-05-01,3149.80040134713
1990-06-01,3434.3463333248305
1990-07-01,3538.85220532775
1990-08-01,3350.76454163542
1990-09-01,3038.2287360237297
1990-10-01,2839.47206076497
1990-11-01,2363.4164991925
1990-12-01,2113.13955979612
1991-01-01,2683.23484460128
1991-02-01,2754.00641042476
1991-03-01,2520.4526133100303
1991-04-01,3277.6714487384497
1991-05-01,3145.6798421474
1991-06-01,2788.12470914474
1991-07-01,2940.6233862731397
1991-08-01,2963.39070484771
1991-09-01,2954.1729929092103
1991-10-01,3180.60987841664
1991-11-01,3155.64259026043
1991-12-01,2417.06555598863
1992-01-01,2914.8293819933397
1992-02-01,5229.00887854733
1992-03-01,3459.4562395755397
1992-04-01,3299.3028639175
1992-05-01,3386.46812905747
1992-06-01,3292.8599350408003
1992-07-01,3340.9472590032697
1992-08-01,2895.2003891819895
1992-09-01,3797.1053163342604
1992-10-01,3269.1541049253497
1992-11-01,2562.01888884414
1992-12-01,3035.2189190507897
1993-01-01,3433.23487369505
1993-02-01,3258.4723388471098
1993-03-01,3130.61965282326
1993-04-01,2938.4049752304804
1993-05-01,2962.8868500294298
1993-06-01,3201.48514224607
1993-07-01,3378.6644645157003
1993-08-01,3296.51407739973
1993-09-01,3773.50986096204
1993-10-01,3234.68305882237
1993-11-01,4051.7239750184704
1993-12-01,3826.50619093582
1994-01-01,3264.2472979544104
1994-02-01,3343.18528483625
1994-03-01,3715.5831599564294
1994-04-01,3733.18443334375
1994-05-01,3972.3047183403205
1994-06-01,3962.82590102699
1994-07-01,3253.7734649973804
1994-08-01,5036.59330744168
1994-09-01,3884.51148435921
1994-10-01,4207.13341649791
1994-11-01,3978.9453728838203
1994-12-01,4209.68197006117
1995-01-01,3798.3252165259205
1995-02-01,3490.0970551395503
1995-03-01,3841.0540816802504
1995-04-01,3539.57912047613
1995-05-01,3886.60414680286
1995-06-01,3888.54840185914
1995-07-01,3637.13837532728
1995-08-01,4032.8903981402295
1995-09-01,3690.24037550127
1995-10-01,4110.79234008836
1995-11-01,4266.73449526123
1995-12-01,4166.42811056822
1996-01-01,4375.80813216392
1996-02-01,4348.01303664497
1996-03-01,3801.5884188255395
1996-04-01,4492.07175065475
1996-05-01,4263.490289073739
1996-06-01,4076.6638837695205
1996-07-01,4452.289254273421
1996-08-01,4665.1087031119005
1996-09-01,4213.94845553716
1996-10-01,4346.1835223915705
1996-11-01,4310.975564695
1996-12-01,4023.0103506871797
1997-01-01,4324.735655674871
1997-02-01,4333.78023668479
1997-03-01,3577.0027405998103
1997-04-01,4272.64450836164
1997-05-01,3929.3621163358293
1997-06-01,3904.5243399246206
1997-07-01,3932.8102449976795
1997-08-01,3771.77746824981
1997-09-01,4129.59627228018
1997-10-01,3838.69626295693
1997-11-01,3547.8369751626897
1997-12-01,4242.6106599978
1998-01-01,4192.83978338632
1998-02-01,4617.8700230921295
1998-03-01,4606.2829753857795
1998-04-01,4177.77562721786
1998-05-01,4032.32863582761
1998-06-01,4515.70482221997
1998-07-01,4352.047623358971
1998-08-01,4272.3056814189
1998-09-01,4418.422182192639
1998-10-01,4766.490013374199
1998-11-01,4384.9370332871995
1998-12-01,5562.70943521106
1999-01-01,3334.2506061831605
1999-02-01,4114.26626103766
1999-03-01,4777.11914519919
1999-04-01,4675.224209588239
1999-05-01,4886.29388837815
1999-06-01,4519.18566694439
1999-07-01,4162.0434234716495
1999-08-01,4399.79702244906
1999-09-01,4488.598039955471
1999-10-01,3969.94767470805
1999-11-01,4559.10163556259
1999-12-01,4269.21471424652
2000-01-01,4505.78439516
2000-02-01,4486.51220910349
2000-03-01,5231.76712818786
2000-04-01,4162.95407917345
2000-05-01,4043.4586415827002
2000-06-01,4027.35270575704
2000-07-01,4497.51930863959
2000-08-01,4290.73012770462
2000-09-01,4081.6629443815204
2000-10-01,4047.53091555315
2000-11-01,3995.9383650325603
2000-12-01,3714.92476889689
2001-01-01,3769.3619625791207
2001-02-01,4638.6756363513205
2001-03-01,3907.54174725794
2001-04-01,4074.65460209635
2001-05-01,4064.92313612724
2001-06-01,4216.124393555329
2001-07-01,4632.59874265052
2001-08-01,3796.3389740862895
2001-09-01,3765.6086789474703
2001-10-01,3206.8121475296302
2001-11-01,3775.59583475962
2001-12-01,4261.69453139551
2002-01-01,4158.21288337173
2002-02-01,4096.28294300952
2002-03-01,4093.0604607842497
2002-04-01,4032.8381616481797
2002-05-01,4212.74838792812
2002-06-01,4007.04466595761
2002-07-01,3842.4334469529203
2002-08-01,4128.00003757181
2002-09-01,3654.79218800277
2002-10-01,4203.63301539149
2002-11-01,4068.95473727777
2002-12-01,4618.23826574589
2003-01-01,4190.46909195359
