DATE,COBPPRIVSA
1988-01-01,867.97449163007
1988-02-01,1507.3935179630498
1988-03-01,1090.53808388389
1988-04-01,1217.6006108458198
1988-05-01,924.386066594232
1988-06-01,1060.87808614905
1988-07-01,929.7731151468761
1988-08-01,1071.34536434245
1988-09-01,982.384197057649
1988-10-01,990.870191171312
1988-11-01,1151.44022546167
1988-12-01,836.223571308116
1989-01-01,802.531048697944
1989-02-01,891.5251915295329
1989-03-01,1064.0001204927
1989-04-01,750.084463150466
1989-05-01,964.525317055231
1989-06-01,912.82613871815
1989-07-01,853.584718235192
1989-08-01,886.4297537767089
1989-09-01,1006.5627531366699
1989-10-01,1115.20789989536
1989-11-01,938.39481589643
1989-12-01,953.8498834875251
1990-01-01,1084.07278406861
1990-02-01,883.531799413538
1990-03-01,890.1422881160801
1990-04-01,883.8760649635319
1990-05-01,996.834769649332
1990-06-01,956.590688493507
1990-07-01,1166.3759154397999
1990-08-01,1001.2632860329801
1990-09-01,878.013823242957
1990-10-01,898.108969896732
1990-11-01,968.3722159288541
1990-12-01,949.3050860371271
1991-01-01,864.915469045226
1991-02-01,902.379693913837
1991-03-01,977.281413217475
1991-04-01,1303.82010268469
1991-05-01,1163.55304999658
1991-06-01,1055.67564604276
1991-07-01,1114.98262363565
1991-08-01,1074.0652194845402
1991-09-01,1130.30987797422
1991-10-01,1111.19429373209
1991-11-01,1304.1652727286
1991-12-01,1436.3845387768697
1992-01-01,1632.95641327047
1992-02-01,1809.72641386855
1992-03-01,1625.3012550016902
1992-04-01,1844.2871899478198
1992-05-01,1746.76418768091
1992-06-01,1751.26393489555
1992-07-01,1985.9748012399
1992-08-01,1541.4702978587302
1992-09-01,2564.4345562083604
1992-10-01,2203.1318183672197
1992-11-01,1785.0983112648498
1992-12-01,2248.45329775229
1993-01-01,2114.37930429287
1993-02-01,2349.5592371680605
1993-03-01,2292.38241613282
1993-04-01,2109.28245216018
1993-05-01,1896.00006348375
1993-06-01,2993.56976526834
1993-07-01,2199.07256611412
1993-08-01,2577.10607255983
1993-09-01,2492.55723067022
1993-10-01,2367.0954084774103
1993-11-01,2938.7734784960303
1993-12-01,2541.95312509374
1994-01-01,2698.27802973616
1994-02-01,2743.22016551386
1994-03-01,3145.9987985750704
1994-04-01,3435.2330023023806
1994-05-01,3097.89499984022
1994-06-01,3059.65887932667
1994-07-01,2298.07698988945
1994-08-01,3580.7292183648206
1994-09-01,3831.85449980935
1994-10-01,3293.8996476226503
1994-11-01,2796.91366760393
1994-12-01,2611.59882861999
1995-01-01,3210.90976270229
1995-02-01,2617.23435359894
1995-03-01,2705.2180511563897
1995-04-01,2750.6731835854102
1995-05-01,3263.45306747602
1995-06-01,3371.5659813734196
1995-07-01,3435.99864141193
1995-08-01,3272.76725882159
1995-09-01,3075.48862122325
1995-10-01,3284.6472902369396
1995-11-01,4694.46793896113
1995-12-01,4664.70792281989
1996-01-01,3250.6833845780297
1996-02-01,4455.25550245096
1996-03-01,3713.2986326553796
1996-04-01,3870.7453177035704
1996-05-01,3496.30575461636
1996-06-01,3735.2411155464797
1996-07-01,3030.1363848582
1996-08-01,3134.7907958637397
1996-09-01,3078.60616574896
1996-10-01,3605.27767945945
1996-11-01,3241.7235010670197
1996-12-01,3462.92030720297
1997-01-01,3458.41519074575
1997-02-01,3238.27935562294
1997-03-01,3554.6131501383898
1997-04-01,3335.76093419457
1997-05-01,4443.527604224079
1997-06-01,3189.23776231936
1997-07-01,3544.35615816901
1997-08-01,3733.03655919812
1997-09-01,3724.2368841895295
1997-10-01,3827.1653190720203
1997-11-01,2849.69440833965
1997-12-01,3509.11517193539
1998-01-01,3828.5038067833398
1998-02-01,3650.3924826153298
1998-03-01,3657.91040518414
1998-04-01,4793.17437755038
1998-05-01,3827.97672196448
1998-06-01,4247.561009888011
1998-07-01,4581.73502494894
1998-08-01,3745.1159928382704
1998-09-01,4075.50490517011
1998-10-01,3893.22860019558
1998-11-01,3842.0441811793703
1998-12-01,4230.6337606442
1999-01-01,3834.1333989381606
1999-02-01,3959.9306998868606
1999-03-01,4474.66863704319
1999-04-01,4075.8513107742206
1999-05-01,3769.64275468325
1999-06-01,3843.63068765344
1999-07-01,3818.48137848504
1999-08-01,4043.8590778023704
1999-09-01,4032.72690732915
1999-10-01,3948.52452384414
1999-11-01,4557.6199786651005
1999-12-01,4191.35985700225
2000-01-01,4641.40035689634
2000-02-01,4548.89802084692
2000-03-01,4346.587883684029
2000-04-01,3816.5549535141704
2000-05-01,3903.10656883798
2000-06-01,3174.9230586513695
2000-07-01,4612.42333851351
2000-08-01,5474.839647527991
2000-09-01,3876.2714996862896
2000-10-01,4896.7817191637705
2000-11-01,4664.46985948938
2000-12-01,4793.53609227346
2001-01-01,4524.89730424368
2001-02-01,4791.268679028611
2001-03-01,4348.31959875561
2001-04-01,3878.08122887961
2001-05-01,5322.099105056011
2001-06-01,5111.580545518329
2001-07-01,4433.36188589621
2001-08-01,4942.899332806111
2001-09-01,4911.97501725295
2001-10-01,4128.836643457171
2001-11-01,3765.5595281995793
2001-12-01,3303.85553423347
2002-01-01,4006.5218406389504
2002-02-01,3343.65622776594
2002-03-01,3692.1816437506395
2002-04-01,4619.474856922179
2002-05-01,4265.02334889582
2002-06-01,3958.2606601958296
2002-07-01,3238.6201722596397
2002-08-01,3830.58971953125
2002-09-01,4347.209963481379
2002-10-01,3869.4734460510203
2002-11-01,4461.2347065673
2002-12-01,4184.57992203845
2003-01-01,3415.56396746315
2003-02-01,3909.8874367042204
2003-03-01,2657.45394163125
