DATE,MEBPPRIVSA
1988-01-01,725.146573960787
1988-02-01,752.8891248625771
1988-03-01,832.469997478959
1988-04-01,746.451506020891
1988-05-01,702.227765432907
1988-06-01,786.8189117533501
1988-07-01,771.2668793554519
1988-08-01,738.126770007171
1988-09-01,701.014586990816
1988-10-01,586.975411155297
1988-11-01,432.246875309167
1988-12-01,848.524588606859
1989-01-01,668.951562877878
1989-02-01,622.541606103487
1989-03-01,612.174099614756
1989-04-01,587.837511375236
1989-05-01,493.26567299067705
1989-06-01,504.445477254668
1989-07-01,485.685237688461
1989-08-01,496.555044589182
1989-09-01,453.10913507619904
1989-10-01,427.277924000598
1989-11-01,537.911932621504
1989-12-01,352.039263053822
1990-01-01,818.8889914084689
1990-02-01,549.3625682729551
1990-03-01,431.08685543885
1990-04-01,346.505637037806
1990-05-01,365.424732879351
1990-06-01,307.84382617866004
1990-07-01,312.39179251817
1990-08-01,324.734355441135
1990-09-01,334.23883595734503
1990-10-01,328.546906472138
1990-11-01,286.112351157808
1990-12-01,254.363691894844
1991-01-01,256.761797811642
1991-02-01,241.45751898746602
1991-03-01,238.96679551681498
1991-04-01,317.112556010337
1991-05-01,308.79317605358
1991-06-01,287.08554797791
1991-07-01,293.641977145834
1991-08-01,277.724597606626
1991-09-01,290.92508123713003
1991-10-01,337.013433139062
1991-11-01,273.729098954744
1991-12-01,294.791997080475
1992-01-01,319.35869290626204
1992-02-01,364.198372292628
1992-03-01,293.709745118443
1992-04-01,307.770892634525
1992-05-01,297.44975736655
1992-06-01,289.45714541588
1992-07-01,290.014791047298
1992-08-01,280.772329771178
1992-09-01,273.944768743633
1992-10-01,283.377420792975
1992-11-01,330.167590610256
1992-12-01,519.599512866451
1993-01-01,331.52035310714
1993-02-01,282.835359068878
1993-03-01,245.473845666789
1993-04-01,266.717395228405
1993-05-01,278.45343498129
1993-06-01,313.919726736633
1993-07-01,303.99534300076
1993-08-01,282.979900110098
1993-09-01,309.14571702099397
1993-10-01,298.37499945712
1993-11-01,375.49895134984496
1993-12-01,444.815816406547
1994-01-01,237.512221634932
1994-02-01,328.908385495429
1994-03-01,354.39348039155897
1994-04-01,349.449983360653
1994-05-01,384.92946379255204
1994-06-01,433.887269911346
1994-07-01,436.91575618850504
1994-08-01,410.76519760876505
1994-09-01,411.139151001485
1994-10-01,385.766329671576
1994-11-01,351.388454263607
1994-12-01,360.571753807535
1995-01-01,272.865170774566
1995-02-01,367.373233508993
1995-03-01,350.466939866288
1995-04-01,380.765428104699
1995-05-01,369.20504429327
1995-06-01,372.27311088033304
1995-07-01,325.633794268611
1995-08-01,393.45033053609495
1995-09-01,370.958958020465
1995-10-01,375.75681304597504
1995-11-01,382.946975991014
1995-12-01,365.863810381559
1996-01-01,272.110957129054
1996-02-01,345.97794481659895
1996-03-01,424.547405837287
1996-04-01,431.701582693202
1996-05-01,407.898720382438
1996-06-01,372.36175549916703
1996-07-01,389.271619605114
1996-08-01,421.46602538931603
1996-09-01,387.45569715669404
1996-10-01,380.357397290718
1996-11-01,341.086733690416
1996-12-01,341.476268792628
1997-01-01,478.78144624421503
1997-02-01,317.033981474342
1997-03-01,298.202857888429
1997-04-01,336.737514366937
1997-05-01,393.044887323526
1997-06-01,335.866293288014
1997-07-01,364.54742838094
1997-08-01,383.983977129611
1997-09-01,360.40464174393895
1997-10-01,414.26881978592
1997-11-01,395.82750725080905
1997-12-01,395.33743984498597
1998-01-01,369.68515992398903
1998-02-01,426.878977959158
1998-03-01,425.550149942614
1998-04-01,388.496676790119
1998-05-01,388.675269392577
1998-06-01,468.141231196482
1998-07-01,518.978412601814
1998-08-01,350.147909542912
1998-09-01,498.55002810204695
1998-10-01,492.318164452256
1998-11-01,517.9480437702381
1998-12-01,536.285153783954
1999-01-01,371.42571482727897
1999-02-01,572.167367227991
1999-03-01,491.22603496381697
1999-04-01,546.6017026528971
1999-05-01,443.60578314211
1999-06-01,449.529757762646
1999-07-01,454.64316677894203
1999-08-01,391.237396485475
1999-09-01,489.268711837481
1999-10-01,411.881087889406
1999-11-01,500.566012597532
1999-12-01,590.603096580381
2000-01-01,538.6078611238701
2000-02-01,426.686833225191
2000-03-01,543.684699829423
2000-04-01,486.46597558074996
2000-05-01,477.279441457876
2000-06-01,492.019264348353
2000-07-01,431.88679619773103
2000-08-01,599.534447045738
2000-09-01,424.71232052139396
2000-10-01,481.040437328256
2000-11-01,570.073787326496
2000-12-01,300.58032415628503
2001-01-01,424.858571103794
2001-02-01,464.832997476258
2001-03-01,416.487979033004
2001-04-01,430.52157187049596
2001-05-01,550.341594389577
2001-06-01,503.495453686078
2001-07-01,501.139510769184
2001-08-01,536.366384294778
2001-09-01,504.39298864995203
2001-10-01,493.411542112311
2001-11-01,498.985132570726
2001-12-01,456.50546696461305
2002-01-01,560.582367565483
2002-02-01,605.991452633338
2002-03-01,607.787351180175
2002-04-01,545.712779343515
2002-05-01,541.463003798402
2002-06-01,581.6582090764421
2002-07-01,653.8564812401941
2002-08-01,527.188544489341
2002-09-01,532.309447535754
2002-10-01,615.696370019842
2002-11-01,554.4000379988939
2002-12-01,610.767951488365
2003-01-01,596.305194319482
2003-02-01,535.8574898678
2003-03-01,488.238713554637
2003-04-01,579.69025813006
2003-05-01,550.437208086813
2003-06-01,509.700741590767
2003-07-01,612.248400894111
2003-08-01,609.3619335303611
2003-09-01,633.919956234978
2003-10-01,634.129805514859
2003-11-01,591.7142890398101
2003-12-01,655.396116813994
2004-01-01,679.212027659758
2004-02-01,578.137593069858
2004-03-01,739.4534449239039
