DATE,CTBPPRIVSA
1988-01-01,1598.9082206788098
1988-02-01,2086.2955073449602
1988-03-01,2657.96316605627
1988-04-01,1993.00388416467
1988-05-01,1522.88630687816
1988-06-01,1933.1582508743697
1988-07-01,1595.35495028026
1988-08-01,1478.5235899783402
1988-09-01,1496.10699968922
1988-10-01,1079.34248298567
1988-11-01,1200.73233767858
1988-12-01,1325.8551266025
1989-01-01,1259.97929900505
1989-02-01,1149.22212569365
1989-03-01,1038.97447429771
1989-04-01,897.8343618175909
1989-05-01,931.251835963383
1989-06-01,851.240363566521
1989-07-01,892.073402024392
1989-08-01,1104.12642194791
1989-09-01,856.091725774581
1989-10-01,905.275718906718
1989-11-01,795.450186126553
1989-12-01,861.602695490497
1990-01-01,1336.1380279152002
1990-02-01,731.990813588227
1990-03-01,690.991498508949
1990-04-01,601.908705873806
1990-05-01,793.9725043872701
1990-06-01,543.8180760002031
1990-07-01,577.87077132623
1990-08-01,580.21076323311
1990-09-01,605.879518198115
1990-10-01,549.400060454478
1990-11-01,529.350874934339
1990-12-01,484.23047962044404
1991-01-01,386.50679882865603
1991-02-01,548.659167586449
1991-03-01,518.8237586258
1991-04-01,667.18062243985
1991-05-01,655.831547539708
1991-06-01,621.0037972136901
1991-07-01,658.613470101116
1991-08-01,571.715397897171
1991-09-01,591.990774234809
1991-10-01,801.4870145668269
1991-11-01,754.528265272794
1991-12-01,566.2206961674179
1992-01-01,822.0087804102409
1992-02-01,654.379799145071
1992-03-01,878.850971807018
1992-04-01,749.86755010875
1992-05-01,636.193458894667
1992-06-01,671.377270651073
1992-07-01,701.096713880522
1992-08-01,613.204200161272
1992-09-01,654.870539291996
1992-10-01,621.08304417524
1992-11-01,728.52732227713
1992-12-01,729.092195978818
1993-01-01,624.377368612315
1993-02-01,1737.58539172916
1993-03-01,661.483503406612
1993-04-01,631.217830564064
1993-05-01,681.788666969456
1993-06-01,888.590528865075
1993-07-01,670.053548512087
1993-08-01,785.1003851558389
1993-09-01,738.470575002357
1993-10-01,853.9592327048531
1993-11-01,734.330931775197
1993-12-01,828.669001730288
1994-01-01,608.025658386666
1994-02-01,594.89879952174
1994-03-01,681.441798468329
1994-04-01,780.3110595425169
1994-05-01,837.323784031193
1994-06-01,869.750428751068
1994-07-01,990.188024713909
1994-08-01,760.16220289977
1994-09-01,855.9787815637469
1994-10-01,656.591215953576
1994-11-01,785.4804859547951
1994-12-01,765.4436952254961
1995-01-01,810.056629279671
1995-02-01,605.744784158814
1995-03-01,711.6258212709399
1995-04-01,972.448610818206
1995-05-01,637.922077305185
1995-06-01,544.429975992633
1995-07-01,572.3693865490429
1995-08-01,805.133604853497
1995-09-01,681.849756494158
1995-10-01,689.457732748488
1995-11-01,690.498191228497
1995-12-01,662.192175225716
1996-01-01,475.973107680372
1996-02-01,768.43780150265
1996-03-01,714.443557489843
1996-04-01,730.38417069678
1996-05-01,988.6719917043021
1996-06-01,758.185134807342
1996-07-01,679.781706888569
1996-08-01,695.3022232489669
1996-09-01,827.600740800011
1996-10-01,760.066128023273
1996-11-01,789.1333377915539
1996-12-01,857.043111624801
1997-01-01,667.3943365022969
1997-02-01,823.1596435503909
1997-03-01,956.731206460036
1997-04-01,926.8194726174561
1997-05-01,757.7602093791969
1997-06-01,763.885870796875
1997-07-01,912.3995063537669
1997-08-01,1126.12793256913
1997-09-01,765.710205186482
1997-10-01,916.7991003745599
1997-11-01,778.176681196749
1997-12-01,785.554317654129
1998-01-01,1682.25079455142
1998-02-01,1116.19593630836
1998-03-01,810.7515879811571
1998-04-01,870.7837189460181
1998-05-01,1035.0217110661802
1998-06-01,1037.70678634456
1998-07-01,1159.5887214529
1998-08-01,844.1328427696001
1998-09-01,999.301872595099
1998-10-01,1030.07923642566
1998-11-01,862.118627410683
1998-12-01,1218.50562963451
1999-01-01,950.3625816848829
1999-02-01,841.9709952985099
1999-03-01,1039.44137969612
1999-04-01,1033.04575393038
1999-05-01,919.035930337423
1999-06-01,1051.5368063604901
1999-07-01,778.090808881268
1999-08-01,976.2315600958169
1999-09-01,940.5963127968961
1999-10-01,706.1553588394811
1999-11-01,1012.8150358002699
1999-12-01,771.031345613752
2000-01-01,960.961372891522
2000-02-01,825.3399607273869
2000-03-01,893.642037502558
2000-04-01,712.767612450997
2000-05-01,763.713449345716
2000-06-01,710.3255331429621
2000-07-01,730.120366987137
2000-08-01,733.248442552154
2000-09-01,763.586924207067
2000-10-01,749.281333644624
2000-11-01,891.426553892877
2000-12-01,659.131216313482
2001-01-01,1009.5966614615302
2001-02-01,1097.49830018671
2001-03-01,535.177156958908
2001-04-01,700.128784710629
2001-05-01,728.016526512928
2001-06-01,646.894639540578
2001-07-01,730.4498847729691
2001-08-01,1063.15807897658
2001-09-01,633.638570873397
2001-10-01,785.0964490678481
2001-11-01,713.6068042951199
2001-12-01,833.115725889892
2002-01-01,711.086442761999
2002-02-01,917.432416715257
2002-03-01,791.413134585103
2002-04-01,1008.1699597213699
2002-05-01,836.2527997293801
2002-06-01,602.736330340832
2002-07-01,933.266717732448
2002-08-01,740.132942642816
2002-09-01,832.549545750189
2002-10-01,864.7867415205451
2002-11-01,689.532265234167
2002-12-01,778.278566916177
2003-01-01,767.086452314249
2003-02-01,682.233178338578
2003-03-01,631.423282121416
2003-04-01,769.232705817878
2003-05-01,842.650769819862
2003-06-01,902.759964420311
2003-07-01,808.359847788383
2003-08-01,845.357855533414
2003-09-01,836.574162569127
2003-10-01,1364.38824910324
2003-11-01,797.296828656492
2003-12-01,813.487326616621
