DATE,RIBPPRIVSA
1988-01-01,471.206351420851
1988-02-01,574.2138210805861
1988-03-01,601.3470843786461
1988-04-01,494.776429270351
1988-05-01,409.44724933152605
1988-06-01,662.528597836914
1988-07-01,398.63379396204203
1988-08-01,409.79304328186095
1988-09-01,384.266537073892
1988-10-01,421.24214006947
1988-11-01,319.325582786884
1988-12-01,407.86718520790197
1989-01-01,390.887053843388
1989-02-01,351.267868294512
1989-03-01,334.450011612725
1989-04-01,400.50741952487704
1989-05-01,372.86820144874395
1989-06-01,371.476504328507
1989-07-01,302.005312844476
1989-08-01,360.88722430191
1989-09-01,351.732466138153
1989-10-01,294.858785369687
1989-11-01,336.63898550430997
1989-12-01,267.207451306772
1990-01-01,312.808724737388
1990-02-01,312.487043864687
1990-03-01,302.744549249487
1990-04-01,249.19672142527
1990-05-01,279.57133981272597
1990-06-01,227.55322464012102
1990-07-01,260.549267782993
1990-08-01,234.719929477053
1990-09-01,195.73229963261397
1990-10-01,193.93525924964
1990-11-01,229.48906265565103
1990-12-01,303.884604553943
1991-01-01,190.771674963523
1991-02-01,116.805223079783
1991-03-01,170.513699161805
1991-04-01,270.59581269329203
1991-05-01,221.01743541166098
1991-06-01,226.774460769945
1991-07-01,246.18844021186501
1991-08-01,220.80688483281202
1991-09-01,247.67596494319199
1991-10-01,244.80641368812303
1991-11-01,169.291116610686
1991-12-01,232.397812521674
1992-01-01,380.010580872631
1992-02-01,134.929298438958
1992-03-01,236.356804313956
1992-04-01,219.28365237398998
1992-05-01,204.680878650256
1992-06-01,191.90337270233601
1992-07-01,250.355070792407
1992-08-01,194.37316354283
1992-09-01,190.234994063387
1992-10-01,211.198079178688
1992-11-01,207.297485666283
1992-12-01,214.140982020653
1993-01-01,199.520267847081
1993-02-01,205.10626639041402
1993-03-01,214.07395062273702
1993-04-01,202.922484032708
1993-05-01,209.090472419595
1993-06-01,279.39227999032
1993-07-01,189.189335410113
1993-08-01,206.268047105139
1993-09-01,227.413635865518
1993-10-01,252.742320609784
1993-11-01,188.559971945596
1993-12-01,210.20852583687
1994-01-01,219.704678218255
1994-02-01,113.844114042159
1994-03-01,199.93477397037603
1994-04-01,203.94059296996497
1994-05-01,206.004382821767
1994-06-01,257.905109584471
1994-07-01,212.842020607008
1994-08-01,215.57656973232102
1994-09-01,230.440423344899
1994-10-01,190.57555667997502
1994-11-01,238.302756374773
1994-12-01,218.558726896621
1995-01-01,190.811483127196
1995-02-01,125.525325791082
1995-03-01,199.993701511299
1995-04-01,215.80451859347
1995-05-01,201.121601504429
1995-06-01,187.91779971855098
1995-07-01,168.199731411354
1995-08-01,211.796661557496
1995-09-01,207.905713718341
1995-10-01,179.782864572706
1995-11-01,198.74613603381198
1995-12-01,201.91359346815
1996-01-01,144.356160391763
1996-02-01,196.98917900709
1996-03-01,207.395135057175
1996-04-01,196.778870400412
1996-05-01,213.622667158584
1996-06-01,191.14504133368698
1996-07-01,197.00470649705798
1996-08-01,209.803372735053
1996-09-01,174.317457063823
1996-10-01,268.88912757480597
1996-11-01,166.630703247299
1996-12-01,188.75245154476502
1997-01-01,222.76382831094003
1997-02-01,203.276315191074
1997-03-01,206.77084720749298
1997-04-01,199.79608285601398
1997-05-01,213.279949574471
1997-06-01,214.978362948586
1997-07-01,241.089353816492
1997-08-01,208.40129055098
1997-09-01,249.621238785859
1997-10-01,201.137854168386
1997-11-01,335.32799447660705
1997-12-01,227.748004582956
1998-01-01,225.249439774329
1998-02-01,209.661204996317
1998-03-01,248.38998521681998
1998-04-01,240.436751691846
1998-05-01,197.70385224325298
1998-06-01,225.433703795012
1998-07-01,222.901730141838
1998-08-01,202.38267126331903
1998-09-01,186.82670524701197
1998-10-01,244.364547255971
1998-11-01,232.41429821153
1998-12-01,216.198679291585
1999-01-01,207.676115874444
1999-02-01,261.993009952328
1999-03-01,236.025288646034
1999-04-01,249.07564233254902
1999-05-01,250.822834255532
1999-06-01,241.482849456096
1999-07-01,301.747235777033
1999-08-01,319.049423171913
1999-09-01,219.608546324114
1999-10-01,473.858429736664
1999-11-01,260.22874167803
1999-12-01,219.15947510186902
2000-01-01,305.241361539434
2000-02-01,237.996456000948
2000-03-01,243.80761339057702
2000-04-01,242.219456601898
2000-05-01,228.374356393658
2000-06-01,213.318015057513
2000-07-01,207.560051817597
2000-08-01,179.86552058804298
2000-09-01,195.783025094789
2000-10-01,174.206077296423
2000-11-01,188.960257165267
2000-12-01,237.158889643287
2001-01-01,214.08989411971802
2001-02-01,215.647218340976
2001-03-01,180.98655861618698
2001-04-01,200.573705050434
2001-05-01,206.320362665374
2001-06-01,212.33795991284
2001-07-01,190.92166323335098
2001-08-01,195.543167156545
2001-09-01,182.064887683637
2001-10-01,191.62235019542302
2001-11-01,192.49707568179198
2001-12-01,220.39055779164102
2002-01-01,287.144491520984
2002-02-01,217.37551942601897
2002-03-01,207.89110620428002
2002-04-01,192.64589231383098
2002-05-01,213.53105472489898
2002-06-01,276.565057564372
2002-07-01,170.930183769557
2002-08-01,192.285366588734
2002-09-01,169.562934491321
2002-10-01,323.419633351936
2002-11-01,174.627121427983
2002-12-01,181.771403333932
2003-01-01,142.48896186853
2003-02-01,152.74006238503299
2003-03-01,171.1768693035
2003-04-01,199.002797599334
2003-05-01,200.5340933564
2003-06-01,184.93487483056802
2003-07-01,214.942571013134
2003-08-01,195.35803240772498
2003-09-01,218.359104127491
2003-10-01,378.85868930525197
2003-11-01,223.968060012878
2003-12-01,175.888362013693
2004-01-01,184.348508499648
2004-02-01,199.043054663358
