DATE,NDBPPRIVSA
1988-01-01,105.41828498768999
1988-02-01,95.0533197086948
1988-03-01,130.12601996460398
1988-04-01,178.036518155517
1988-05-01,168.180646979613
1988-06-01,159.097897971382
1988-07-01,112.559571634367
1988-08-01,143.201261966543
1988-09-01,170.82894377258899
1988-10-01,114.300776296096
1988-11-01,162.950528888541
1988-12-01,78.1353976998937
1989-01-01,683.2599610994171
1989-02-01,151.109029306988
1989-03-01,201.533735996328
1989-04-01,123.96304949852
1989-05-01,164.844944992391
1989-06-01,179.644848464136
1989-07-01,203.798105645512
1989-08-01,264.94483966028196
1989-09-01,108.839436862402
1989-10-01,233.667495267039
1989-11-01,124.29509822227101
1989-12-01,165.454958830328
1990-01-01,109.664457376565
1990-02-01,407.23775880598
1990-03-01,102.33299841455
1990-04-01,113.342403674035
1990-05-01,83.80739194784441
1990-06-01,128.61927902110799
1990-07-01,90.89229409505121
1990-08-01,124.05810499839599
1990-09-01,167.873067822073
1990-10-01,122.229630936799
1990-11-01,156.917767723294
1990-12-01,40.8281271587431
1991-01-01,44.696734581447494
1991-02-01,146.667024429665
1991-03-01,272.494534666084
1991-04-01,170.022727207262
1991-05-01,192.626612288441
1991-06-01,101.30104261182
1991-07-01,214.257748832394
1991-08-01,110.528538252717
1991-09-01,127.221104392107
1991-10-01,161.88316038205602
1991-11-01,102.75941684961799
1991-12-01,237.704709177384
1992-01-01,322.96864754752204
1992-02-01,161.490825491623
1992-03-01,228.442178788125
1992-04-01,375.024462338058
1992-05-01,182.286170749479
1992-06-01,193.219449054083
1992-07-01,165.697177677364
1992-08-01,123.45057632367201
1992-09-01,160.398759412351
1992-10-01,111.147118252702
1992-11-01,243.420033685443
1992-12-01,291.63109920007304
1993-01-01,255.546564586339
1993-02-01,541.113934135161
1993-03-01,195.73339042719897
1993-04-01,223.119962632657
1993-05-01,201.391976331647
1993-06-01,227.779289597239
1993-07-01,187.275149322298
1993-08-01,308.08464600973497
1993-09-01,268.438542901941
1993-10-01,263.24907224652196
1993-11-01,239.33382517143798
1993-12-01,88.0975680483021
1994-01-01,343.571939396274
1994-02-01,290.149718075929
1994-03-01,342.722316355286
1994-04-01,252.637762289827
1994-05-01,276.346153382846
1994-06-01,317.91848769202204
1994-07-01,297.750946055506
1994-08-01,258.006840803793
1994-09-01,254.05782668473302
1994-10-01,307.612386986643
1994-11-01,284.273701072399
1994-12-01,348.95201520917396
1995-01-01,150.065579886014
1995-02-01,273.01118874661
1995-03-01,223.51841270380902
1995-04-01,233.937355602221
1995-05-01,271.326518780929
1995-06-01,263.670593359097
1995-07-01,272.329801968487
1995-08-01,206.008890731883
1995-09-01,264.268470971029
1995-10-01,274.275966972698
1995-11-01,209.145565114917
1995-12-01,122.08577985722401
1996-01-01,126.14475125317301
1996-02-01,144.75532821412799
1996-03-01,101.53989014888201
1996-04-01,166.534903520283
1996-05-01,222.622665933218
1996-06-01,244.673751761151
1996-07-01,193.99254377153702
1996-08-01,212.910367462564
1996-09-01,181.60968905486598
1996-10-01,171.06026316958
1996-11-01,169.268701325406
1996-12-01,27.909248145019998
1997-01-01,223.152079505108
1997-02-01,692.978557360944
1997-03-01,222.188246347664
1997-04-01,166.955654373526
1997-05-01,209.46843308668
1997-06-01,117.866737065478
1997-07-01,186.388951590938
1997-08-01,216.565527056408
1997-09-01,227.39755980756001
1997-10-01,240.516403638811
1997-11-01,200.643394623489
1997-12-01,290.900532379638
1998-01-01,101.50805380172399
1998-02-01,191.40601886416002
1998-03-01,393.920137757322
1998-04-01,219.428189078246
1998-05-01,172.87684718962
1998-06-01,235.026641804846
1998-07-01,267.132091062632
1998-08-01,226.620370116517
1998-09-01,315.637824014068
1998-10-01,280.923253861731
1998-11-01,353.567696371288
1998-12-01,281.01129929711396
1999-01-01,123.459802897548
1999-02-01,197.535515263812
1999-03-01,386.64577109894896
1999-04-01,279.119884501375
1999-05-01,149.091981781103
1999-06-01,228.15198355003798
1999-07-01,234.358034634451
1999-08-01,278.653880225004
1999-09-01,165.789805147986
1999-10-01,162.412019524331
1999-11-01,250.54019100996499
1999-12-01,242.23441064985698
2000-01-01,326.933020339745
2000-02-01,201.84953973087502
2000-03-01,270.902382657538
2000-04-01,206.695229326244
2000-05-01,189.422813156869
2000-06-01,148.68507853095198
2000-07-01,159.581944937699
2000-08-01,92.9336283978984
2000-09-01,171.792337970217
2000-10-01,123.07740551657
2000-11-01,116.20842096117799
2000-12-01,177.79160092028
2001-01-01,179.333928483876
2001-02-01,222.72050990051997
2001-03-01,177.818655665167
2001-04-01,189.199282652411
2001-05-01,204.010038404719
2001-06-01,281.545273465072
2001-07-01,132.64454649656602
2001-08-01,196.37367375815498
2001-09-01,156.917127641465
2001-10-01,276.804810007524
2001-11-01,206.777705368632
2001-12-01,164.654016778026
2002-01-01,289.289330640071
2002-02-01,344.75935701116504
2002-03-01,224.692265578137
2002-04-01,220.813622555699
2002-05-01,304.635330209264
2002-06-01,201.493623364805
2002-07-01,302.174441925889
2002-08-01,333.84058429319697
2002-09-01,305.930860398071
2002-10-01,226.438606306898
2002-11-01,228.567653004199
2002-12-01,181.90885240935398
2003-01-01,487.95844209379896
2003-02-01,217.85356618028598
2003-03-01,175.49819017215802
2003-04-01,241.872365186127
2003-05-01,282.61598036499197
2003-06-01,291.360970326796
2003-07-01,353.43929455111197
2003-08-01,357.399910436743
2003-09-01,256.871208569394
2003-10-01,285.070066756045
2003-11-01,369.137960076233
2003-12-01,170.797476729532
2004-01-01,213.273698719936
2004-02-01,150.092668364168
