DATE,NYBPPRIVSA
1988-01-01,4077.0727630519395
1988-02-01,4233.590533588689
1988-03-01,4829.82939715547
1988-04-01,4722.82892239711
1988-05-01,4479.04906246201
1988-06-01,4294.84364898216
1988-07-01,4331.974159550129
1988-08-01,3858.0004258736403
1988-09-01,3969.6889330946997
1988-10-01,3804.85354854625
1988-11-01,4106.3726521981
1988-12-01,4194.07708202177
1989-01-01,4646.03714980327
1989-02-01,3808.07360982573
1989-03-01,4432.46445826815
1989-04-01,3828.63309800308
1989-05-01,3543.4857338255897
1989-06-01,3975.00688211481
1989-07-01,3266.5170113347804
1989-08-01,3639.1079523876792
1989-09-01,3647.1160525388796
1989-10-01,3862.31948961008
1989-11-01,3356.1599483889
1989-12-01,2889.9587620470197
1990-01-01,3312.07037743204
1990-02-01,3849.56799278043
1990-03-01,2855.78723916825
1990-04-01,2308.6205850289602
1990-05-01,2673.65897499976
1990-06-01,2459.49850659124
1990-07-01,2368.82738126433
1990-08-01,3336.7627850644603
1990-09-01,2298.4596623963002
1990-10-01,2105.34361418151
1990-11-01,2105.33780253242
1990-12-01,2177.68855602846
1991-01-01,1864.47851696231
1991-02-01,2088.39585468379
1991-03-01,1913.9951885167002
1991-04-01,2492.21438357659
1991-05-01,2523.0229319046
1991-06-01,2259.4212185479896
1991-07-01,2601.84537814935
1991-08-01,2519.64735704055
1991-09-01,2301.1695381844897
1991-10-01,2655.35862672536
1991-11-01,2284.81107588436
1991-12-01,2021.6237755526502
1992-01-01,2465.47854568921
1992-02-01,2798.31275417587
1992-03-01,2489.36719096905
1992-04-01,2331.18062893379
1992-05-01,2165.5340290789104
1992-06-01,2618.22055480324
1992-07-01,2451.73273147507
1992-08-01,2326.53881556686
1992-09-01,2378.5561078297196
1992-10-01,2082.9483750908803
1992-11-01,2363.68242939343
1992-12-01,2206.36462739791
1993-01-01,2529.16837116084
1993-02-01,2253.96736173656
1993-03-01,1946.5397971219
1993-04-01,2024.9187800800698
1993-05-01,2399.047439069
1993-06-01,2172.04755319739
1993-07-01,2426.1774130276003
1993-08-01,2118.4991036545603
1993-09-01,2593.1450566746
1993-10-01,2413.99861810187
1993-11-01,2847.7178134127503
1993-12-01,4223.80176528855
1994-01-01,1395.85387763433
1994-02-01,1663.82446693597
1994-03-01,2510.27596446035
1994-04-01,2654.83884206236
1994-05-01,2555.36329509831
1994-06-01,2679.27865131177
1994-07-01,2619.65199589455
1994-08-01,3034.5541105238203
1994-09-01,2648.3603179869397
1994-10-01,2455.30288952496
1994-11-01,2381.5884651513
1994-12-01,2960.9408232884603
1995-01-01,2189.8497599348498
1995-02-01,1772.49713245954
1995-03-01,2726.5752280795
1995-04-01,2441.10329630863
1995-05-01,2348.0050381682604
1995-06-01,2338.80241929564
1995-07-01,1944.4727272794298
1995-08-01,2150.18145566608
1995-09-01,2213.1243807369
1995-10-01,2708.2036878662802
1995-11-01,3063.46887065215
1995-12-01,2111.9211688481896
1996-01-01,2322.6715900756303
1996-02-01,2261.12948445903
1996-03-01,2860.43352607218
1996-04-01,3223.73657743936
1996-05-01,3264.92279333539
1996-06-01,2730.6937353212697
1996-07-01,3172.5500362794
1996-08-01,3497.7849467929
1996-09-01,2694.71003214034
1996-10-01,3168.2352420480297
1996-11-01,2706.06572935939
1996-12-01,2759.65148632541
1997-01-01,2994.03964710737
1997-02-01,3339.63403890806
1997-03-01,2569.9202718715696
1997-04-01,2520.78077672587
1997-05-01,2537.52468999042
1997-06-01,2642.5789622073603
1997-07-01,2991.07213417106
1997-08-01,2373.19857558521
1997-09-01,3157.1734839540995
1997-10-01,2532.7818666075
1997-11-01,2865.2499043549296
1997-12-01,3243.91081965967
1998-01-01,2996.6046317307105
1998-02-01,3021.4146351219606
1998-03-01,2685.90315265803
1998-04-01,2453.90623374128
1998-05-01,2805.62276090349
1998-06-01,3395.0177158200704
1998-07-01,3231.90752526767
1998-08-01,3118.68549680976
1998-09-01,3229.6021589210304
1998-10-01,4384.60366559901
1998-11-01,3313.10111322977
1998-12-01,3276.86131837159
1999-01-01,3799.56420198228
1999-02-01,3127.51561488152
1999-03-01,3822.8881037509495
1999-04-01,3490.98537237709
1999-05-01,3197.90191263924
1999-06-01,3498.25076232164
1999-07-01,3127.74439243479
1999-08-01,3676.8568140468797
1999-09-01,3353.93097539868
1999-10-01,3043.45136591828
1999-11-01,3550.6744934303497
1999-12-01,3545.89683871331
2000-01-01,3232.61206161418
2000-02-01,3687.81731838757
2000-03-01,3574.48565448988
2000-04-01,4436.02314393669
2000-05-01,3461.9106811113697
2000-06-01,3675.52220804959
2000-07-01,3389.2535626352
2000-08-01,3475.0331683243703
2000-09-01,4045.21417478175
2000-10-01,3660.28921485586
2000-11-01,3974.5711905672206
2000-12-01,3129.15765352091
2001-01-01,2696.51170512656
2001-02-01,5255.15116219759
2001-03-01,3865.70733095889
2001-04-01,3773.63269600485
2001-05-01,3569.09851412137
2001-06-01,3270.4087864382104
2001-07-01,3756.9290192437898
2001-08-01,3944.5505986746202
2001-09-01,3161.4167466031895
2001-10-01,3806.15723926794
2001-11-01,4072.8612350690205
2001-12-01,3835.0899920012102
2002-01-01,4162.7516661113
2002-02-01,4705.78105784499
2002-03-01,3194.66124893708
2002-04-01,3962.4288180572103
2002-05-01,4586.32944602151
2002-06-01,4075.14947219255
2002-07-01,4616.35646710754
2002-08-01,3845.8487173015296
2002-09-01,4258.490649851121
2002-10-01,4013.86844778205
2002-11-01,3642.3954594843103
2002-12-01,4249.20439406993
2003-01-01,3808.9361826347294
2003-02-01,3744.29948491198
2003-03-01,3864.21140110976
2003-04-01,3978.9022636894397
2003-05-01,4278.33924667772
2003-06-01,3675.6901398449604
2003-07-01,3797.20106851498
2003-08-01,5268.8989317082505
2003-09-01,4120.83903163312
2003-10-01,4545.21347691647
2003-11-01,3744.6297052359005
2003-12-01,4705.05705174025
2004-01-01,3962.63929054082
2004-02-01,4089.68437541579
2004-03-01,4049.2505835205297
2004-04-01,4400.1930634772
2004-05-01,4670.54174862444
2004-06-01,5151.23263061349
2004-07-01,4962.51952918862
2004-08-01,4926.89319349278
2004-09-01,4525.81404292048
2004-10-01,4594.54819012902
2004-11-01,5705.63119377234
2004-12-01,4789.45383448286
2005-01-01,4449.6237322961
2005-02-01,4895.4519376892795
2005-03-01,4481.31631467353
2005-04-01,5545.51120922515
2005-05-01,4816.80619960979
2005-06-01,5382.99630938035
2005-07-01,4682.05952419149
2005-08-01,5019.59003146437
2005-09-01,6091.082921974251
2005-10-01,3766.59393773692
2005-11-01,5497.16952828392
2005-12-01,4619.223772023929
2006-01-01,5226.8284742256
2006-02-01,5627.824286786011
2006-03-01,5247.59722473204
2006-04-01,4247.8747515288505
2006-05-01,4674.268009991621
2006-06-01,4180.71336535033
2006-07-01,4032.00438437678
2006-08-01,6137.95290136083
2006-09-01,4378.84415387668
2006-10-01,4283.86606949815
2006-11-01,3220.84550036672
2006-12-01,4408.680322973
2007-01-01,5299.45314378669
