DATE,VABPPRIVSA
1988-01-01,3392.25803553862
1988-02-01,6387.3726570901
1988-03-01,6195.60240061057
1988-04-01,5286.16242992266
1988-05-01,5867.36485645297
1988-06-01,5016.46745904543
1988-07-01,5255.14107135999
1988-08-01,5673.27643768971
1988-09-01,6002.7051416387
1988-10-01,5863.61428064803
1988-11-01,5976.176998837321
1988-12-01,5729.9147355374
1989-01-01,5413.48809072945
1989-02-01,5295.43757175515
1989-03-01,4066.8276889515296
1989-04-01,4738.4799176776505
1989-05-01,4721.32975443663
1989-06-01,5838.97816710508
1989-07-01,3837.8735089893703
1989-08-01,5268.9086013572105
1989-09-01,4579.912998085139
1989-10-01,4147.792427758
1989-11-01,4402.31938421274
1989-12-01,5239.99131139617
1990-01-01,5340.6594906914
1990-02-01,4290.6783632099605
1990-03-01,3989.6858273455105
1990-04-01,3410.61584856825
1990-05-01,3192.6968152511
1990-06-01,3597.89905210664
1990-07-01,3242.3344577622197
1990-08-01,2643.4344260034
1990-09-01,2829.10099663669
1990-10-01,2975.27143045132
1990-11-01,3245.04858012669
1990-12-01,1989.5994881997303
1991-01-01,2107.86741076641
1991-02-01,2163.1029687039604
1991-03-01,2750.21127097422
1991-04-01,3129.2830231796197
1991-05-01,3238.1736383891102
1991-06-01,2673.8346201354
1991-07-01,3186.9891933889503
1991-08-01,2716.44704038073
1991-09-01,2673.34601888957
1991-10-01,2704.8307836305803
1991-11-01,2816.01610209175
1991-12-01,2688.82374368475
1992-01-01,3551.3931596590296
1992-02-01,3355.9455730129403
1992-03-01,3668.07507290685
1992-04-01,3471.9266733370196
1992-05-01,3052.56363746051
1992-06-01,3135.66842443194
1992-07-01,3434.9691406767497
1992-08-01,3185.32735213472
1992-09-01,3388.0879199056
1992-10-01,3240.5829750332396
1992-11-01,3200.62230605347
1992-12-01,3554.13884826081
1993-01-01,3527.52338718617
1993-02-01,3974.94458649308
1993-03-01,3253.09292105607
1993-04-01,3473.2182035096803
1993-05-01,3702.03617476966
1993-06-01,3603.32657328296
1993-07-01,3986.5099389909706
1993-08-01,4066.25889845052
1993-09-01,3843.59924119265
1993-10-01,3731.01773127846
1993-11-01,4575.44878256139
1993-12-01,4090.22109922854
1994-01-01,3992.28267659755
1994-02-01,3961.6113501442896
1994-03-01,3824.0083128771203
1994-04-01,3995.5975641936207
1994-05-01,4283.23829139472
1994-06-01,4273.90205929415
1994-07-01,3646.78507931875
1994-08-01,3554.6783507990704
1994-09-01,4787.58465800235
1994-10-01,3481.26538143728
1994-11-01,3674.7192978844896
1994-12-01,3584.3197595615798
1995-01-01,3342.43191070961
1995-02-01,3367.2015005718104
1995-03-01,4646.0445198709
1995-04-01,3172.69767667539
1995-05-01,3083.3279761484996
1995-06-01,3240.7635479945397
1995-07-01,3191.67454745092
1995-08-01,4006.2621893112605
1995-09-01,3765.03699999025
1995-10-01,4091.8996083313
1995-11-01,3913.01472706677
1995-12-01,3599.61215612816
1996-01-01,3169.68178081731
1996-02-01,3381.38226954659
1996-03-01,3271.73441324027
1996-04-01,4188.9641097935
1996-05-01,4525.98927702354
1996-06-01,4260.52582142435
1996-07-01,3857.49651114682
1996-08-01,4214.36275262488
1996-09-01,3113.5568133682395
1996-10-01,4077.5999555982103
1996-11-01,3297.6873438920397
1996-12-01,3466.8365904152
1997-01-01,4036.9295048837103
1997-02-01,3619.8040282608004
1997-03-01,3265.5162747440995
1997-04-01,3780.3176330178794
1997-05-01,3702.2180293069605
1997-06-01,3483.57424342759
1997-07-01,4576.07809596895
1997-08-01,3958.4729518782
1997-09-01,3904.88602034823
1997-10-01,3840.31036306743
1997-11-01,3664.1395093804604
1997-12-01,3922.35888916346
1998-01-01,3402.9139586443603
1998-02-01,3995.0964279863597
1998-03-01,3954.2492277904707
1998-04-01,4009.98215426229
1998-05-01,3265.72813657977
1998-06-01,4195.36006326956
1998-07-01,4527.68674635889
1998-08-01,3938.56411403556
1998-09-01,4863.38453206422
1998-10-01,4530.57921397011
1998-11-01,4441.88446022855
1998-12-01,4525.08144090339
1999-01-01,4857.43746889914
1999-02-01,4412.9769974954
1999-03-01,4476.77812048893
1999-04-01,4487.07787137012
1999-05-01,4368.66412034817
1999-06-01,4412.73334364946
1999-07-01,4311.51739794674
1999-08-01,4116.082719125329
1999-09-01,4187.133309420879
1999-10-01,4161.44078024637
1999-11-01,4348.18270661562
1999-12-01,4189.6517539285205
2000-01-01,4264.39516193977
2000-02-01,4461.30347830032
2000-03-01,4287.43466230215
2000-04-01,3626.7941536318604
2000-05-01,3954.8181323947997
2000-06-01,3948.8257347879207
2000-07-01,4088.6984088983295
2000-08-01,3886.6719414447903
2000-09-01,3934.45647184692
2000-10-01,3958.30412837339
2000-11-01,4518.92627374772
2000-12-01,3287.48126404143
2001-01-01,4233.6015370880605
2001-02-01,5385.52155913552
2001-03-01,4479.28762064226
2001-04-01,4652.27631680923
2001-05-01,4058.09214211877
2001-06-01,4005.3827379095296
2001-07-01,3699.9164946355895
2001-08-01,3902.70447796989
2001-09-01,3908.34082456193
2001-10-01,4002.4767829812895
2001-11-01,5089.57242673679
2001-12-01,3599.02424556948
2002-01-01,4671.74858081433
2002-02-01,4548.11467056417
2002-03-01,5260.213304769371
2002-04-01,4480.56526560137
2002-05-01,4899.681955258429
2002-06-01,4530.854503742
2002-07-01,5273.01190132865
2002-08-01,4871.29453566916
2002-09-01,4985.874667902271
2002-10-01,5026.30045153808
2002-11-01,4916.15918712409
2002-12-01,5377.88801182714
2003-01-01,4992.37874515364
2003-02-01,4929.08219537452
