DATE,OKBPPRIVSA
1988-01-01,293.967179556561
1988-02-01,374.13500770620203
1988-03-01,346.223573133076
1988-04-01,353.21871264208505
1988-05-01,347.006421989513
1988-06-01,435.01492583561503
1988-07-01,306.185813262981
1988-08-01,365.49948607064596
1988-09-01,442.452100849217
1988-10-01,347.702812237433
1988-11-01,406.787767029021
1988-12-01,356.524315165291
1989-01-01,700.765237761889
1989-02-01,420.449652436667
1989-03-01,333.039138029926
1989-04-01,381.674693553568
1989-05-01,623.301082816777
1989-06-01,392.479607847908
1989-07-01,398.577296242276
1989-08-01,417.494504245632
1989-09-01,362.246139411632
1989-10-01,439.92585029991994
1989-11-01,530.507841487954
1989-12-01,346.496107829768
1990-01-01,432.094841288073
1990-02-01,354.764830038442
1990-03-01,393.63310569907304
1990-04-01,368.094883757864
1990-05-01,370.566834694038
1990-06-01,567.729066373371
1990-07-01,373.25224301236
1990-08-01,449.92269480643404
1990-09-01,328.113742279769
1990-10-01,453.022574845734
1990-11-01,366.26563337149
1990-12-01,315.296385161555
1991-01-01,352.20829476926
1991-02-01,380.217763369662
1991-03-01,388.85485737010004
1991-04-01,509.057317500904
1991-05-01,506.83682594601504
1991-06-01,403.349421995083
1991-07-01,527.040278546232
1991-08-01,469.719561286296
1991-09-01,478.245584215317
1991-10-01,491.137155950884
1991-11-01,464.28271538270303
1991-12-01,579.072529186417
1992-01-01,607.6156618856301
1992-02-01,609.921085004915
1992-03-01,563.589788982285
1992-04-01,609.908345911633
1992-05-01,486.035537205058
1992-06-01,525.317511947551
1992-07-01,668.2451546763231
1992-08-01,539.10758690721
1992-09-01,649.578262890783
1992-10-01,628.241156325343
1992-11-01,583.66390930143
1992-12-01,666.559710705704
1993-01-01,537.7041656994651
1993-02-01,565.872169448995
1993-03-01,689.722519646564
1993-04-01,588.5010801723739
1993-05-01,630.0316873269
1993-06-01,685.095855655017
1993-07-01,754.500184753609
1993-08-01,730.9731967301019
1993-09-01,788.0692047022301
1993-10-01,655.337253822752
1993-11-01,787.341309484895
1993-12-01,742.218159257039
1994-01-01,876.370153722668
1994-02-01,904.011430389698
1994-03-01,781.316860212247
1994-04-01,705.9073910010851
1994-05-01,1143.91648289762
1994-06-01,836.478495701896
1994-07-01,710.028164126171
1994-08-01,555.06811238168
1994-09-01,748.31519370408
1994-10-01,690.4465780430389
1994-11-01,780.0778892130149
1994-12-01,865.4307729950181
1995-01-01,962.424202285307
1995-02-01,632.737155354889
1995-03-01,604.081895199328
1995-04-01,433.3908280133
1995-05-01,859.876361064722
1995-06-01,1053.29487215521
1995-07-01,692.007297895192
1995-08-01,923.193366142279
1995-09-01,791.344619261183
1995-10-01,837.6926187116001
1995-11-01,1211.6513375603
1995-12-01,1267.20701396816
1996-01-01,854.328996620168
1996-02-01,939.9494436490199
1996-03-01,941.2995359756931
1996-04-01,965.710218949217
1996-05-01,790.9652974296961
1996-06-01,636.542238495863
1996-07-01,1150.53333552343
1996-08-01,760.169646630902
1996-09-01,923.22457711973
1996-10-01,706.893251481053
1996-11-01,717.74283939061
1996-12-01,720.983926878439
1997-01-01,730.691273443652
1997-02-01,739.710339520949
1997-03-01,942.1888496174139
1997-04-01,844.7318392268221
1997-05-01,817.5863536666079
1997-06-01,1492.7228680608498
1997-07-01,831.091092097759
1997-08-01,735.132177180899
1997-09-01,777.482107783513
1997-10-01,1016.0292574122501
1997-11-01,763.853029142041
1997-12-01,816.2465560394701
1998-01-01,980.063972764657
1998-02-01,1668.3536966019
1998-03-01,1037.05282391549
1998-04-01,1190.17292552025
1998-05-01,1023.4122851745699
1998-06-01,1172.16356778225
1998-07-01,1115.8641516003
1998-08-01,1305.93074091958
1998-09-01,1196.90679678229
1998-10-01,1897.5149758657396
1998-11-01,831.0585222366209
1998-12-01,1119.9368048231402
1999-01-01,1167.15402164784
1999-02-01,1014.99691732718
1999-03-01,1328.64995920245
1999-04-01,952.7119840415601
1999-05-01,1114.99265807346
1999-06-01,1204.62370910151
1999-07-01,1219.81352913155
1999-08-01,1233.1729459985902
1999-09-01,1057.55080180884
1999-10-01,1109.3608468724199
1999-11-01,856.408567653164
1999-12-01,1070.3659357154302
2000-01-01,811.6812627757209
2000-02-01,1419.25497781366
2000-03-01,769.207676364548
2000-04-01,1153.253870545
2000-05-01,854.4469668877271
2000-06-01,913.7338868003129
2000-07-01,1381.8485107597303
2000-08-01,867.491326047559
2000-09-01,903.982884847085
2000-10-01,692.293098180525
2000-11-01,823.071426817598
2000-12-01,593.440031489553
2001-01-01,743.7576869834779
2001-02-01,886.4252145722689
2001-03-01,1093.8677093956699
2001-04-01,870.582979286511
2001-05-01,1003.1855344600999
2001-06-01,941.101312060193
2001-07-01,947.920143926792
2001-08-01,1043.97066693908
2001-09-01,833.702626147658
2001-10-01,1198.13750490582
2001-11-01,1370.32568558619
2001-12-01,967.848450233219
2002-01-01,1203.85463729974
2002-02-01,1142.6378090542
2002-03-01,876.720469418687
2002-04-01,1018.41231904908
2002-05-01,1071.57357645137
2002-06-01,851.309029733526
2002-07-01,984.851961445207
2002-08-01,1136.5017474332199
2002-09-01,1237.45435230707
2002-10-01,976.277483372359
2002-11-01,1408.5349386302898
2002-12-01,1145.10389179678
2003-01-01,1350.06079796113
2003-02-01,1139.61375499246
2003-03-01,1475.54322338988
2003-04-01,1020.35887335676
2003-05-01,1148.2542100195199
2003-06-01,1087.6154208702
2003-07-01,1525.72805597952
2003-08-01,1378.6941017771699
2003-09-01,1210.72853301382
2003-10-01,1424.67088284072
2003-11-01,1084.30814025563
