DATE,MDBPPRIVSA
1988-01-01,2018.82652480909
1988-02-01,4050.4468811065794
1988-03-01,3782.9177985603706
1988-04-01,4042.97624521427
1988-05-01,2653.87462052833
1988-06-01,3688.29268972866
1988-07-01,3730.7536465455796
1988-08-01,3733.2509959523
1988-09-01,4455.70075548567
1988-10-01,3786.3789843721897
1988-11-01,3437.72702854672
1988-12-01,3000.3509566814
1989-01-01,3249.95249586581
1989-02-01,3314.11124571961
1989-03-01,2997.56814442155
1989-04-01,3199.2261184692898
1989-05-01,3223.29998519823
1989-06-01,3442.4454281816998
1989-07-01,3280.99711895063
1989-08-01,3300.2568253942604
1989-09-01,5161.03322973915
1989-10-01,3167.47478578809
1989-11-01,3947.48862434291
1989-12-01,3453.17862733655
1990-01-01,6056.95802325912
1990-02-01,3343.8710426361104
1990-03-01,3168.41112854513
1990-04-01,2504.44779856798
1990-05-01,2791.28059409506
1990-06-01,3002.83010187633
1990-07-01,2497.0375600492002
1990-08-01,2479.9009885055398
1990-09-01,1955.77266818673
1990-10-01,2401.08277489695
1990-11-01,2303.45096368019
1990-12-01,1906.14253885066
1991-01-01,1506.72312629611
1991-02-01,2026.7871945228896
1991-03-01,2263.2376991606197
1991-04-01,2212.95996742672
1991-05-01,2471.2728962443202
1991-06-01,1913.54750290155
1991-07-01,2443.5621144830898
1991-08-01,2191.4371921393804
1991-09-01,2208.26711497048
1991-10-01,2242.5434241365197
1991-11-01,2290.18387000132
1991-12-01,2545.1049613238
1992-01-01,2760.7248667676
1992-02-01,2522.9509185344
1992-03-01,2843.8947988924797
1992-04-01,2929.5055235380796
1992-05-01,2842.90911975222
1992-06-01,4467.82940001596
1992-07-01,2441.74947655371
1992-08-01,1654.79705274832
1992-09-01,2709.579321053
1992-10-01,2388.33903418293
1992-11-01,2272.01726698135
1992-12-01,2645.68196407638
1993-01-01,3180.9778444304698
1993-02-01,2615.9086021197
1993-03-01,2060.4943054402697
1993-04-01,3124.86062550498
1993-05-01,2149.84234407509
1993-06-01,2535.08331926053
1993-07-01,2711.00115310405
1993-08-01,2612.64813996024
1993-09-01,2509.34595025288
1993-10-01,2576.60288829118
1993-11-01,2482.83178642752
1993-12-01,2844.91462298856
1994-01-01,2136.07500380362
1994-02-01,2336.99715508682
1994-03-01,2320.7611517025302
1994-04-01,2463.95450826019
1994-05-01,2330.85788581375
1994-06-01,2628.5137493878
1994-07-01,2396.27023838082
1994-08-01,2598.86123817112
1994-09-01,2554.65728885823
1994-10-01,2471.22553977228
1994-11-01,2239.7553290966603
1994-12-01,2294.109675511
1995-01-01,2158.31948752596
1995-02-01,2108.0748104630998
1995-03-01,2554.6300564314497
1995-04-01,2123.8308025525303
1995-05-01,2199.44131143528
1995-06-01,1907.1660777867999
1995-07-01,2043.7436898497501
1995-08-01,2844.7427651315897
1995-09-01,1955.8936715066898
1995-10-01,2442.5083116633
1995-11-01,2550.2716699677803
1995-12-01,1585.91688705569
1996-01-01,1890.7917506956198
1996-02-01,2268.60763413223
1996-03-01,2343.4111383832997
1996-04-01,2182.09621471445
1996-05-01,2273.3657363527104
1996-06-01,2122.06725956389
1996-07-01,2013.9702046173602
1996-08-01,2107.58601535905
1996-09-01,2418.48649058556
1996-10-01,2071.10899514343
1996-11-01,1961.22303490647
1996-12-01,1617.71193501913
1997-01-01,2513.3953301535103
1997-02-01,2199.8481214871804
1997-03-01,1841.1734582761603
1997-04-01,2050.7444729460503
1997-05-01,2179.53366246928
1997-06-01,2247.5553858799
1997-07-01,2164.17016521365
1997-08-01,1908.8443450832801
1997-09-01,2068.7738508931698
1997-10-01,2146.3448156634
1997-11-01,2284.2875102993303
1997-12-01,2191.87642977429
1998-01-01,2265.8028081666102
1998-02-01,2180.3599176553603
1998-03-01,2167.82900567041
1998-04-01,2180.20727937063
1998-05-01,3482.7450865905894
1998-06-01,2278.36807570624
1998-07-01,2606.63977383834
1998-08-01,2447.7469818773498
1998-09-01,3145.6798681076
1998-10-01,2222.54882567155
1998-11-01,2194.06284913368
1998-12-01,2597.51707332279
1999-01-01,1753.7627636447198
1999-02-01,2347.9045041369
1999-03-01,2486.36925863367
1999-04-01,3312.87846341872
1999-05-01,2274.6585223782104
1999-06-01,2141.19465037795
1999-07-01,2625.13865488394
1999-08-01,2411.0341008623604
1999-09-01,2277.85075222849
1999-10-01,2274.80479255337
1999-11-01,2476.4641401761396
1999-12-01,2493.39797873607
2000-01-01,2309.6013264817
2000-02-01,2275.8410828076603
2000-03-01,2505.45459606057
2000-04-01,2205.88014808882
2000-05-01,2198.61097353875
2000-06-01,2212.5412995866895
2000-07-01,1878.12801494572
2000-08-01,2423.2222563284
2000-09-01,2192.74463954176
2000-10-01,2228.02863182149
2000-11-01,2327.46487246025
2000-12-01,2303.77698797317
2001-01-01,2166.0163615210604
2001-02-01,2618.35344579799
2001-03-01,2244.5024455336397
2001-04-01,2123.79069101746
2001-05-01,2286.66094386289
2001-06-01,2633.1173656063197
2001-07-01,2493.6362464134304
2001-08-01,2368.27882826102
2001-09-01,1995.0233114805103
2001-10-01,2795.46948662827
2001-11-01,2433.53532594314
2001-12-01,2023.58063883685
2002-01-01,2682.6971389321398
2002-02-01,2400.50950608358
2002-03-01,2450.4272236196202
2002-04-01,2482.34610349458
2002-05-01,2284.3148127755303
2002-06-01,1990.31711002678
2002-07-01,2479.7134570987
2002-08-01,2126.22290702833
2002-09-01,2579.22532663321
2002-10-01,2242.0374693385697
2002-11-01,2308.4873830099104
2002-12-01,2262.35829613935
2003-01-01,2570.69403014905
