DATE,KYBPPRIVSA
1988-01-01,871.8298979678259
1988-02-01,1396.54106612854
1988-03-01,1011.6955642855901
1988-04-01,1030.48094994806
1988-05-01,1019.96759756453
1988-06-01,1039.2997117454902
1988-07-01,838.323004620558
1988-08-01,1121.39254114226
1988-09-01,1606.2527588095902
1988-10-01,1131.63088011698
1988-11-01,1417.4439570945
1988-12-01,1080.65962419583
1989-01-01,1083.8475137477499
1989-02-01,848.8337499708141
1989-03-01,1076.51098146474
1989-04-01,964.5408108490891
1989-05-01,1102.3990154467501
1989-06-01,1049.5595088144198
1989-07-01,1156.911068506
1989-08-01,1543.1008081165899
1989-09-01,1209.00769374571
1989-10-01,1069.28297767922
1989-11-01,967.3059751731149
1989-12-01,737.557852322465
1990-01-01,2088.44747363645
1990-02-01,1234.61533826118
1990-03-01,1026.38385806354
1990-04-01,1042.68582637765
1990-05-01,994.7065519587179
1990-06-01,945.237928782294
1990-07-01,957.0498144904531
1990-08-01,937.1490021347839
1990-09-01,732.4572950677131
1990-10-01,821.062644552251
1990-11-01,798.021463524088
1990-12-01,651.955077729196
1991-01-01,683.8055599324031
1991-02-01,680.476823015111
1991-03-01,904.497868554509
1991-04-01,878.0939578032351
1991-05-01,1007.47938953185
1991-06-01,984.824169035642
1991-07-01,1061.0394223502199
1991-08-01,879.8893904935451
1991-09-01,745.0420032476379
1991-10-01,1056.82750569575
1991-11-01,986.377176797777
1991-12-01,1398.15597923333
1992-01-01,1374.25463291814
1992-02-01,1386.2510393935002
1992-03-01,1182.7116556634599
1992-04-01,1256.05851867391
1992-05-01,968.966469806796
1992-06-01,1140.36821366783
1992-07-01,1066.76376749174
1992-08-01,1138.61076719206
1992-09-01,1210.9181876091
1992-10-01,1245.28139172379
1992-11-01,1280.2730504115
1992-12-01,1350.1600691926699
1993-01-01,1395.8711126723902
1993-02-01,1253.3432493322
1993-03-01,1111.62042931388
1993-04-01,1184.4271337121902
1993-05-01,1103.29416729394
1993-06-01,1285.40136001721
1993-07-01,1458.2821117500598
1993-08-01,1401.2802874856698
1993-09-01,1638.71561993013
1993-10-01,1355.52095817297
1993-11-01,1381.89235943637
1993-12-01,1352.06888889982
1994-01-01,1199.17108623315
1994-02-01,1400.90385898264
1994-03-01,1603.8958547276902
1994-04-01,1514.63694350833
1994-05-01,2102.2193027365
1994-06-01,1759.47253376631
1994-07-01,1489.46241742228
1994-08-01,1668.90139494049
1994-09-01,1580.01435322041
1994-10-01,1509.76715082844
1994-11-01,1422.0435235286802
1994-12-01,1481.1163782690398
1995-01-01,1482.8324359548
1995-02-01,1195.05420511729
1995-03-01,1690.55942066868
1995-04-01,1499.5524649518698
1995-05-01,1292.79271233792
1995-06-01,1294.98847293075
1995-07-01,1298.66404004496
1995-08-01,1408.3922778290303
1995-09-01,1496.4234655132998
1995-10-01,1737.04244776302
1995-11-01,1933.66659424905
1995-12-01,1663.3968969038099
1996-01-01,1257.21349051021
1996-02-01,1505.2240341190698
1996-03-01,1421.30134744638
1996-04-01,1903.8677866933801
1996-05-01,1589.40476453635
1996-06-01,1550.7444231090399
1996-07-01,1544.79465578538
1996-08-01,1562.13290308561
1996-09-01,1434.81155878862
1996-10-01,1448.5159570689902
1996-11-01,1938.9736955123499
1996-12-01,1345.6564209317098
1997-01-01,1510.09660278262
1997-02-01,1599.92016447992
1997-03-01,1438.3743449519598
1997-04-01,1742.61840559383
1997-05-01,1771.93810967802
1997-06-01,1596.3431577276801
1997-07-01,1687.16335144641
1997-08-01,1486.7025561148598
1997-09-01,1693.61720614766
1997-10-01,1624.39110354385
1997-11-01,1547.53273277655
1997-12-01,1862.5599914190198
1998-01-01,1909.1686026806601
1998-02-01,1793.20615496862
1998-03-01,1990.87994260561
1998-04-01,1666.0387138620902
1998-05-01,1858.2039661633603
1998-06-01,1614.90979806306
1998-07-01,1882.6006499277698
1998-08-01,1951.9001123631501
1998-09-01,1820.7552356830101
1998-10-01,1838.1528400783
1998-11-01,1790.1788967256302
1998-12-01,2373.76027706935
1999-01-01,1524.78170210263
1999-02-01,1756.1976829411901
1999-03-01,1881.00374143323
1999-04-01,1901.12631816149
1999-05-01,1629.31980274671
1999-06-01,2045.3176773105301
1999-07-01,1876.0901590729002
1999-08-01,1830.1254953873802
1999-09-01,1744.2081882345499
1999-10-01,1845.9130892291198
1999-11-01,1948.8052321263601
1999-12-01,1532.49600307422
2000-01-01,1696.57286817602
2000-02-01,1775.90376784932
2000-03-01,1611.5565550912302
2000-04-01,1458.7889487464302
2000-05-01,1441.1611300874201
2000-06-01,1425.75333067102
2000-07-01,1279.8473854279
2000-08-01,1408.0935045296699
2000-09-01,1452.20665770621
2000-10-01,1374.3101812261
2000-11-01,1728.23134928397
2000-12-01,1379.2594088149697
2001-01-01,1318.4274022914099
2001-02-01,1314.74093353516
2001-03-01,1400.00005330651
2001-04-01,1447.8074492267301
2001-05-01,1441.3935792931
2001-06-01,1553.4362457890802
2001-07-01,1452.81348143892
2001-08-01,1588.1061447310599
2001-09-01,1201.33778339954
2001-10-01,1490.70115324948
2001-11-01,1508.67740881039
2001-12-01,1606.87763828637
2002-01-01,1743.2346815154801
2002-02-01,1704.74397458849
2002-03-01,1409.61079614742
2002-04-01,1689.39583925864
2002-05-01,1587.80860294281
2002-06-01,1522.5379367830499
2002-07-01,1664.71194697358
2002-08-01,1544.1367422407002
2002-09-01,1667.5203396690301
2002-10-01,1587.6179850600101
2002-11-01,1596.32028266337
2002-12-01,1705.97111070558
2003-01-01,1718.3076739277099
2003-02-01,1619.0436628642599
