DATE,WIBPPRIVSA
1988-01-01,1388.56584893284
1988-02-01,1690.36937407952
1988-03-01,1994.7065745854998
1988-04-01,1877.8041652254801
1988-05-01,1911.2610815888897
1988-06-01,1939.98444886846
1988-07-01,1932.40084054212
1988-08-01,2087.56368888227
1988-09-01,2824.27023529169
1988-10-01,1891.5490283575898
1988-11-01,2427.58053105215
1988-12-01,2005.1726091571
1989-01-01,2810.99734009844
1989-02-01,1982.8145543806197
1989-03-01,1658.8495580813199
1989-04-01,1944.46442624654
1989-05-01,2350.5726652439002
1989-06-01,2300.1368786041
1989-07-01,2288.40614309282
1989-08-01,2433.2149914304396
1989-09-01,2208.5424651768103
1989-10-01,2286.0931583488
1989-11-01,2108.25016367613
1989-12-01,2659.0456575957896
1990-01-01,4750.475323231401
1990-02-01,2563.02733715009
1990-03-01,2285.41637224192
1990-04-01,2195.7824405023803
1990-05-01,2069.34081336912
1990-06-01,1813.3686068277102
1990-07-01,1921.8370351532396
1990-08-01,1915.5033911695002
1990-09-01,1869.9783939016102
1990-10-01,2012.4801516205398
1990-11-01,1902.34050010245
1990-12-01,1649.03697920572
1991-01-01,2227.05802432398
1991-02-01,1734.77461230508
1991-03-01,1762.33937686621
1991-04-01,2213.53872474241
1991-05-01,2058.5326072695498
1991-06-01,2182.9556644317104
1991-07-01,2210.9042613994
1991-08-01,2064.44618135474
1991-09-01,2194.02482742941
1991-10-01,2421.33556596403
1991-11-01,1933.5910164004601
1991-12-01,2536.62339005426
1992-01-01,2699.6419324828103
1992-02-01,2647.32123118205
1992-03-01,2918.2783059869503
1992-04-01,2628.5360257861303
1992-05-01,2430.34935643291
1992-06-01,2746.88830592244
1992-07-01,2798.60784868962
1992-08-01,2340.86050901543
1992-09-01,2582.9554327011897
1992-10-01,2417.1386771357397
1992-11-01,2686.7445364932896
1992-12-01,2672.62879423699
1993-01-01,2744.3137696813
1993-02-01,2665.57756827731
1993-03-01,2456.68603735471
1993-04-01,2531.83591641834
1993-05-01,2564.99112186697
1993-06-01,2851.5813145144202
1993-07-01,2577.4530092644395
1993-08-01,3117.7298940546098
1993-09-01,2798.9105442209197
1993-10-01,2433.25266836233
1993-11-01,3229.6860918531
1993-12-01,2616.5525789068
1994-01-01,2422.12983011068
1994-02-01,2128.3625900482
1994-03-01,2947.58460355726
1994-04-01,2767.3124608669605
1994-05-01,3157.5283128631
1994-06-01,2835.8313333906103
1994-07-01,2681.73383450087
1994-08-01,2895.5685303240803
1994-09-01,3201.49925984932
1994-10-01,3103.0628032793898
1994-11-01,2769.26644494871
1994-12-01,3110.1320420480297
1995-01-01,2717.23701092513
1995-02-01,2675.37286896793
1995-03-01,2507.92799041735
1995-04-01,2378.58304727772
1995-05-01,2572.34881264701
1995-06-01,2622.8468394637603
1995-07-01,2912.8830109098803
1995-08-01,3443.06472632275
1995-09-01,2588.40071369028
1995-10-01,2848.19568147232
1995-11-01,2769.74420738062
1995-12-01,2557.80345694425
1996-01-01,2776.6072356071504
1996-02-01,2319.1963931644
1996-03-01,2856.4066573713203
1996-04-01,3076.2816604289196
1996-05-01,2716.28811611692
1996-06-01,2520.04903291059
1996-07-01,4840.28142779737
1996-08-01,2689.4503027508604
1996-09-01,2425.50985335705
1996-10-01,2775.25672453728
1996-11-01,2506.83312227899
1996-12-01,2221.42133765257
1997-01-01,2370.4510525089104
1997-02-01,2464.70405740583
1997-03-01,2379.0039409331
1997-04-01,2600.0450765239
1997-05-01,2550.6409400352104
1997-06-01,2438.5679047057897
1997-07-01,2625.9287525401396
1997-08-01,2097.45020568422
1997-09-01,2499.61090153131
1997-10-01,2202.36171117643
1997-11-01,2509.6490465924303
1997-12-01,3141.8043110647804
1998-01-01,2705.13655418018
1998-02-01,2802.5262245167305
1998-03-01,2613.31747962117
1998-04-01,2566.5495548715
1998-05-01,2546.3842030896303
1998-06-01,2826.18671789805
1998-07-01,2539.76550622645
1998-08-01,2605.8907399423897
1998-09-01,2760.0560185947497
1998-10-01,2865.48148566167
1998-11-01,2711.6584128078503
1998-12-01,3463.9611835846003
1999-01-01,2467.9694281563898
1999-02-01,2484.88684568561
1999-03-01,2976.3133140675895
1999-04-01,3014.6017038755103
1999-05-01,2688.57941659577
1999-06-01,2696.58323721142
1999-07-01,2554.0586549452696
1999-08-01,3124.15811754081
1999-09-01,2851.61950371662
1999-10-01,2594.46313646947
1999-11-01,2830.9842896953005
1999-12-01,2822.00021458046
2000-01-01,2888.2910245668395
2000-02-01,2899.30230135126
2000-03-01,3572.1665010109705
2000-04-01,2429.52395314473
2000-05-01,2661.5078221393696
2000-06-01,2701.6829633562197
2000-07-01,2405.56927913109
2000-08-01,2704.9456514579997
2000-09-01,2537.8174480646803
2000-10-01,3149.01017717355
2000-11-01,2719.738049961
2000-12-01,1944.7114475393103
2001-01-01,2737.3518632041
2001-02-01,2873.92336036125
2001-03-01,2858.51080294377
2001-04-01,2698.60696696888
2001-05-01,2948.24525710287
2001-06-01,2733.42225865129
2001-07-01,3195.6391231863695
2001-08-01,2954.6611931185903
2001-09-01,3260.23169567133
2001-10-01,2752.2970205837105
2001-11-01,2920.9084291122
2001-12-01,2270.8646876764
2002-01-01,2885.05192175091
2002-02-01,3207.44847774226
2002-03-01,2704.1064943890697
2002-04-01,3128.82885793749
2002-05-01,3311.4105450563106
2002-06-01,3196.79139562892
2002-07-01,3490.96875061526
2002-08-01,3164.25316388078
2002-09-01,2964.96246492414
2002-10-01,3411.98600909297
2002-11-01,2574.6182591563897
2002-12-01,4031.81675190955
2003-01-01,3663.56743621019
