DATE,MOBPPRIVSA
1988-01-01,1607.54481258589
1988-02-01,2033.31366864495
1988-03-01,2041.4510054711398
1988-04-01,2418.57658619851
1988-05-01,2158.26169165052
1988-06-01,2370.14637599493
1988-07-01,1585.33121915984
1988-08-01,1892.7823606917898
1988-09-01,2442.2552548602803
1988-10-01,1941.56823704932
1988-11-01,1814.8103415203302
1988-12-01,3353.4710813802303
1989-01-01,1696.11467117701
1989-02-01,1321.21503345217
1989-03-01,1945.52086980892
1989-04-01,1558.65234728903
1989-05-01,1535.8594921189901
1989-06-01,1660.67553116375
1989-07-01,1436.60965978044
1989-08-01,1738.00909441201
1989-09-01,1552.8053312797501
1989-10-01,1708.4951565210501
1989-11-01,2386.34483144909
1989-12-01,1337.6383123507198
1990-01-01,1949.09340740177
1990-02-01,1768.83384574936
1990-03-01,1329.9501122761098
1990-04-01,1390.95462794244
1990-05-01,1446.5696790392801
1990-06-01,1281.53987537272
1990-07-01,1638.5577734371
1990-08-01,1372.48063068277
1990-09-01,1251.51828023384
1990-10-01,1123.32050659645
1990-11-01,1090.16187227263
1990-12-01,917.229641914487
1991-01-01,792.7911739833099
1991-02-01,1579.1438199408599
1991-03-01,1218.15851705181
1991-04-01,1507.13421876581
1991-05-01,1490.6597955561301
1991-06-01,1360.8158973527302
1991-07-01,1632.3937733269101
1991-08-01,1467.2406359342
1991-09-01,1315.7213689682
1991-10-01,1718.96068593013
1991-11-01,1419.6380309195001
1991-12-01,2291.68451998432
1992-01-01,2023.02896618246
1992-02-01,1871.0645722467102
1992-03-01,1759.80916803823
1992-04-01,1717.91291730026
1992-05-01,1801.48568439008
1992-06-01,1852.73229944333
1992-07-01,1761.18931601208
1992-08-01,1816.7378498020498
1992-09-01,1776.1850067096802
1992-10-01,1810.41921150666
1992-11-01,1773.52598975123
1992-12-01,2012.47519576046
1993-01-01,1839.9986789880602
1993-02-01,1613.2202856149802
1993-03-01,1746.00730569836
1993-04-01,1706.6582919391901
1993-05-01,1719.6368007927301
1993-06-01,1821.41609877267
1993-07-01,1669.1288090455498
1993-08-01,1950.10275973119
1993-09-01,1953.3784435628102
1993-10-01,2012.4616041060501
1993-11-01,2697.83045710935
1993-12-01,2251.5667076702102
1994-01-01,1781.6835746614397
1994-02-01,2212.5637591956797
1994-03-01,2206.92179390704
1994-04-01,1856.2906364168
1994-05-01,2127.08823433943
1994-06-01,2269.2426885529603
1994-07-01,2020.2271793045397
1994-08-01,2133.87254067241
1994-09-01,2141.4890285287197
1994-10-01,1989.8683559156698
1994-11-01,2182.39198861663
1994-12-01,1875.0291611121104
1995-01-01,1632.83660135742
1995-02-01,1650.2037075227697
1995-03-01,1934.8116377091396
1995-04-01,1592.4854365996698
1995-05-01,1729.0985796831
1995-06-01,1972.16948503094
1995-07-01,1817.85758097232
1995-08-01,2309.25003034698
1995-09-01,1865.6495020529699
1995-10-01,2129.6724724935198
1995-11-01,2001.08846546772
1995-12-01,1787.3085694947601
1996-01-01,2109.7071391988898
1996-02-01,2646.7217911688103
1996-03-01,2052.5693917601698
1996-04-01,2468.9757066931697
1996-05-01,1950.06109662555
1996-06-01,1863.1762440271698
1996-07-01,2011.5148618889002
1996-08-01,1990.4858411463501
1996-09-01,2134.0493433225
1996-10-01,2046.9475046156301
1996-11-01,1772.1613694289101
1996-12-01,1906.83215788285
1997-01-01,1817.3167017586397
1997-02-01,1864.9230626521103
1997-03-01,1831.8998631779102
1997-04-01,2347.47963442155
1997-05-01,2043.65077311371
1997-06-01,1849.9388342391896
1997-07-01,2300.82277662353
1997-08-01,1895.65902584693
1997-09-01,2135.99453335921
1997-10-01,1908.4312405325602
1997-11-01,2067.8727065224803
1997-12-01,1742.54342731441
1998-01-01,1799.0318659420002
1998-02-01,2155.0507142356896
1998-03-01,1903.3784990102104
1998-04-01,1961.7901994500198
1998-05-01,2328.9307215158397
1998-06-01,2034.04796420063
1998-07-01,2102.95358677691
1998-08-01,1811.26124358698
1998-09-01,2278.7976995188
1998-10-01,1926.2936573692002
1998-11-01,2071.60565958659
1998-12-01,2720.57871695327
1999-01-01,1470.3207624895801
1999-02-01,2198.6987538145104
1999-03-01,2423.37012844649
1999-04-01,1878.31078858673
1999-05-01,1950.83139429073
1999-06-01,2249.4300354515804
1999-07-01,1930.2660986984802
1999-08-01,1939.4502122294602
1999-09-01,2181.3650512120003
1999-10-01,2158.5071137926698
1999-11-01,2402.53522480797
1999-12-01,2567.0616745306697
2000-01-01,2186.18142528919
2000-02-01,2120.08607700374
2000-03-01,2137.89476764738
2000-04-01,1998.5760323870898
2000-05-01,1965.3252785906
2000-06-01,1916.4494330785299
2000-07-01,1493.5866510560097
2000-08-01,1784.2561657755398
2000-09-01,1492.3957680837302
2000-10-01,2430.73567794099
2000-11-01,1744.5727758147198
2000-12-01,1285.35058029591
2001-01-01,2084.2878958058104
2001-02-01,1704.79435698818
2001-03-01,2243.35455389743
2001-04-01,2112.71699839949
2001-05-01,1995.39420723488
2001-06-01,1733.57551593043
2001-07-01,2080.53656032845
2001-08-01,2184.7897218273997
2001-09-01,1653.36864874542
2001-10-01,1978.8530780405802
2001-11-01,2144.71236822888
2001-12-01,1832.5819602401602
2002-01-01,2192.5770851083603
2002-02-01,2204.87734964273
2002-03-01,1730.84777494962
2002-04-01,1886.25093943988
2002-05-01,2236.87903301433
2002-06-01,1869.8240226893201
2002-07-01,2317.0969025129
2002-08-01,3122.52652914479
2002-09-01,3215.1210372215996
2002-10-01,2172.89225514268
2002-11-01,2049.09939674609
2002-12-01,3086.1125853107105
