DATE,UTBPPRIVSA
1988-01-01,372.389378744569
1988-02-01,658.9616859741919
1988-03-01,459.551845831317
1988-04-01,507.905646931492
1988-05-01,476.126391859637
1988-06-01,551.500114445919
1988-07-01,514.6309740318251
1988-08-01,483.56732852979104
1988-09-01,491.103222495092
1988-10-01,511.91859297789
1988-11-01,515.374998897958
1988-12-01,518.18143531663
1989-01-01,478.20435002393094
1989-02-01,463.18144546347605
1989-03-01,505.952792421846
1989-04-01,463.609010832488
1989-05-01,475.529158094669
1989-06-01,473.385643995543
1989-07-01,487.18417794223603
1989-08-01,536.450513667738
1989-09-01,614.591075857137
1989-10-01,517.140407426638
1989-11-01,517.759327274128
1989-12-01,487.48223434737605
1990-01-01,516.272943582854
1990-02-01,582.622371998669
1990-03-01,642.375291563053
1990-04-01,549.576808192742
1990-05-01,658.0165445598079
1990-06-01,562.84131408587
1990-07-01,576.957062808022
1990-08-01,667.305444355619
1990-09-01,552.365159896002
1990-10-01,638.213960157561
1990-11-01,587.880987028344
1990-12-01,577.393687430476
1991-01-01,630.199636258948
1991-02-01,637.660446717477
1991-03-01,622.0100655414041
1991-04-01,836.941890108596
1991-05-01,856.798448060046
1991-06-01,579.346230548538
1991-07-01,759.1280008697321
1991-08-01,722.330507932519
1991-09-01,792.693590611987
1991-10-01,829.747347645721
1991-11-01,727.8302941320379
1991-12-01,952.10184388074
1992-01-01,1051.89809098754
1992-02-01,1053.74729584627
1992-03-01,1050.65002936729
1992-04-01,1131.89504881106
1992-05-01,1021.60330233533
1992-06-01,1198.5192045767901
1992-07-01,1449.2342056696698
1992-08-01,1189.61127167119
1992-09-01,1251.79866582627
1992-10-01,1266.94336486495
1992-11-01,1172.8577123462899
1992-12-01,1265.5840152979301
1993-01-01,914.5051577841341
1993-02-01,1419.8339388701502
1993-03-01,1372.2904883306699
1993-04-01,1498.0459155799401
1993-05-01,1380.46295910989
1993-06-01,1819.18056415962
1993-07-01,1753.4502173511098
1993-08-01,1755.5748812952302
1993-09-01,2114.31741009157
1993-10-01,1684.1979109813901
1993-11-01,2206.9742279394895
1993-12-01,1905.7950515529
1994-01-01,1853.53443210208
1994-02-01,1648.0376732672698
1994-03-01,1915.14981386483
1994-04-01,1603.9257637003197
1994-05-01,1677.7026937403698
1994-06-01,1488.38604864356
1994-07-01,1215.36266406987
1994-08-01,1842.05069486595
1994-09-01,1328.2958437293
1994-10-01,1541.22612950632
1994-11-01,1126.0059154113999
1994-12-01,1794.34375207838
1995-01-01,1617.94166478646
1995-02-01,2105.7561152030703
1995-03-01,1564.01761555227
1995-04-01,1324.35708662615
1995-05-01,1649.92160238061
1995-06-01,1709.6423222436702
1995-07-01,1900.39661885943
1995-08-01,1811.9998223087
1995-09-01,1677.07607735157
1995-10-01,1787.37041972042
1995-11-01,2094.7355516921302
1995-12-01,1690.57399051784
1996-01-01,2068.70911045797
1996-02-01,1792.68542742091
1996-03-01,1759.97961578135
1996-04-01,1995.41909264258
1996-05-01,2118.08838587112
1996-06-01,1871.3139320000303
1996-07-01,1795.9374215467103
1996-08-01,1829.11877839833
1996-09-01,1762.23098222542
1996-10-01,1481.75021621551
1996-11-01,2025.50986141234
1996-12-01,1617.0821673336402
1997-01-01,1360.4823640142802
1997-02-01,1646.1348267003698
1997-03-01,1399.8964431063198
1997-04-01,1642.65223932264
1997-05-01,1563.69279382948
1997-06-01,1594.7906938762699
1997-07-01,1610.21083398464
1997-08-01,1411.66245157904
1997-09-01,2015.1437725722799
1997-10-01,1959.7252144010502
1997-11-01,1837.7698805155499
1997-12-01,1579.2237053815197
1998-01-01,1777.20968865594
1998-02-01,1300.8204799473199
1998-03-01,1762.82591959
1998-04-01,1703.50001199054
1998-05-01,1518.6315543050198
1998-06-01,1742.4453453870901
1998-07-01,1516.66812854427
1998-08-01,1563.07309290013
1998-09-01,1463.42706299733
1998-10-01,1726.25366117311
1998-11-01,1349.19743629691
1998-12-01,1687.34622066499
1999-01-01,1531.1630408802898
1999-02-01,1395.5907799927302
1999-03-01,1851.5061989951103
1999-04-01,1429.49294808178
1999-05-01,1283.53400989022
1999-06-01,1334.5771768241802
1999-07-01,1457.0815771579098
1999-08-01,1415.32429073597
1999-09-01,1566.1109800710801
1999-10-01,1312.31669725321
1999-11-01,1401.74221007602
1999-12-01,2125.11706649298
2000-01-01,1407.30121457125
2000-02-01,1535.0205823540198
2000-03-01,1417.34924897441
2000-04-01,1398.78409746133
2000-05-01,1459.27420103477
2000-06-01,1328.99798366771
2000-07-01,1301.21644553688
2000-08-01,1533.46134427234
2000-09-01,1225.77255436371
2000-10-01,1363.50488138699
2000-11-01,1324.02870637209
2000-12-01,1329.99180720659
2001-01-01,1362.48230602688
2001-02-01,1726.92529534839
2001-03-01,1597.9963921402698
2001-04-01,1346.32267351631
2001-05-01,1496.83852625137
2001-06-01,1525.17345576746
2001-07-01,1513.6194692150302
2001-08-01,1428.35870444088
2001-09-01,1298.71858485131
2001-10-01,1469.8710319398801
2001-11-01,1528.28246775259
2001-12-01,1400.69679001366
2002-01-01,1573.51775586185
2002-02-01,1513.03956295034
2002-03-01,1460.65790336599
2002-04-01,1508.31628894607
2002-05-01,1735.50768224173
2002-06-01,1624.1701890356
2002-07-01,1683.85470197221
2002-08-01,1577.99494647797
2002-09-01,1583.1801899921802
2002-10-01,1607.19399928883
2002-11-01,1499.85430681832
2002-12-01,1788.4658139432602
2003-01-01,1640.40671177267
2003-02-01,2383.5481539810103
2003-03-01,1528.6963727882
2003-04-01,2212.1668327046104
2003-05-01,1620.5115357443499
