DATE,AZBPPRIVSA
1988-01-01,2198.85138806945
1988-02-01,2579.28973865891
1988-03-01,3243.16987680438
1988-04-01,3289.59599332497
1988-05-01,2723.9371771796104
1988-06-01,3503.58811932752
1988-07-01,2119.70154862162
1988-08-01,2729.40059388332
1988-09-01,2348.79822092406
1988-10-01,2482.17156967246
1988-11-01,2514.1918296043104
1988-12-01,2374.2517947687397
1989-01-01,2095.6912534752
1989-02-01,2127.4444321153
1989-03-01,2088.1617495206697
1989-04-01,1787.3560944862
1989-05-01,2009.32567169647
1989-06-01,1941.0263412506
1989-07-01,1777.67560359518
1989-08-01,2010.0159678609198
1989-09-01,2041.5224524722698
1989-10-01,1875.4795654298498
1989-11-01,1794.26997075124
1989-12-01,1783.28220309612
1990-01-01,3409.87094525547
1990-02-01,1996.73470234702
1990-03-01,1753.04873342988
1990-04-01,1810.7424558622502
1990-05-01,1922.07560453138
1990-06-01,1920.6859815015803
1990-07-01,1955.41477184147
1990-08-01,1832.07367748458
1990-09-01,1594.75938041356
1990-10-01,1653.15960106948
1990-11-01,2034.58116712124
1990-12-01,1277.31432879244
1991-01-01,1675.4936696935401
1991-02-01,1717.07971386054
1991-03-01,1683.8103139186098
1991-04-01,1798.7205127233603
1991-05-01,1827.0210155884301
1991-06-01,1899.5505215992102
1991-07-01,1979.96585325965
1991-08-01,1947.6962151786802
1991-09-01,2537.33408258881
1991-10-01,2240.03839688003
1991-11-01,2300.2403992773397
1991-12-01,1825.4053526663602
1992-01-01,2530.45365001498
1992-02-01,2398.8841605071398
1992-03-01,2501.90313701427
1992-04-01,2646.64575050229
1992-05-01,2060.59181655952
1992-06-01,2475.49166015194
1992-07-01,2835.7908748528002
1992-08-01,2659.10614466261
1992-09-01,2871.99716414608
1992-10-01,2783.93459123357
1992-11-01,2961.5213007070097
1992-12-01,2735.4532539272
1993-01-01,2522.6197201966897
1993-02-01,2668.6547461756304
1993-03-01,2853.18458957667
1993-04-01,3166.8345916253497
1993-05-01,2426.3883831851103
1993-06-01,3639.6373725797603
1993-07-01,2867.24892067667
1993-08-01,3105.6177278722103
1993-09-01,3456.1990608613696
1993-10-01,3579.28029788764
1993-11-01,3898.1504976369397
1993-12-01,4430.5040545827505
1994-01-01,4711.33322376165
1994-02-01,4063.0141552882897
1994-03-01,4284.9700770808295
1994-04-01,3917.5618189036
1994-05-01,4335.6555150785
1994-06-01,4392.49312417103
1994-07-01,4524.33147762697
1994-08-01,4528.93532147453
1994-09-01,4287.73868707947
1994-10-01,4490.53520968892
1994-11-01,3831.8499874274394
1994-12-01,3846.56101041758
1995-01-01,3678.32596864265
1995-02-01,4102.76968759027
1995-03-01,4473.98917491735
1995-04-01,4034.3151735173706
1995-05-01,4649.61458776864
1995-06-01,4646.976696708621
1995-07-01,4068.8637447798706
1995-08-01,4843.18331635849
1995-09-01,4490.43295936233
1995-10-01,3810.8829928050104
1995-11-01,5123.67030605222
1995-12-01,4834.67032383427
1996-01-01,5290.585531603339
1996-02-01,5632.063074328771
1996-03-01,4911.4851919418
1996-04-01,4839.17711403199
1996-05-01,4352.68591668008
1996-06-01,4294.62195549002
1996-07-01,4569.05993326253
1996-08-01,3497.8857517682
1996-09-01,4449.54550959097
1996-10-01,4437.39675246528
1996-11-01,3547.2000097575105
1996-12-01,4305.04046518949
1997-01-01,6020.12409722523
1997-02-01,4157.4867533610795
1997-03-01,3750.87823065896
1997-04-01,4322.578051437729
1997-05-01,4246.81943585863
1997-06-01,3799.09343985204
1997-07-01,4666.78233781499
1997-08-01,4972.345442401
1997-09-01,5262.39273293428
1997-10-01,5515.36183652526
1997-11-01,4891.11232772086
1997-12-01,6157.31454096136
1998-01-01,4488.64880227324
1998-02-01,4986.058701897129
1998-03-01,4761.23300450737
1998-04-01,5296.878696446
1998-05-01,4036.48245187124
1998-06-01,5725.493443870289
1998-07-01,5768.46427890585
1998-08-01,5293.08163549301
1998-09-01,4887.65926180782
1998-10-01,4685.38596820711
1998-11-01,7291.386902912371
1998-12-01,5425.87506965642
1999-01-01,6352.81277927328
1999-02-01,4997.586932130929
1999-03-01,5625.37144562347
1999-04-01,5488.82616168037
1999-05-01,5629.48132840822
1999-06-01,6316.698562821701
1999-07-01,4927.51813347344
1999-08-01,4745.6650187655605
1999-09-01,4930.875258954679
1999-10-01,4494.6116942459
1999-11-01,5473.4997027173795
1999-12-01,5374.23006882664
2000-01-01,4935.27336000465
2000-02-01,5606.080953651999
2000-03-01,5936.264201427789
2000-04-01,4946.88335911139
2000-05-01,5386.62649810725
2000-06-01,4575.2214026126
2000-07-01,4171.57632504204
2000-08-01,5142.40530467267
2000-09-01,5047.37401336533
2000-10-01,4989.50307159204
2000-11-01,4993.781628603901
2000-12-01,3835.0733323497902
2001-01-01,4703.95170978968
2001-02-01,5749.666247015861
2001-03-01,5218.37465735572
2001-04-01,4866.02701912005
2001-05-01,4741.75921443041
2001-06-01,4682.974715537629
2001-07-01,4964.520863690879
2001-08-01,4946.24264244954
2001-09-01,5009.11847932491
2001-10-01,4218.169142737971
2001-11-01,4069.49973960913
2001-12-01,4139.679520029829
2002-01-01,4840.32032271322
2002-02-01,4747.6656117434995
2002-03-01,4471.44236842765
2002-04-01,5242.91455351465
2002-05-01,5358.1446451573
2002-06-01,5529.82328314275
2002-07-01,5745.69229941326
2002-08-01,5385.790385552729
2002-09-01,5099.67611489757
2002-10-01,6109.94850303255
2002-11-01,5779.342643156
2002-12-01,5561.325447280799
2003-01-01,5338.57346202215
2003-02-01,5406.872237332101
2003-03-01,4896.29213822587
