DATE,SCBPPRIVSA
1988-01-01,1146.90870783841
1988-02-01,1867.0971078635198
1988-03-01,1693.11344392802
1988-04-01,1714.74000359924
1988-05-01,1599.7250415967599
1988-06-01,1772.3784423607397
1988-07-01,1930.7070786636602
1988-08-01,1885.41002380577
1988-09-01,1708.07589632798
1988-10-01,1983.9153590752699
1988-11-01,2435.00925066334
1988-12-01,2239.12899232751
1989-01-01,2058.57802836068
1989-02-01,2023.6563621353698
1989-03-01,1538.76099967645
1989-04-01,1505.98924758525
1989-05-01,1741.93396694397
1989-06-01,1270.8150104582598
1989-07-01,1526.5528224634197
1989-08-01,1643.4483245607998
1989-09-01,1357.2736570317
1989-10-01,1513.55958736042
1989-11-01,1446.61833397746
1989-12-01,951.2324771129789
1990-01-01,2352.29953080441
1990-02-01,1423.6524126613501
1990-03-01,1578.0529869783402
1990-04-01,1498.56057535846
1990-05-01,1709.31969953146
1990-06-01,1676.43347193728
1990-07-01,1481.99648682793
1990-08-01,1495.6769334652802
1990-09-01,1368.40195663091
1990-10-01,1169.45039338484
1990-11-01,1189.5002076832302
1990-12-01,1378.9419968345499
1991-01-01,1169.1363966174001
1991-02-01,1246.94669415824
1991-03-01,1499.95888296871
1991-04-01,1605.22163509831
1991-05-01,1397.74695258428
1991-06-01,1822.5253081338897
1991-07-01,1381.8936839699
1991-08-01,1334.9145893869
1991-09-01,1641.4695019426501
1991-10-01,1404.7450308233301
1991-11-01,1740.1254510052802
1991-12-01,1085.09405518115
1992-01-01,1494.6836369199
1992-02-01,1506.3403746198599
1992-03-01,1543.12526698944
1992-04-01,1555.9453160194
1992-05-01,1486.28450678841
1992-06-01,1488.3203143456699
1992-07-01,1501.7566707801998
1992-08-01,1416.41439590771
1992-09-01,1879.55763682535
1992-10-01,1707.48899852757
1992-11-01,1454.27427519146
1992-12-01,1425.03794746521
1993-01-01,1479.83930187995
1993-02-01,1709.46484402647
1993-03-01,1399.94779665488
1993-04-01,1490.4074326433
1993-05-01,1324.92920245884
1993-06-01,1497.9099976900598
1993-07-01,1520.90097397825
1993-08-01,1752.8810869626002
1993-09-01,1709.6643823465301
1993-10-01,1591.09651558354
1993-11-01,1860.7483592459198
1993-12-01,1676.15150717372
1994-01-01,2080.22629501037
1994-02-01,1839.89654841908
1994-03-01,2093.22723293176
1994-04-01,2145.6458979328304
1994-05-01,2095.7590056272697
1994-06-01,2149.9322812448104
1994-07-01,1792.55214693922
1994-08-01,1870.87417804957
1994-09-01,1952.7847764556698
1994-10-01,2117.57842565267
1994-11-01,2092.95852403183
1994-12-01,2247.41967713785
1995-01-01,1894.1263797945603
1995-02-01,1724.33747876796
1995-03-01,2208.12629159893
1995-04-01,1806.99434555168
1995-05-01,2111.2722761978102
1995-06-01,1985.3305492201398
1995-07-01,2350.8532535692802
1995-08-01,1957.8364726022
1995-09-01,1812.99449110738
1995-10-01,2356.9025839983
1995-11-01,2137.41596752126
1995-12-01,2087.47616247686
1996-01-01,2400.8604376093103
1996-02-01,2564.83956969915
1996-03-01,2094.07299211515
1996-04-01,2242.6242741973497
1996-05-01,2546.0303174221103
1996-06-01,2167.3764021285897
1996-07-01,2590.7064904044896
1996-08-01,2377.3012162595
1996-09-01,1894.17651606538
1996-10-01,2533.31092922943
1996-11-01,2890.8343690905103
1996-12-01,2696.2428190018104
1997-01-01,2465.72422047612
1997-02-01,2118.42651967819
1997-03-01,2380.6821384877
1997-04-01,2573.6096772472
1997-05-01,2509.1601990103895
1997-06-01,2262.4352296481698
1997-07-01,2678.85762075148
1997-08-01,2752.3163599240697
1997-09-01,2809.12150115681
1997-10-01,2628.78260052248
1997-11-01,2384.4586652689104
1997-12-01,2374.1381362007396
1998-01-01,2096.39222072901
1998-02-01,2400.68012295679
1998-03-01,2457.76239754263
1998-04-01,2522.39800155818
1998-05-01,2405.22277790428
1998-06-01,2648.5180675029897
1998-07-01,3385.77262643894
1998-08-01,2645.7870889079
1998-09-01,2750.55979490518
1998-10-01,2908.43680755855
1998-11-01,2588.2310092406897
1998-12-01,3247.1814513739196
1999-01-01,3223.16048958266
1999-02-01,3329.71130366932
1999-03-01,2987.4043122505395
1999-04-01,2987.71956191314
1999-05-01,2611.61827905308
1999-06-01,3294.8713600439696
1999-07-01,2911.9034978186305
1999-08-01,3157.37494785843
1999-09-01,2839.4592407733503
1999-10-01,2712.4502898167702
1999-11-01,2941.3578842396696
1999-12-01,2184.0063392057896
2000-01-01,3544.4773401609496
2000-02-01,2707.4909981682604
2000-03-01,2868.3908471549203
2000-04-01,2465.2705786780202
2000-05-01,2631.94257247307
2000-06-01,2756.38151896693
2000-07-01,2317.7909186537
2000-08-01,2525.4626045332197
2000-09-01,3081.1522414252504
2000-10-01,2419.48002231544
2000-11-01,2480.87146153304
2000-12-01,2506.7957773525304
2001-01-01,2503.6220846996102
2001-02-01,2385.69602519943
2001-03-01,2629.95385610797
2001-04-01,2506.04049115429
2001-05-01,2697.51589336777
2001-06-01,2420.0279178874302
2001-07-01,2508.08799184912
2001-08-01,2996.9070699202503
2001-09-01,2368.5010258727802
2001-10-01,2470.76408961267
2001-11-01,3208.70174996745
2001-12-01,2198.9357608974697
2002-01-01,2601.39737730842
2002-02-01,2863.6241367891303
2002-03-01,2532.8993360983
2002-04-01,3011.6289492444203
2002-05-01,2708.78991502247
2002-06-01,2670.39967070518
2002-07-01,2626.0098314520897
2002-08-01,2663.2198093997304
2002-09-01,2599.4283774435003
2002-10-01,2693.06983818041
2002-11-01,2401.92731915668
2002-12-01,2510.2890396671
