DATE,INBPPRIVSA
1988-01-01,1505.5857632662198
1988-02-01,1669.42510650105
1988-03-01,2489.73968537318
1988-04-01,2095.84222296219
1988-05-01,1908.51525076425
1988-06-01,2135.12679828203
1988-07-01,1919.9701195271302
1988-08-01,1895.3553786278198
1988-09-01,2231.1131898497
1988-10-01,2051.6428990661398
1988-11-01,1912.9298719895398
1988-12-01,2977.7459154345
1989-01-01,2367.3793732097197
1989-02-01,2361.82738340192
1989-03-01,2430.12829584049
1989-04-01,1735.23663662323
1989-05-01,2036.8938609439701
1989-06-01,1973.5506220256698
1989-07-01,2120.10634086695
1989-08-01,2323.80093376247
1989-09-01,2540.35132933012
1989-10-01,2558.22148469049
1989-11-01,2231.1531806124103
1989-12-01,2191.24923372292
1990-01-01,4049.55154009984
1990-02-01,2108.727109648
1990-03-01,1898.1292744623001
1990-04-01,2215.4454176789104
1990-05-01,2142.0460515368104
1990-06-01,2093.82363340993
1990-07-01,2336.1944418820003
1990-08-01,2332.32062387707
1990-09-01,1714.74086606988
1990-10-01,1796.4026536759302
1990-11-01,1924.3937628801502
1990-12-01,1719.39271342605
1991-01-01,1457.2315719231399
1991-02-01,1899.61723087
1991-03-01,1740.68691610673
1991-04-01,2062.01291569745
1991-05-01,2229.3766385885
1991-06-01,1957.2668305670602
1991-07-01,3354.52390914128
1991-08-01,1980.8588527180398
1991-09-01,1995.7624447992498
1991-10-01,2058.71427930405
1991-11-01,1871.02570054392
1991-12-01,2262.5046324702203
1992-01-01,2447.0684539732397
1992-02-01,2978.7491798489195
1992-03-01,2590.41782779367
1992-04-01,2417.7860975192702
1992-05-01,2278.45341792636
1992-06-01,2421.91166804417
1992-07-01,2374.30040319187
1992-08-01,2330.35717633845
1992-09-01,3455.25531064848
1992-10-01,2653.84935614579
1992-11-01,2433.33424047032
1992-12-01,2481.49414363653
1993-01-01,2543.50638116617
1993-02-01,2509.8259338559196
1993-03-01,2419.84968075791
1993-04-01,2384.7679134719397
1993-05-01,2508.43902615842
1993-06-01,2908.3050163623902
1993-07-01,2520.30797412215
1993-08-01,2698.79363771256
1993-09-01,2588.90994131824
1993-10-01,2637.2503435658105
1993-11-01,3024.59233794418
1993-12-01,2844.2567716938397
1994-01-01,2989.79899407328
1994-02-01,2715.50542814588
1994-03-01,3159.83469349299
1994-04-01,2744.46627002139
1994-05-01,2815.79171094559
1994-06-01,3108.1025811600102
1994-07-01,2549.6551888133104
1994-08-01,2870.50505467409
1994-09-01,2944.3022157337105
1994-10-01,2719.60819585552
1994-11-01,2800.8776426690697
1994-12-01,2662.64211736429
1995-01-01,2328.72131672677
1995-02-01,2463.48921582727
1995-03-01,2871.5496183388395
1995-04-01,2404.8815345634
1995-05-01,3002.25613397683
1995-06-01,2876.02232029576
1995-07-01,3321.67475959609
1995-08-01,3343.24598591204
1995-09-01,3108.9601884154104
1995-10-01,2912.0349685999395
1995-11-01,3386.7896923965004
1995-12-01,2950.1591346994
1996-01-01,3388.21848955752
1996-02-01,3120.94184245356
1996-03-01,2903.50103387402
1996-04-01,3369.2581195894395
1996-05-01,3268.3655374078603
1996-06-01,2808.20334859526
1996-07-01,3854.2084093856897
1996-08-01,3052.35470565159
1996-09-01,3184.91599081193
1996-10-01,3520.1299775140997
1996-11-01,3384.49330997828
1996-12-01,3496.6797524651897
1997-01-01,3036.326147797
1997-02-01,3582.29358914939
1997-03-01,2687.86906280989
1997-04-01,3394.26484473003
1997-05-01,2804.31977494125
1997-06-01,2667.75042248541
1997-07-01,2989.97525022033
1997-08-01,3120.59136219407
1997-09-01,3176.40237620919
1997-10-01,2981.16963007559
1997-11-01,2862.34312320117
1997-12-01,3487.95344842927
1998-01-01,3074.46213062315
1998-02-01,3384.4643256014697
1998-03-01,3339.435918026
1998-04-01,3208.73500823862
1998-05-01,3274.09637110078
1998-06-01,3345.7147159387605
1998-07-01,2998.08533232867
1998-08-01,3161.31332465104
1998-09-01,3289.00659743678
1998-10-01,3456.1748442694798
1998-11-01,3340.2921776772496
1998-12-01,5150.72475687656
1999-01-01,2497.47512270712
1999-02-01,3450.5106106397902
1999-03-01,3417.4030704407396
1999-04-01,3325.2060299744103
1999-05-01,3390.26605709652
1999-06-01,3680.5640089553294
1999-07-01,3680.7550570124395
1999-08-01,3215.1959327388
1999-09-01,3365.64656520989
1999-10-01,3390.84438885289
1999-11-01,3653.98071788349
1999-12-01,3232.31726556096
2000-01-01,3261.85092753657
2000-02-01,3070.5215337155605
2000-03-01,3684.7592303596793
2000-04-01,3002.9094076878496
2000-05-01,3414.0689854835305
2000-06-01,3003.7239130506396
2000-07-01,2743.31899367374
2000-08-01,3807.0979613451705
2000-09-01,3431.40052246426
2000-10-01,2934.5921145944703
2000-11-01,2924.74181794159
2000-12-01,2147.36808411999
2001-01-01,3373.5365851809997
2001-02-01,3512.9701651938
2001-03-01,3347.23285661258
2001-04-01,3133.34006507216
2001-05-01,3411.78963772998
2001-06-01,3471.7925061646397
2001-07-01,3023.54393052186
2001-08-01,2996.5616585989897
2001-09-01,2788.81184124826
2001-10-01,3227.39128742445
2001-11-01,2969.2992535033
2001-12-01,2996.64574227902
2002-01-01,3925.5451003045
2002-02-01,3181.1133081271
2002-03-01,2976.9276483785197
2002-04-01,3429.7486644996397
2002-05-01,3242.46849985219
2002-06-01,2922.7371641055297
2002-07-01,3674.45670268615
2002-08-01,3301.5138670676
2002-09-01,2997.3710218011497
2002-10-01,3374.3464297994606
2002-11-01,3468.5239672531898
2002-12-01,4031.7746827137203
2003-01-01,2884.7271623634997
