DATE,DCBPPRIVSA
2012-02-01,61.0
2012-03-01,165.0
2012-04-01,35.0
2012-05-01,612.0
2012-06-01,349.0
2012-07-01,399.0
2012-08-01,512.0
2012-09-01,391.0
2012-10-01,404.0
2012-11-01,626.0
2012-12-01,532.0
2013-01-01,55.0
2013-02-01,236.0
2013-03-01,44.0
2013-04-01,53.0
2013-05-01,680.0
2013-06-01,142.0
2013-07-01,556.0
2013-08-01,48.0
2013-09-01,478.0
2013-10-01,907.0
2013-11-01,22.0
2013-12-01,34.0
2014-01-01,300.0
2014-02-01,849.0
2014-03-01,68.0
2014-04-01,95.0
2014-05-01,41.0
2014-06-01,55.0
2014-07-01,922.0
2014-08-01,779.0
2014-09-01,394.0
2014-10-01,506.0
2014-11-01,51.0
2014-12-01,129.0
2015-01-01,22.0
2015-02-01,344.0
2015-03-01,402.0
2015-04-01,244.0
2015-05-01,649.0
2015-06-01,789.0
2015-07-01,317.0
2015-08-01,278.0
2015-09-01,403.0
2015-10-01,656.0
2015-11-01,781.0
2015-12-01,71.0
2016-01-01,50.0
2016-02-01,30.0
2016-03-01,617.0
2016-04-01,25.0
2016-05-01,363.0
2016-06-01,927.0
2016-07-01,67.0
2016-08-01,444.0
2016-09-01,1098.0
2016-10-01,679.0
2016-11-01,21.0
2016-12-01,369.0
2017-01-01,155.0
2017-02-01,245.0
2017-03-01,277.0
2017-04-01,374.0
2017-05-01,318.0
2017-06-01,389.0
2017-07-01,455.0
2017-08-01,437.0
2017-09-01,329.0
2017-10-01,1395.0
2017-11-01,860.0
2017-12-01,92.0
2018-01-01,87.0
2018-02-01,275.0
2018-03-01,359.0
2018-04-01,63.0
2018-05-01,112.0
2018-06-01,799.0
2018-07-01,30.0
2018-08-01,340.0
2018-09-01,228.0
2018-10-01,1023.0
2018-11-01,662.0
2018-12-01,637.0
2019-01-01,591.0
2019-02-01,954.0
2019-03-01,250.0
2019-04-01,473.0
2019-05-01,698.0
2019-06-01,130.0
2019-07-01,997.0
2019-08-01,384.0
2019-09-01,369.0
2019-10-01,773.0
2019-11-01,269.0
2019-12-01,57.0
2020-01-01,682.0
2020-02-01,336.0
2020-03-01,687.0
2020-04-01,256.0
2020-05-01,393.0
2020-06-01,1025.0
2020-07-01,414.0
2020-08-01,363.0
2020-09-01,363.0
2020-10-01,1001.0
2020-11-01,626.0
2020-12-01,1224.0
2021-01-01,313.0
2021-02-01,749.0
2021-03-01,589.0
2021-04-01,159.0
2021-05-01,403.0
2021-06-01,110.0
2021-07-01,279.0
2021-08-01,360.0
2021-09-01,314.0
2021-10-01,623.0
2021-11-01,498.0
2021-12-01,343.0
2022-01-01,14.0
2022-02-01,350.0
2022-03-01,777.0
2022-04-01,81.0
2022-05-01,540.0
2022-06-01,709.0
2022-07-01,254.0
2022-08-01,1555.0
2022-09-01,986.0
2022-10-01,451.0
2022-11-01,988.0
2022-12-01,1000.0
2023-01-01,800.0
2023-02-01,299.0
