DATE,OHBPPRIVSA
1988-01-01,2579.5828180509898
1988-02-01,3187.27199164062
1988-03-01,3778.7731518806395
1988-04-01,3737.2720296067796
1988-05-01,3777.37102402125
1988-06-01,4504.967313164911
1988-07-01,4047.85819826669
1988-08-01,3387.62492714782
1988-09-01,3554.11070424765
1988-10-01,3424.38757096547
1988-11-01,3573.4066341269704
1988-12-01,4102.56005830242
1989-01-01,3570.7206387632796
1989-02-01,3561.40082567128
1989-03-01,3406.77550139627
1989-04-01,3444.22759994358
1989-05-01,3497.25875196754
1989-06-01,3189.21844527735
1989-07-01,2999.1421216077
1989-08-01,3691.17311876552
1989-09-01,3509.69014883516
1989-10-01,3518.87826761617
1989-11-01,3425.16873802121
1989-12-01,2616.10155759616
1990-01-01,6628.73408206744
1990-02-01,3789.89634657108
1990-03-01,3448.5208907571196
1990-04-01,3516.9146433463106
1990-05-01,3113.8618505199397
1990-06-01,3130.21849090775
1990-07-01,3048.26226576655
1990-08-01,3089.1796308139
1990-09-01,2904.6566042292898
1990-10-01,2826.0934717638697
1990-11-01,2700.22038506265
1990-12-01,1963.06648852898
1991-01-01,3502.5156479927696
1991-02-01,2569.64831196183
1991-03-01,2715.2163303548
1991-04-01,2857.8484616672
1991-05-01,3119.33428773248
1991-06-01,3103.8524598961103
1991-07-01,3304.78565390904
1991-08-01,3067.63828744729
1991-09-01,3020.75241527526
1991-10-01,3465.5646451489397
1991-11-01,3203.15390020257
1991-12-01,3012.0581584898305
1992-01-01,3847.7078156102502
1992-02-01,4512.762258125779
1992-03-01,3619.82207158514
1992-04-01,3588.41080633084
1992-05-01,3570.586747695
1992-06-01,3340.90473345211
1992-07-01,3740.25432440701
1992-08-01,3782.1086351086296
1992-09-01,4618.2752471471
1992-10-01,3274.30916792401
1992-11-01,4013.04196332575
1992-12-01,4467.487622578789
1993-01-01,3706.7482543641295
1993-02-01,3825.9970045202704
1993-03-01,3486.23317508857
1993-04-01,3473.6048015192
1993-05-01,3471.59788127187
1993-06-01,3980.0718204975
1993-07-01,3707.2810917246297
1993-08-01,3871.4242957245797
1993-09-01,3989.12213702007
1993-10-01,3799.62127741659
1993-11-01,3828.37045260072
1993-12-01,4127.87763039395
1994-01-01,3639.18088377831
1994-02-01,3756.06928492425
1994-03-01,4153.55579169556
1994-04-01,3982.59109891005
1994-05-01,4123.1972792015795
1994-06-01,4374.354609656711
1994-07-01,4003.90710695373
1994-08-01,3567.5238581688104
1994-09-01,4146.38127004144
1994-10-01,3338.5364032487
1994-11-01,3923.7426535850395
1994-12-01,3684.97630825339
1995-01-01,3827.08865177243
1995-02-01,3229.59059094721
1995-03-01,3796.1232003239
1995-04-01,3211.40059070018
1995-05-01,3998.0432092922297
1995-06-01,3617.4643662233398
1995-07-01,3398.4392618932
1995-08-01,3941.2971592448707
1995-09-01,3561.80121559924
1995-10-01,3984.8449724914294
1995-11-01,3604.1540752626292
1995-12-01,3918.6426278257104
1996-01-01,3567.4473176077795
1996-02-01,3960.1145487678004
1996-03-01,3920.8671173662106
1996-04-01,4297.09950591181
1996-05-01,3876.3047422394607
1996-06-01,3463.0226329653497
1996-07-01,4509.45670582442
1996-08-01,4119.04563926669
1996-09-01,3945.95371735387
1996-10-01,4195.78778680739
1996-11-01,4460.36235132712
1996-12-01,3626.4152493863503
1997-01-01,4025.35558190752
1997-02-01,3870.99146264378
1997-03-01,3447.6833782211797
1997-04-01,3841.3752046109203
1997-05-01,3673.99884218445
1997-06-01,3671.41590134272
1997-07-01,3606.2162549948903
1997-08-01,3843.4838974569607
1997-09-01,3810.0589815274398
1997-10-01,3770.80747924489
1997-11-01,3493.5308800799103
1997-12-01,4971.28391562594
1998-01-01,4491.27852739021
1998-02-01,4174.60529902243
1998-03-01,3646.2674360421397
1998-04-01,3904.58457546005
1998-05-01,3844.0604682931203
1998-06-01,4060.66745560539
1998-07-01,4273.55176098081
1998-08-01,4113.30425702663
1998-09-01,4253.67587407061
1998-10-01,4434.407520918429
1998-11-01,4134.39548153615
1998-12-01,4559.256283623479
1999-01-01,3903.39351331904
1999-02-01,4305.608187830449
1999-03-01,4854.45023858443
1999-04-01,4612.22913553904
1999-05-01,4346.5153081326
1999-06-01,4402.65523755347
1999-07-01,4306.784139967729
1999-08-01,4264.93509605836
1999-09-01,4824.2773442138105
1999-10-01,4136.36021745047
1999-11-01,5268.729825224171
1999-12-01,4106.8033012104
2000-01-01,3954.44517277057
2000-02-01,4436.44431845992
2000-03-01,4715.16594214735
2000-04-01,4157.285717262879
2000-05-01,4351.09330830432
2000-06-01,3873.60069671502
2000-07-01,4232.02659688205
2000-08-01,4280.74626054408
2000-09-01,4114.99829924017
2000-10-01,4617.05510218734
2000-11-01,4234.7580355990995
2000-12-01,3291.47613649685
2001-01-01,4279.49877357741
2001-02-01,4121.47559237319
2001-03-01,4397.005309854289
2001-04-01,3985.2646991242605
2001-05-01,4527.5577542939
2001-06-01,4966.703052645129
2001-07-01,4196.6517549930995
2001-08-01,4279.40033933015
2001-09-01,3645.2632855545703
2001-10-01,3633.79538626296
2001-11-01,4372.684468946471
2001-12-01,4504.86124838055
2002-01-01,4618.890726144929
2002-02-01,4443.93102591247
2002-03-01,3904.57135112948
2002-04-01,4346.31908063229
2002-05-01,4391.10918497516
2002-06-01,4098.5478120472
2002-07-01,4305.0192322556395
2002-08-01,4167.5730992323
2002-09-01,4042.97082141726
2002-10-01,4722.946466592321
2002-11-01,4101.4262328593895
2002-12-01,5236.78033908912
2003-01-01,5086.08884999508
2003-02-01,3592.14800207658
