DATE,ARBPPRIVSA
1988-01-01,306.977484398456
1988-02-01,626.514810684032
1988-03-01,567.973238487557
1988-04-01,557.259523572645
1988-05-01,591.239249407844
1988-06-01,533.761199756397
1988-07-01,490.767660419547
1988-08-01,500.75981227483396
1988-09-01,611.6215427937831
1988-10-01,362.737408257284
1988-11-01,578.496251036731
1988-12-01,552.095918065876
1989-01-01,562.749304453269
1989-02-01,375.14878031850503
1989-03-01,577.0773039030249
1989-04-01,483.113396903585
1989-05-01,547.713856345935
1989-06-01,520.2841892763761
1989-07-01,506.860165800218
1989-08-01,566.292396107018
1989-09-01,509.045514224635
1989-10-01,562.17090899
1989-11-01,451.617884002652
1989-12-01,503.198571206398
1990-01-01,703.484762645278
1990-02-01,522.901764191532
1990-03-01,606.446166887014
1990-04-01,461.620389981696
1990-05-01,546.8905447572699
1990-06-01,775.426369572479
1990-07-01,535.368450158982
1990-08-01,507.823402061622
1990-09-01,397.919283763778
1990-10-01,411.94388331540705
1990-11-01,448.556996827873
1990-12-01,246.150469006516
1991-01-01,397.487254762933
1991-02-01,751.313244288933
1991-03-01,502.541487855113
1991-04-01,498.339320936466
1991-05-01,467.640673066176
1991-06-01,582.723336263201
1991-07-01,654.576439291953
1991-08-01,510.27691226953203
1991-09-01,781.3419590058099
1991-10-01,814.912522528286
1991-11-01,707.7604432246229
1991-12-01,608.204577273818
1992-01-01,627.45761651161
1992-02-01,578.031851573814
1992-03-01,571.263052688485
1992-04-01,547.501511477383
1992-05-01,578.3595897343811
1992-06-01,614.225890083512
1992-07-01,690.7680971560029
1992-08-01,692.2606621476359
1992-09-01,643.299339649086
1992-10-01,701.2008328645669
1992-11-01,697.290563849156
1992-12-01,899.112481943227
1993-01-01,782.3325542056441
1993-02-01,703.79685754461
1993-03-01,628.638093557219
1993-04-01,716.581093545526
1993-05-01,710.043787868199
1993-06-01,817.914770639862
1993-07-01,1092.63913742716
1993-08-01,898.699667735018
1993-09-01,734.998647800229
1993-10-01,859.500038723405
1993-11-01,1063.62891918777
1993-12-01,1047.5411652014698
1994-01-01,1740.49817213082
1994-02-01,913.435843083515
1994-03-01,1130.5947661243
1994-04-01,732.748908210861
1994-05-01,1388.57898803408
1994-06-01,1284.35708100626
1994-07-01,900.1300202585651
1994-08-01,965.537968121593
1994-09-01,1171.68371734782
1994-10-01,714.510856976156
1994-11-01,956.6658064542619
1994-12-01,1120.3663138526401
1995-01-01,797.528456768748
1995-02-01,1083.6673992782
1995-03-01,1038.39646013091
1995-04-01,1213.2975989193199
