DATE,MSBPPRIVSA
1988-01-01,473.299345229729
1988-02-01,621.825814666647
1988-03-01,399.46074921647397
1988-04-01,620.410778036736
1988-05-01,452.02553470903604
1988-06-01,908.6756548664771
1988-07-01,400.462701997419
1988-08-01,513.093621716067
1988-09-01,468.85586885922
1988-10-01,472.358628610579
1988-11-01,768.974717514075
1988-12-01,598.394715913812
1989-01-01,480.799183961576
1989-02-01,470.447653335552
1989-03-01,538.75582738691
1989-04-01,426.01638955633
1989-05-01,802.967564184779
1989-06-01,443.010599392693
1989-07-01,483.643623249166
1989-08-01,570.214019757108
1989-09-01,507.117108298137
1989-10-01,430.74490464513
1989-11-01,478.45480045328003
1989-12-01,341.545384843178
1990-01-01,498.199314492015
1990-02-01,393.007956503611
1990-03-01,534.77997994386
1990-04-01,437.96351252642404
1990-05-01,465.68319794644304
1990-06-01,402.320520945431
1990-07-01,433.31515588467795
1990-08-01,395.55343273293096
1990-09-01,334.583337684233
1990-10-01,381.38913632798403
1990-11-01,329.83668524061795
1990-12-01,342.271825506068
1991-01-01,243.31911164409698
1991-02-01,304.043484477261
1991-03-01,331.362939475553
1991-04-01,355.899731925176
1991-05-01,322.870429874172
1991-06-01,510.248482517931
1991-07-01,398.068024740644
1991-08-01,357.513014358032
1991-09-01,457.233564902445
1991-10-01,437.164881969054
1991-11-01,441.64320979786794
1991-12-01,430.340029475383
1992-01-01,466.082284969466
1992-02-01,447.15321371979303
1992-03-01,416.79383174085604
1992-04-01,472.33504302631894
1992-05-01,524.324006314988
1992-06-01,470.949012954515
1992-07-01,507.030301335455
1992-08-01,485.230819690523
1992-09-01,535.593682941098
1992-10-01,499.965314769924
1992-11-01,374.039034685738
1992-12-01,440.051029139607
1993-01-01,443.26111144748296
1993-02-01,573.149712957623
1993-03-01,513.403752954775
1993-04-01,581.889251610004
1993-05-01,558.701396873286
1993-06-01,652.075187489472
1993-07-01,579.830225451255
1993-08-01,658.289967395113
1993-09-01,687.873651634964
1993-10-01,814.68397476302
1993-11-01,870.156412068099
1993-12-01,746.9813325804311
1994-01-01,977.687371031853
1994-02-01,1082.22782248047
1994-03-01,885.600670815253
1994-04-01,900.3801136385159
1994-05-01,766.211361579209
1994-06-01,1067.62673880274
1994-07-01,965.636070048641
1994-08-01,878.69252985603
1994-09-01,1052.54883466974
1994-10-01,702.3644763582989
1994-11-01,851.9183080646319
1994-12-01,1047.41231810359
1995-01-01,1061.76241791029
1995-02-01,559.892281597062
1995-03-01,1298.07788073923
1995-04-01,700.88533099483
1995-05-01,875.645139374227
1995-06-01,732.155788825603
1995-07-01,820.5479597219811
1995-08-01,1022.94498860729
1995-09-01,819.487624906922
1995-10-01,1083.69800044862
1995-11-01,1233.89802608505
1995-12-01,578.794483991382
1996-01-01,965.1839220426531
1996-02-01,1015.07378437295
1996-03-01,982.417387305151
1996-04-01,915.6309515375301
1996-05-01,984.216082410087
1996-06-01,973.0143008398629
1996-07-01,863.963370135456
1996-08-01,788.4193217094321
1996-09-01,767.927420449927
1996-10-01,789.2109337192979
1996-11-01,837.31418781697
1996-12-01,813.01385261547
1997-01-01,726.211251350112
1997-02-01,767.4946229673391
1997-03-01,952.807612262249
1997-04-01,1016.7093771303199
1997-05-01,1062.9718981801
1997-06-01,773.959210945602
1997-07-01,935.028849093441
1997-08-01,708.6878708826939
1997-09-01,864.1310597255119
1997-10-01,711.151155348072
1997-11-01,671.429831696586
1997-12-01,1136.65609899784
1998-01-01,1208.93221629579
1998-02-01,798.3659304356751
1998-03-01,871.610463663411
1998-04-01,991.540719603731
1998-05-01,732.666138005493
1998-06-01,1381.4185323272302
1998-07-01,1148.93678720557
1998-08-01,1164.1180543155901
1998-09-01,949.1998347223571
1998-10-01,1174.38303583197
1998-11-01,1191.17011187218
1998-12-01,1287.30962540611
1999-01-01,992.362522842953
1999-02-01,1120.5246259073401
1999-03-01,1094.63828540488
1999-04-01,991.09374959946
1999-05-01,886.121972307393
1999-06-01,981.926054384648
1999-07-01,934.9204351892239
1999-08-01,1001.956490535
1999-09-01,1018.5966832509199
1999-10-01,914.279202964767
1999-11-01,935.1200161690621
1999-12-01,835.7010401204359
2000-01-01,828.5717933834591
2000-02-01,1195.91403529455
2000-03-01,772.917879333882
2000-04-01,883.870792814776
2000-05-01,990.9900711682241
2000-06-01,888.37828448404
2000-07-01,779.087499967036
2000-08-01,1013.76600727726
2000-09-01,1310.54717277191
2000-10-01,886.189486751569
2000-11-01,1620.94485835851
2000-12-01,947.3403217466459
2001-01-01,944.212117945936
2001-02-01,968.0660664914681
2001-03-01,979.3075830253
2001-04-01,896.494682187795
2001-05-01,874.6803568566969
2001-06-01,842.165384762025
2001-07-01,795.9199032448489
2001-08-01,824.8539474351469
2001-09-01,645.499465857958
2001-10-01,964.2061551801871
2001-11-01,710.847873647996
2001-12-01,692.15344018799
2002-01-01,821.0189124686369
2002-02-01,1400.03554132471
2002-03-01,755.5245758710539
2002-04-01,792.479554678813
2002-05-01,878.2830968640491
2002-06-01,1020.53890143744
2002-07-01,788.02735639638
2002-08-01,642.706738453925
2002-09-01,800.75204011898
2002-10-01,897.2328677821339
2002-11-01,1029.9187117804402
2002-12-01,785.802018246039
2003-01-01,974.07774109526
2003-02-01,857.541250477057
2003-03-01,879.065543656049
2003-04-01,1093.2400723023402
2003-05-01,977.6779964591949
2003-06-01,835.893503808707
2003-07-01,1156.79148353968
2003-08-01,1093.62361795033
2003-09-01,1107.88072170254
2003-10-01,1081.5732758501802
2003-11-01,967.4399651516189
2003-12-01,1141.0378935961699
