DATE,FLBPPRIVSA
2005-05-01,21014.8128130198
2005-06-01,24185.1178304965
2005-07-01,22893.227265100297
2005-08-01,24719.0437088478
2005-09-01,29849.716151995
2005-10-01,19908.7692159826
2005-11-01,22906.7132531682
2005-12-01,22445.9721655865
2006-01-01,22661.3369785402
2006-02-01,22926.8097791215
2006-03-01,21935.6474434201
2006-04-01,18433.7480358081
2006-05-01,18743.8437677008
2006-06-01,16610.584931504898
2006-07-01,16007.4791547084
2006-08-01,15281.9625371773
2006-09-01,13950.4896033578
2006-10-01,12925.588857037099
2006-11-01,12645.906515067
2006-12-01,10991.5168145198
2007-01-01,10685.9440303825
2007-02-01,10574.097486980501
2007-03-01,10386.1844105046
2007-04-01,9891.702960826651
2007-05-01,10678.8795416038
2007-06-01,9001.90123861927
2007-07-01,8558.65925304657
2007-08-01,8251.55029175273
2007-09-01,7064.2649219945
2007-10-01,6790.63913430885
2007-11-01,6635.9767009117795
2007-12-01,6291.416145538261
2008-01-01,7640.644494697941
2008-02-01,6099.196880973579
2008-03-01,4438.8289480781295
2008-04-01,5980.07833823245
2008-05-01,5529.4249199531605
2008-06-01,6000.692976448189
2008-07-01,4867.96189823254
2008-08-01,5475.62312385512
2008-09-01,5740.30905666288
2008-10-01,3865.64299533937
2008-11-01,3461.5938657582897
2008-12-01,3352.40498120572
2009-01-01,2905.3784802752
2009-02-01,3659.4735192828
2009-03-01,2685.9686979732
2009-04-01,2189.64763872631
2009-05-01,2488.0388621258
2009-06-01,3321.01904728322
2009-07-01,3008.1558844490696
2009-08-01,2639.33132806049
2009-09-01,3290.9966183343895
2009-10-01,3124.1964788301
2009-11-01,3346.20615546358
2009-12-01,3659.45772799683
2010-01-01,3824.6600612070897
2010-02-01,3530.0908553125396
2010-03-01,3584.02961429406
2010-04-01,3622.3286661994002
2010-05-01,3077.36045832057
2010-06-01,3063.6043434570697
2010-07-01,2854.38804862736
2010-08-01,3029.81093609013
2010-09-01,2995.40628154152
2010-10-01,2867.9269749254804
2010-11-01,2977.34141481078
2010-12-01,3228.3232562663597
2011-01-01,2975.94402240188
2011-02-01,3052.2958496098804
2011-03-01,3540.91243905274
2011-04-01,3124.57602255229
2011-05-01,3419.1952579953304
2011-06-01,3635.5418860279706
2011-07-01,4069.4202788685798
2011-08-01,3989.07645022622
2011-09-01,3857.86022634519
2011-10-01,3646.4349582471796
2011-11-01,4211.0059798168795
2011-12-01,4300.49043844007
2012-01-01,4552.410530611
2012-02-01,3703.0723743147796
2012-03-01,4684.01254554864
2012-04-01,4446.82424788555
2012-05-01,5287.3721366769705
2012-06-01,4932.39866840257
2012-07-01,5018.92362119777
2012-08-01,5972.90191805468
2012-09-01,8902.52864380616
2012-10-01,5515.87663046439
2012-11-01,6048.2701633629395
2012-12-01,5331.84455883114
2013-01-01,6170.5381972551095
2013-02-01,6812.87264695452
2013-03-01,7031.02679148683
2013-04-01,9261.53902281205
2013-05-01,9407.1128321045
2013-06-01,5947.269609319909
2013-07-01,7097.28218605771
2013-08-01,6535.96035284906
2013-09-01,7037.94291838125
2013-10-01,7659.2343685388505
2013-11-01,7697.3429521096095
2013-12-01,6187.16439135244
2014-01-01,7440.488074922459
2014-02-01,7560.77105937409
2014-03-01,5680.64415366044
2014-04-01,7022.891605108221
2014-05-01,6675.070815756279
2014-06-01,6993.40683729222
2014-07-01,7704.197266976229
2014-08-01,6740.15341978045
2014-09-01,6721.248273983941
2014-10-01,8008.5107206529
2014-11-01,6119.226081019549
2014-12-01,8162.825294122221
2015-01-01,7633.615730645941
2015-02-01,8796.54875599847
2015-03-01,8305.44843420537
2015-04-01,7839.321063486959
2015-05-01,8653.37470840075
2015-06-01,8987.462799041608
2015-07-01,8269.377146086059
2015-08-01,7195.33015764904
2015-09-01,11354.6478877496
2015-10-01,8605.96045584764
2015-11-01,9601.07278628751
2015-12-01,11175.8887902985
2016-01-01,7848.17799168529
2016-02-01,9348.8337721545
2016-03-01,9346.40609269511
2016-04-01,8817.18028319196
2016-05-01,8616.39354129327
2016-06-01,8649.9540946256
2016-07-01,8897.32571498315
2016-08-01,10257.072441792
2016-09-01,10812.1757643161
2016-10-01,9567.3975061979
2016-11-01,10004.297426791
2016-12-01,10348.9678188109
2017-01-01,9885.485189288951
2017-02-01,8555.92090670559
2017-03-01,9677.64405064813
2017-04-01,10029.7552322389
2017-05-01,10781.3630130055
2017-06-01,11088.141314518898
2017-07-01,9840.603460374621
2017-08-01,10113.6227623658
2017-09-01,8464.649009529201
2017-10-01,10081.8177044048
2017-11-01,9533.480527894191
2017-12-01,9199.92237923456
2018-01-01,11208.1021014784
2018-02-01,10879.1869035351
2018-03-01,11340.6142680164
2018-04-01,12346.9266005402
2018-05-01,11403.299919753701
2018-06-01,11721.105969173701
2018-07-01,12912.1906180626
2018-08-01,11403.2690294722
2018-09-01,10993.9239343818
2018-10-01,11389.970595183999
2018-11-01,15317.7280444307
2018-12-01,12344.3594124958
2019-01-01,11025.9137153826
2019-02-01,12109.3034447074
2019-03-01,11553.4490853776
2019-04-01,12795.252108365401
2019-05-01,12576.6719191044
2019-06-01,10048.4693113727
2019-07-01,13059.343515511599
2019-08-01,13831.4140539026
2019-09-01,15558.0071951919
2019-10-01,14541.8833512196
2019-11-01,13184.154532378401
2019-12-01,12955.5191546019
2020-01-01,14348.6947188226
2020-02-01,13370.00658909
2020-03-01,13356.8645072169
2020-04-01,10756.5028215686
2020-05-01,11739.686331498
2020-06-01,11637.8413705678
2020-07-01,13087.5401484386
2020-08-01,14069.562999367901
2020-09-01,14678.207569804299
2020-10-01,15135.3209723301
2020-11-01,14744.8135371126
2020-12-01,15466.0804542377
2021-01-01,15928.0464835565
2021-02-01,14219.5038372378
2021-03-01,16782.338916393997
2021-04-01,17403.2286129547
2021-05-01,17386.2485968471
2021-06-01,17843.2313327197
2021-07-01,17961.2060850124
2021-08-01,20838.551777171102
2021-09-01,17154.0938776479
2021-10-01,15875.432379329299
2021-11-01,18701.2089552302
2021-12-01,18842.7536647122
2022-01-01,17950.7457587186
2022-02-01,18041.4438650336
2022-03-01,18337.3099373241
2022-04-01,17943.3777646085
2022-05-01,19378.4260740795
2022-06-01,18373.3265565549
2022-07-01,15777.8103257331
2022-08-01,15586.1147465006
2022-09-01,17196.3874256276
2022-10-01,15258.432578366599
2022-11-01,15572.952430060901
2022-12-01,15972.5027204382
2023-01-01,15440.7577215113
2023-02-01,18034.1303773589
