DATE,WVBPPRIVSA
1988-01-01,115.119373360437
1988-02-01,113.63261673897
1988-03-01,134.662722106707
1988-04-01,222.613370944915
1988-05-01,109.442510786921
1988-06-01,160.15472705506
1988-07-01,123.734765625453
1988-08-01,124.38432084974501
1988-09-01,104.914669852876
1988-10-01,131.24655721181801
1988-11-01,128.50462595392798
1988-12-01,238.01373189361698
1989-01-01,136.865361567535
1989-02-01,130.91720502766
1989-03-01,108.843450679774
1989-04-01,112.758024901233
1989-05-01,145.966201804679
1989-06-01,95.84050304391891
1989-07-01,143.792361734457
1989-08-01,112.303221011635
1989-09-01,125.892766381014
1989-10-01,144.389198805152
1989-11-01,106.797236985603
1989-12-01,129.426934000977
1990-01-01,138.380573647025
1990-02-01,193.758135912237
1990-03-01,129.892480073987
1990-04-01,122.608838396259
1990-05-01,125.06387314549801
1990-06-01,170.34653063059798
1990-07-01,131.940169382512
1990-08-01,151.21722207652098
1990-09-01,124.757477998658
1990-10-01,107.28085228659701
1990-11-01,195.52752018329898
1990-12-01,106.593376001379
1991-01-01,116.03158158890601
1991-02-01,161.144800447436
1991-03-01,160.983934587145
1991-04-01,152.099927561209
1991-05-01,143.289383532437
1991-06-01,141.067789006125
1991-07-01,154.289791598157
1991-08-01,147.964556598625
1991-09-01,193.149940356989
1991-10-01,90.4313760253239
1991-11-01,170.355533691931
1991-12-01,252.695015430881
1992-01-01,181.36505707416902
1992-02-01,161.02760243187998
1992-03-01,183.41745235731898
1992-04-01,194.049457417192
1992-05-01,199.592711158235
1992-06-01,149.612648652613
1992-07-01,157.343756560052
1992-08-01,225.79054818904098
1992-09-01,155.74419545737499
1992-10-01,221.647133973705
1992-11-01,246.926398096907
1992-12-01,216.41593672265202
1993-01-01,177.54214585726
1993-02-01,212.666263040159
1993-03-01,169.06406818996402
1993-04-01,170.346974990373
1993-05-01,212.943762504166
1993-06-01,188.69593676043598
1993-07-01,198.005431143624
1993-08-01,225.88010082658698
1993-09-01,267.58761793135
1993-10-01,290.77289424063
1993-11-01,226.61293764262902
1993-12-01,208.406493315979
1994-01-01,246.896367192399
1994-02-01,240.95914579952202
1994-03-01,315.062980068002
1994-04-01,314.314133041778
1994-05-01,289.961628088586
1994-06-01,326.167398372143
1994-07-01,334.932665122735
1994-08-01,298.72198377255796
1994-09-01,351.994744497869
1994-10-01,274.66681336073003
1994-11-01,338.516011077515
1994-12-01,370.38577920694803
1995-01-01,368.16087704471903
1995-02-01,269.786796788913
1995-03-01,282.40706261770197
1995-04-01,242.04204371767798
1995-05-01,293.823417235564
1995-06-01,307.640424391263
1995-07-01,336.375963524922
1995-08-01,285.992057619255
1995-09-01,354.930079932698
1995-10-01,285.740429726425
1995-11-01,308.71208758965804
1995-12-01,323.26000878070704
1996-01-01,288.559175864486
1996-02-01,331.819930666709
1996-03-01,307.00229511069097
1996-04-01,357.970183072436
1996-05-01,289.075413126692
1996-06-01,320.57368232844397
1996-07-01,345.768909744199
1996-08-01,281.93339008321897
1996-09-01,281.7753382687
1996-10-01,421.135925029579
1996-11-01,254.298831210136
1996-12-01,282.01806834615
1997-01-01,335.1721270241
1997-02-01,274.244490163744
1997-03-01,313.05334685306997
1997-04-01,481.56716442787496
1997-05-01,456.91669707198196
1997-06-01,373.77774261374003
1997-07-01,296.907680773256
1997-08-01,277.276740547641
1997-09-01,275.893480116714
1997-10-01,319.424433394812
1997-11-01,208.632803217748
1997-12-01,283.432009611943
1998-01-01,244.459917136251
1998-02-01,294.266385724458
1998-03-01,308.67079911111097
1998-04-01,321.640665070669
1998-05-01,287.757109381727
1998-06-01,313.679823378989
1998-07-01,331.214028472936
1998-08-01,315.820812075067
1998-09-01,324.93162691709097
1998-10-01,271.58190266682703
1998-11-01,607.19112691072
1998-12-01,366.163342827009
1999-01-01,362.93279679219904
1999-02-01,327.772928582952
1999-03-01,363.116724138254
1999-04-01,337.257994653824
1999-05-01,369.16254893405096
1999-06-01,321.29711955130796
1999-07-01,296.748709470117
1999-08-01,505.16773039549304
1999-09-01,333.906437775462
1999-10-01,238.172775183124
1999-11-01,684.989828908887
1999-12-01,388.80427512276606
2000-01-01,288.31904841202703
2000-02-01,337.187185637656
2000-03-01,299.49879207034
2000-04-01,261.65524194627
2000-05-01,276.396921895783
2000-06-01,294.882975534592
2000-07-01,279.38754232111
2000-08-01,296.576713437591
2000-09-01,260.182607534399
2000-10-01,306.145809156088
2000-11-01,331.415050693892
2000-12-01,256.623361096338
2001-01-01,330.729432206401
2001-02-01,323.43833181756
2001-03-01,365.286245519328
2001-04-01,318.119940935369
2001-05-01,323.48801879739
2001-06-01,240.59713423182498
2001-07-01,313.262654623034
2001-08-01,384.259000161567
2001-09-01,315.240864243346
2001-10-01,344.185134917377
2001-11-01,319.745817597798
2001-12-01,322.608919679295
2002-01-01,362.69806138038496
2002-02-01,379.75793519702796
2002-03-01,280.811922385749
2002-04-01,331.331248683534
2002-05-01,333.289860242659
2002-06-01,321.860185413136
2002-07-01,322.616554972535
2002-08-01,382.744355081224
2002-09-01,355.97286855714106
2002-10-01,402.18833946317903
2002-11-01,333.471538333983
2002-12-01,414.065687812809
2003-01-01,335.00805255924
2003-02-01,282.091823305956
2003-03-01,322.747143401595
2003-04-01,338.971384454872
2003-05-01,417.01655339862197
2003-06-01,382.51744911773005
2003-07-01,425.10080909759904
2003-08-01,385.30805274422204
2003-09-01,396.63857770904997
2003-10-01,429.599480488472
2003-11-01,409.80378777617204
2003-12-01,481.477982186403
2004-01-01,402.07053466247004
2004-02-01,451.22764855973503
