DATE,MNBPPRIVSA
1988-01-01,2426.1591161092997
1988-02-01,2454.72954655022
1988-03-01,2460.09163611545
1988-04-01,2824.30729575573
1988-05-01,2582.39782832518
1988-06-01,2365.96453521466
1988-07-01,1886.35214126558
1988-08-01,2394.34244921224
1988-09-01,2185.0544716437603
1988-10-01,2111.3553464649103
1988-11-01,2508.1550229049103
1988-12-01,2450.15123729725
1989-01-01,2192.5272554221
1989-02-01,2143.1509898494896
1989-03-01,2329.87842411144
1989-04-01,2064.66984101924
1989-05-01,2038.99834544921
1989-06-01,2323.16185540152
1989-07-01,2005.28651689303
1989-08-01,2335.1244043612
1989-09-01,2183.32063563193
1989-10-01,2157.87010870114
1989-11-01,1805.3928597850102
1989-12-01,1557.2511919915
1990-01-01,4638.07467286301
1990-02-01,1904.84757128552
1990-03-01,1826.88756658138
1990-04-01,1735.55388797862
1990-05-01,1912.23983208132
1990-06-01,1812.3191141876
1990-07-01,2118.08700398752
1990-08-01,1785.23992029022
1990-09-01,1928.0672262098
1990-10-01,1794.2412326598499
1990-11-01,1924.6369877925301
1990-12-01,1355.79713360647
1991-01-01,2163.58543041886
1991-02-01,1661.37639692574
1991-03-01,1490.6471103342599
1991-04-01,1816.4350570126603
1991-05-01,2074.94715629545
1991-06-01,1795.93435075048
1991-07-01,1814.4868166103602
1991-08-01,1691.2088778856
1991-09-01,1734.6849431656
1991-10-01,1805.81553144034
1991-11-01,1809.29719158656
1991-12-01,1729.59597139643
1992-01-01,2932.6796710893605
1992-02-01,2491.95719106702
1992-03-01,2341.1516298153197
1992-04-01,2199.14569446106
1992-05-01,1878.02838767526
1992-06-01,1994.86609414349
1992-07-01,2079.39134554208
1992-08-01,2170.82314922129
1992-09-01,2005.6908474560398
1992-10-01,1983.2469449518899
1992-11-01,1964.9475917600303
1992-12-01,2349.78952707163
1993-01-01,2358.84604998001
1993-02-01,2296.25043957505
1993-03-01,2214.82828837276
1993-04-01,2146.5800524824804
1993-05-01,2030.2239974181198
1993-06-01,2232.5786428219603
