DATE,WABPPRIVSA
1988-01-01,3143.7564242391
1988-02-01,2731.0676216441398
1988-03-01,3192.32711209508
1988-04-01,3396.2534798424394
1988-05-01,3012.03279712463
1988-06-01,2818.93568987265
1988-07-01,3988.72386089901
1988-08-01,3989.3449449332597
1988-09-01,5301.4331258642
1988-10-01,3426.74732264638
1988-11-01,4095.76959366036
1988-12-01,4257.9693211588
1989-01-01,3778.55165712719
1989-02-01,2741.8222958791002
1989-03-01,3608.66396600942
1989-04-01,3413.61265430287
1989-05-01,3787.3904217015706
1989-06-01,3507.0906671391303
1989-07-01,3665.6447984935203
1989-08-01,3971.6635515129706
1989-09-01,4128.61747080188
1989-10-01,4429.683757828089
1989-11-01,4188.54220675123
1989-12-01,4497.59973955839
1990-01-01,4601.8374453449605
1990-02-01,4651.96034129342
1990-03-01,4697.750533053971
1990-04-01,3582.02934214089
1990-05-01,4001.7308159788104
1990-06-01,3924.87793093685
1990-07-01,3289.14357582863
1990-08-01,4085.38947335555
1990-09-01,2920.9822648528802
1990-10-01,3716.1308132828703
1990-11-01,2894.5326852574894
1990-12-01,2590.914887769
1991-01-01,2282.69774646092
1991-02-01,2859.02897724027
1991-03-01,2381.05795478025
1991-04-01,2670.0674231176
1991-05-01,2884.57678758822
1991-06-01,3486.6456578499897
1991-07-01,3393.01589776643
1991-08-01,2694.15986429962
1991-09-01,2930.7807792055396
1991-10-01,2577.92403543092
1991-11-01,2726.91848470091
1991-12-01,2862.39119497493
1992-01-01,3459.98000405391
1992-02-01,3480.87883174544
1992-03-01,3305.6298063501195
1992-04-01,3696.43482127382
1992-05-01,3239.3572534049104
1992-06-01,3181.59508193018
1992-07-01,3153.0579843606797
1992-08-01,2968.95628243753
1992-09-01,3295.18944936073
1992-10-01,3452.74162470873
1992-11-01,3328.7673514171997
1992-12-01,3460.2592400898498
1993-01-01,2540.66437522801
1993-02-01,2741.52117695311
1993-03-01,3227.6359423095
1993-04-01,3378.5680778932106
1993-05-01,3224.13812941042
1993-06-01,3120.2031463550297
1993-07-01,3196.2737848760603
1993-08-01,3567.4897362894603
1993-09-01,3609.4169621985207
1993-10-01,3600.7376075740794
1993-11-01,4064.14708280353
1993-12-01,3868.09372727996
1994-01-01,4009.7308402964795
1994-02-01,3746.4400319476795
1994-03-01,3732.91547308264
1994-04-01,3611.25355593637
1994-05-01,3606.80619135104
1994-06-01,3762.7871041472204
1994-07-01,3627.02223073675
1994-08-01,4182.35092057288
1994-09-01,4185.93280203219
1994-10-01,3558.5992318987396
1994-11-01,3108.3920896344703
1994-12-01,2987.48458935911
1995-01-01,3132.3687831363695
1995-02-01,3062.2363574459005
1995-03-01,3113.1123354117
1995-04-01,2983.6480900368
1995-05-01,3302.0521879201697
1995-06-01,4199.514439819521
1995-07-01,3039.29081034779
1995-08-01,3022.9740306026397
1995-09-01,2534.77616793674
1995-10-01,3226.0465477915996
1995-11-01,3649.3966600070703
1995-12-01,4254.635300087511
1996-01-01,3365.28436640837
1996-02-01,3764.6807615468897
1996-03-01,3836.9039926742207
1996-04-01,3684.8358751338897
1996-05-01,3595.6407529465005
1996-06-01,3465.12360072533
1996-07-01,3374.72372157893
1996-08-01,3469.10212447335
1996-09-01,3283.35468809104
1996-10-01,3352.61361101431
1996-11-01,3577.28492714729
1996-12-01,3722.9719140668394
1997-01-01,3329.23177163503
1997-02-01,3126.64407536645
1997-03-01,3334.53132805354
1997-04-01,3080.48541833173
1997-05-01,3178.78735355435
1997-06-01,3329.2190328545503
1997-07-01,3924.1439515084203
1997-08-01,3784.18982540258
1997-09-01,4465.816493536529
1997-10-01,3674.9492592973797
1997-11-01,3484.5992781157897
1997-12-01,4064.2298705903004
1998-01-01,4092.0665032919
1998-02-01,4145.22315292831
1998-03-01,3625.8371609943797
1998-04-01,4168.78407237062
1998-05-01,2944.0220992224
1998-06-01,3802.94115684466
1998-07-01,4056.2785418435706
1998-08-01,3462.5250226905
1998-09-01,3843.57834534762
1998-10-01,4997.0291057330605
1998-11-01,3811.84522375317
1998-12-01,3213.5122021939396
1999-01-01,3179.6025106006896
1999-02-01,3537.28309331354
1999-03-01,3668.00715061034
1999-04-01,3867.2118604854204
1999-05-01,4040.58720983101
1999-06-01,3934.69700885365
1999-07-01,3446.6971927534496
1999-08-01,3542.87142103091
1999-09-01,3455.41673603599
1999-10-01,3736.7758201642205
1999-11-01,3225.6123763884398
1999-12-01,3434.2820143788
2000-01-01,3608.0753744300896
2000-02-01,3794.4767559681395
2000-03-01,3311.87889176862
2000-04-01,3105.52777430835
2000-05-01,3291.98971568819
2000-06-01,3273.3043446694605
2000-07-01,3140.30666077422
2000-08-01,4031.80460194938
2000-09-01,3552.0889809327205
2000-10-01,2970.78643263187
2000-11-01,3711.33658505709
2000-12-01,4498.63073926625
2001-01-01,4007.7980224792295
2001-02-01,2920.7536666749397
2001-03-01,3710.7081646242295
2001-04-01,3405.05148027596
2001-05-01,3239.5779086459197
2001-06-01,3298.3046016776198
2001-07-01,3370.62449578892
2001-08-01,3839.40235637395
2001-09-01,2934.11608118521
2001-10-01,2913.01234313656
2001-11-01,3033.9064453802303
2001-12-01,2843.81901093114
2002-01-01,3019.76930687719
2002-02-01,2905.7051105044397
2002-03-01,3116.80535696503
2002-04-01,3447.2992953592798
2002-05-01,3698.0933893586403
2002-06-01,3683.30607413625
2002-07-01,3412.49913234703
2002-08-01,3395.02511303359
2002-09-01,3401.65405249152
2002-10-01,3903.1696168940603
2002-11-01,4036.9025866933503
2002-12-01,3691.59726069641
2003-01-01,3824.5023591335
