DATE,NJBPPRIVSA
1988-01-01,3168.61164040995
1988-02-01,3828.8098557167
1988-03-01,6316.60894242052
1988-04-01,4050.38682844962
1988-05-01,4241.9075844280605
1988-06-01,4452.90135877618
1988-07-01,3968.9157890397296
1988-08-01,3834.70771718185
1988-09-01,3306.1366735374104
1988-10-01,3315.8244331656106
1988-11-01,2817.1683913369898
1988-12-01,2453.79758558564
1989-01-01,3215.7508693169398
1989-02-01,3096.32893393609
1989-03-01,2711.64719377751
1989-04-01,3130.93033464777
1989-05-01,3544.36872925481
1989-06-01,3193.37578758096
1989-07-01,2243.98732827404
1989-08-01,3143.04813470397
1989-09-01,3040.97733904541
1989-10-01,2337.27605609499
1989-11-01,2420.16358547963
1989-12-01,3042.17620885581
1990-01-01,3642.23911831826
1990-02-01,2031.6591748556698
1990-03-01,2320.6034411855803
1990-04-01,1734.9101601224302
1990-05-01,1572.2983235953602
1990-06-01,1422.20418844035
1990-07-01,1356.31373047249
1990-08-01,1173.10004845264
1990-09-01,1151.02922899655
1990-10-01,1235.60940659529
1990-11-01,1103.87719538896
1990-12-01,1129.5296229097999
1991-01-01,1097.5248202431699
1991-02-01,1119.5436951649199
1991-03-01,971.614154192476
1991-04-01,1355.4564657048
1991-05-01,1154.22016416378
1991-06-01,1305.86446469518
1991-07-01,1299.6592493953
1991-08-01,1669.0615734074202
1991-09-01,1240.53533862408
1991-10-01,1802.91545550599
1991-11-01,1787.11453417315
1991-12-01,1441.19341624621
1992-01-01,1871.5569050314898
1992-02-01,1842.05177924013
1992-03-01,1547.7055291824802
1992-04-01,1380.5863830238
1992-05-01,1272.72271043359
1992-06-01,1102.4516986139802
1992-07-01,1607.3338195671802
1992-08-01,1013.1020511389901
1992-09-01,1275.10516731634
1992-10-01,1017.4522658927699
1992-11-01,1103.2169388177401
1992-12-01,1136.0072701344802
1993-01-01,726.0113622988589
1993-02-01,1716.9910221972698
1993-03-01,1257.20419277173
1993-04-01,1335.52414406048
1993-05-01,1349.1730561721402
1993-06-01,1445.0578965169198
1993-07-01,1535.30543926935
1993-08-01,1576.74060858076
1993-09-01,2017.6013372709501
1993-10-01,2361.33230986351
1993-11-01,2048.9187338676998
1993-12-01,1893.20228871762
1994-01-01,1541.4670977239002
1994-02-01,1712.2926435873499
1994-03-01,2135.9691710295
1994-04-01,1980.29211522874
1994-05-01,2069.84693469706
1994-06-01,2529.21400138224
1994-07-01,2617.5625406117397
1994-08-01,2242.81729051934
1994-09-01,1813.50572890065
1994-10-01,1820.4378758610999
1994-11-01,2427.22595063052
1994-12-01,2182.59425886797
1995-01-01,1664.02578810314
1995-02-01,1685.0637376213501
1995-03-01,1850.4019226138398
1995-04-01,1634.0566204858999
1995-05-01,1955.26475168518
1995-06-01,1721.1940649310097
1995-07-01,1565.31103512685
1995-08-01,1867.99958036118
1995-09-01,2000.1934234173602
1995-10-01,1706.418725041
1995-11-01,1308.92664760163
1995-12-01,1482.8666795838299
1996-01-01,1461.6522023491598
1996-02-01,1645.8554553834801
1996-03-01,1851.1144624037602
1996-04-01,1823.87156934659
1996-05-01,1949.3387092137802
1996-06-01,1695.42165905833
1996-07-01,2120.2031327053196
1996-08-01,2034.23355647343
1996-09-01,1829.56093115654
1996-10-01,2127.82886507145
1996-11-01,2091.61046579405
1996-12-01,2013.2620606956
1997-01-01,2084.66110724715
1997-02-01,1971.37183253095
1997-03-01,2035.59049858052
1997-04-01,2198.00918854897
1997-05-01,2007.84225895906
1997-06-01,1991.77884506184
1997-07-01,2056.11148740315
1997-08-01,1818.8955687649802
1997-09-01,1994.40500811376
1997-10-01,1963.51471595325
1997-11-01,1915.36832314258
1997-12-01,2472.52194273964
1998-01-01,2448.29079277004
1998-02-01,2459.67866794425
1998-03-01,2096.31427194578
1998-04-01,2287.83112324388
1998-05-01,2087.24179880543
1998-06-01,2432.63324447897
1998-07-01,2361.264983396
1998-08-01,2240.75851642633
1998-09-01,2435.1875990956896
1998-10-01,2904.76844778036
1998-11-01,2430.5280315907503
1998-12-01,2486.44578869018
1999-01-01,2261.06196590362
1999-02-01,2923.17511159573
1999-03-01,2531.16183302553
1999-04-01,2689.7394398126103
1999-05-01,2444.3296594823396
1999-06-01,2904.0518802969395
1999-07-01,2376.26376511776
1999-08-01,2904.47127039849
1999-09-01,2436.78655342518
1999-10-01,2123.23804799227
1999-11-01,2550.1853602065803
1999-12-01,2569.57099882234
2000-01-01,3775.3325544265704
2000-02-01,2390.39234084291
2000-03-01,2539.84707700148
2000-04-01,2404.62530188575
2000-05-01,2538.41608846885
2000-06-01,2358.3001149871698
2000-07-01,2158.45414044353
2000-08-01,2104.60002786197
2000-09-01,2341.58011433196
2000-10-01,2461.79549864856
2000-11-01,3160.78970165342
2000-12-01,2127.1219930362804
2001-01-01,2426.34161129805
2001-02-01,2230.74412573554
2001-03-01,2163.75340811942
2001-04-01,1883.82137091227
2001-05-01,2023.3712598166298
2001-06-01,1914.8750727813501
2001-07-01,2496.56924841577
2001-08-01,2398.39049155101
2001-09-01,2078.55822701728
2001-10-01,2208.16378019342
2001-11-01,2496.12323543052
2001-12-01,2246.28920470996
2002-01-01,2487.86284594349
2002-02-01,2517.79722567279
2002-03-01,1923.11183331416
2002-04-01,2403.4205553186603
2002-05-01,2521.20389346591
2002-06-01,2298.2560107251
2002-07-01,2623.39109886157
2002-08-01,2299.2333853005202
2002-09-01,2733.93446446769
2002-10-01,2446.6335073385503
2002-11-01,2141.86214760266
2002-12-01,2130.5139602267104
2003-01-01,2212.28208352131
