DATE,ILBPPRIVSA
1988-01-01,3335.1200577994105
1988-02-01,2745.55876795323
1988-03-01,3974.2948130040295
1988-04-01,3623.63041551039
1988-05-01,3878.71663065141
1988-06-01,4344.58461732294
1988-07-01,3916.5418945245397
1988-08-01,3823.56776162219
1988-09-01,3996.0500736235704
1988-10-01,3710.32522234256
1988-11-01,3781.2145205732204
1988-12-01,6818.64959556833
1989-01-01,3488.5098552472996
1989-02-01,3868.6951405062605
1989-03-01,3254.64493535614
1989-04-01,4327.9388801717405
1989-05-01,3624.62059280455
1989-06-01,2842.22950351931
1989-07-01,3144.35982636971
1989-08-01,3537.2665611184
1989-09-01,3314.21296234555
1989-10-01,3772.14233107266
1989-11-01,3470.23277155352
1989-12-01,2954.8061984647697
1990-01-01,4633.95268927867
1990-02-01,3561.8809933744396
1990-03-01,3518.8702223053997
1990-04-01,3227.35679976753
1990-05-01,2946.2466199035603
1990-06-01,2998.54844957888
1990-07-01,2912.85957306785
1990-08-01,3046.6645943695803
1990-09-01,2989.31515694987
1990-10-01,2277.7910534592
1990-11-01,2843.15280760571
1990-12-01,2701.7191710247
1991-01-01,2457.20392791382
1991-02-01,2228.45765220454
1991-03-01,2329.66849841273
1991-04-01,3015.46438574156
1991-05-01,2752.93937451084
1991-06-01,2845.44692421922
1991-07-01,3113.5867515038103
1991-08-01,2790.60665964231
1991-09-01,2762.99212424948
1991-10-01,3088.55514609776
1991-11-01,2837.7533680092797
1991-12-01,2819.93048370099
1992-01-01,3522.00440479774
1992-02-01,3466.7724456940005
1992-03-01,3354.67364359344
1992-04-01,3144.5529865121002
1992-05-01,3298.1288687038
1992-06-01,3190.90486561224
1992-07-01,3574.30452054965
1992-08-01,3137.19791392346
1992-09-01,3488.54200607227
1992-10-01,3279.8061903210305
1992-11-01,2968.3424801192605
1992-12-01,3407.16378994807
1993-01-01,3544.44663445555
1993-02-01,3321.3406666163696
1993-03-01,3268.8371707538104
1993-04-01,3297.2541723325103
1993-05-01,3471.8988100791
1993-06-01,3682.1716043825395
1993-07-01,3375.97259335232
1993-08-01,3545.0166926629
1993-09-01,3353.5171611079804
1993-10-01,3835.30134147743
1993-11-01,4294.636516473811
1993-12-01,4232.29977140264
1994-01-01,3811.4699736802204
1994-02-01,3364.13616204547
1994-03-01,4473.00777037302
1994-04-01,4145.76385705335
1994-05-01,4818.123197706211
1994-06-01,3979.6475950980703
1994-07-01,4042.9754375354705
1994-08-01,4385.95362115845
1994-09-01,4082.34697498654
1994-10-01,3919.59233010341
1994-11-01,3829.9127837437
1994-12-01,4425.83668745826
1995-01-01,3718.2268770207
1995-02-01,3805.38585044373
1995-03-01,3850.51688567692
1995-04-01,3298.4052538198803
1995-05-01,3664.17597092459
1995-06-01,4126.03047874895
1995-07-01,3800.4550383692604
1995-08-01,4734.53005900714
1995-09-01,4428.92622483961
1995-10-01,3855.5557717739293
1995-11-01,4258.86653423363
1995-12-01,3737.12248342041
1996-01-01,4072.77030712526
1996-02-01,3906.1993681384706
1996-03-01,3620.28833833031
1996-04-01,4794.60756630815
1996-05-01,4353.9065372735295
1996-06-01,3896.4152929309603
1996-07-01,4259.057293790879
1996-08-01,4258.66761531023
1996-09-01,4114.70573587182
1996-10-01,4260.29260604497
1996-11-01,4288.087267845829
1996-12-01,3868.7163316583
1997-01-01,4120.080055567621
1997-02-01,3776.4686584108704
1997-03-01,4153.9568020284705
1997-04-01,4081.0346079545097
1997-05-01,3893.1786376232103
1997-06-01,3749.05698977387
1997-07-01,4014.2162020207
1997-08-01,3344.0073674062
1997-09-01,3779.9811070977294
1997-10-01,4020.1023078494604
1997-11-01,3672.84584228524
1997-12-01,4069.0347145015794
1998-01-01,3912.9687071920794
1998-02-01,4048.3888222586997
1998-03-01,3591.0457065360997
1998-04-01,4022.60879957279
1998-05-01,3579.319151366379
1998-06-01,4117.08970445057
1998-07-01,3860.7911162126793
1998-08-01,3432.4890762075897
1998-09-01,3823.5978734783794
1998-10-01,4467.412153770179
1998-11-01,3719.0777304275
1998-12-01,5065.7226146433395
1999-01-01,3899.60121473707
