DATE,TXBPPRIVSA
1988-01-01,2982.85399145665
1988-02-01,3399.14663191378
1988-03-01,3632.8114259958
1988-04-01,3354.4803399840002
1988-05-01,3160.4545627953003
1988-06-01,3421.87465157805
1988-07-01,3244.04213118916
1988-08-01,3345.75971967224
1988-09-01,3526.7390609276704
1988-10-01,3241.4593241117
1988-11-01,3429.5677856449397
1988-12-01,3204.8771498082
1989-01-01,3302.5588327390997
1989-02-01,3058.57388869433
1989-03-01,4622.73550211962
1989-04-01,3091.8809113854
1989-05-01,3255.7537853426597
1989-06-01,2941.6195763680603
1989-07-01,3018.39602972055
1989-08-01,3925.2296264502897
1989-09-01,3045.3220885129
1989-10-01,3427.86279822789
1989-11-01,3527.8571385570003
1989-12-01,3760.3447055978295
1990-01-01,7414.48457987832
1990-02-01,3615.8626588776897
1990-03-01,3339.67611865278
1990-04-01,3644.92984262057
1990-05-01,3754.3273668856395
1990-06-01,3952.23685706981
1990-07-01,3808.18318231557
1990-08-01,3942.85560159818
1990-09-01,3321.1426640858504
1990-10-01,3465.71196354127
1990-11-01,3546.0556011154204
1990-12-01,2743.72514364448
1991-01-01,3664.0132823444605
1991-02-01,3717.14905635329
1991-03-01,3566.2984837766103
1991-04-01,3641.8897205717208
1991-05-01,4492.85123323705
1991-06-01,4136.38387693637
1991-07-01,4474.06025687214
1991-08-01,4194.52986012808
1991-09-01,4956.99211878368
1991-10-01,5809.291168610911
1991-11-01,4919.13994860574
1991-12-01,3927.04875384714
1992-01-01,4204.9368957565
1992-02-01,5390.83838742697
1992-03-01,5087.75352217661
1992-04-01,5541.67601622406
1992-05-01,4400.0006665911405
1992-06-01,5536.066608018821
1992-07-01,5370.63298864633
1992-08-01,5005.47111631781
1992-09-01,5057.30083350998
1992-10-01,5996.12004415129
1992-11-01,4956.76129407881
1992-12-01,5416.5351529729105
1993-01-01,5911.08525824402
1993-02-01,5246.880471877021
1993-03-01,6272.07305935744
1993-04-01,5635.93220980162
1993-05-01,6013.8889318865895
1993-06-01,5716.84318974352
1993-07-01,6104.453450677111
1993-08-01,6625.60213180167
1993-09-01,6718.507223168411
1993-10-01,6337.84578684765
1993-11-01,6413.207083802679
1993-12-01,9720.92005153512
1994-01-01,8313.47935011244
1994-02-01,7163.666295631559
1994-03-01,10644.5176991317
1994-04-01,9378.39819499422
1994-05-01,7642.186375602149
1994-06-01,7973.14149735377
1994-07-01,7062.15171472857
1994-08-01,8632.438581171
1994-09-01,10722.3872980178
1994-10-01,7470.288726244559
1994-11-01,9030.63140478627
1994-12-01,8730.31729772923
1995-01-01,7955.52422847957
1995-02-01,9338.35226584168
1995-03-01,7538.56257988402
1995-04-01,6520.73289377235
1995-05-01,8776.376274818771
1995-06-01,8405.429002925981
1995-07-01,8562.219676977758
1995-08-01,8501.40818629264
1995-09-01,9931.23213839803
1995-10-01,9549.40713188302
1995-11-01,9161.53807388195
1995-12-01,8030.424852165509
1996-01-01,9727.95760999434
1996-02-01,9142.092035019308
1996-03-01,8835.55103630313
1996-04-01,9070.121109276779
1996-05-01,10348.769718274
1996-06-01,9359.39300918983
1996-07-01,10276.8108449648
1996-08-01,9501.531716590509
1996-09-01,8735.38413298634
1996-10-01,9161.98854756996
1996-11-01,10403.3880625855
1996-12-01,12614.491247612801
1997-01-01,8989.736410294041
1997-02-01,9330.48716754762
1997-03-01,9783.798791263449
1997-04-01,10529.3895027125
1997-05-01,9185.75975311006
1997-06-01,10186.6426918544
1997-07-01,10146.2933893403
1997-08-01,10024.5490147175
1997-09-01,13251.504598905902
1997-10-01,10852.4236493681
1997-11-01,9776.57265552627
1997-12-01,11258.2971784958
1998-01-01,9455.137760209791
1998-02-01,11532.179999760201
1998-03-01,15206.423689648798
1998-04-01,12178.8557021553
1998-05-01,12986.8193282488
1998-06-01,13295.612033899399
1998-07-01,13256.6220780697
1998-08-01,13175.276804965
1998-09-01,13685.666332011799
1998-10-01,13657.2783592579
1998-11-01,10856.6089242105
1998-12-01,12471.310127344099
1999-01-01,13676.0297585223
1999-02-01,13241.4761136003
1999-03-01,12439.830026231299
1999-04-01,11627.132217273
1999-05-01,10875.996499656
1999-06-01,11232.5307164083
1999-07-01,13168.523503780802
1999-08-01,12340.4521966282
1999-09-01,11336.566430385401
1999-10-01,11617.917520806499
1999-11-01,11708.290947298701
1999-12-01,11289.7170185048
2000-01-01,10623.7649664857
2000-02-01,11600.2964630805
2000-03-01,11327.8891854153
2000-04-01,10122.8855371941
2000-05-01,11278.3560380301
2000-06-01,11854.9531765886
2000-07-01,10384.3334638353
2000-08-01,10960.9047686841
2000-09-01,11978.8709971675
2000-10-01,11678.3068093726
2000-11-01,11759.4252272366
2000-12-01,9208.50267264653
2001-01-01,13247.435891564799
2001-02-01,11663.2167018064
2001-03-01,11847.5637454105
2001-04-01,12275.002725361399
2001-05-01,12413.6012149551
2001-06-01,11140.9758490251
2001-07-01,11766.4836470723
2001-08-01,11072.6004299093
2001-09-01,11049.935239888
2001-10-01,11930.717981260701
2001-11-01,13371.2468583846
2001-12-01,12995.041433674
2002-01-01,12938.197687093301
2002-02-01,12428.4479943334
2002-03-01,13128.4674223896
2002-04-01,13214.3526193581
2002-05-01,13439.1962031571
2002-06-01,13031.9190944957
2002-07-01,13195.3738354038
2002-08-01,13904.474321509399
2002-09-01,12162.970388329499
2002-10-01,13349.3265394074
2002-11-01,13768.0397093487
2002-12-01,14793.1805849804
2003-01-01,13289.5917428961
2003-02-01,16025.4600058796
2003-03-01,12983.0630649673
2003-04-01,14020.4552892797
