State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
Ohio,OH,39,1981,1.62,159.63,73.08,49.61
Ohio,OH,39,1982,-5.45,150.92,69.09,46.91
Ohio,OH,39,1983,7.97,162.96,74.6,50.65
Ohio,OH,39,1984,2.22,166.58,76.26,51.77
Ohio,OH,39,1985,2.06,170.01,77.83,52.84
Ohio,OH,39,1986,3.66,176.23,80.68,54.77
Ohio,OH,39,1987,5.33,185.63,84.98,57.69
Ohio,OH,39,1988,7.41,199.39,91.28,61.97
Ohio,OH,39,1989,5.13,209.63,95.97,65.15
Ohio,OH,39,1990,4.2,218.44,100,67.89
Ohio,OH,39,1991,3.52,226.13,103.52,70.28
Ohio,OH,39,1992,3.17,233.3,106.8,72.51
Ohio,OH,39,1993,3.24,240.86,110.27,74.86
Ohio,OH,39,1994,4.07,250.68,114.76,77.91
Ohio,OH,39,1995,5.26,263.86,120.79,82.01
Ohio,OH,39,1996,4.26,275.11,125.94,85.5
Ohio,OH,39,1997,4.31,286.97,131.37,89.19
Ohio,OH,39,1998,3.57,297.2,136.06,92.37
Ohio,OH,39,1999,3.48,307.54,140.79,95.58
Ohio,OH,39,2000,4.62,321.75,147.3,100
Ohio,OH,39,2001,4.25,335.42,153.55,104.25
Ohio,OH,39,2002,2.35,343.29,157.16,106.69
Ohio,OH,39,2003,1.66,348.99,159.77,108.47
Ohio,OH,39,2004,3.11,359.84,164.73,111.84
Ohio,OH,39,2005,3.48,372.36,170.46,115.73
Ohio,OH,39,2006,0.65,374.79,171.58,116.48
Ohio,OH,39,2007,-1.16,370.43,169.58,115.13
Ohio,OH,39,2008,-2.4,361.53,165.51,112.36
Ohio,OH,39,2009,-3.1,350.31,160.37,108.87
Ohio,OH,39,2010,-3.41,338.35,154.89,105.16
Ohio,OH,39,2011,-3.65,326,149.24,101.32
Ohio,OH,39,2012,-1.62,320.7,146.82,99.67
Ohio,OH,39,2013,0.27,321.58,147.22,99.95
Ohio,OH,39,2014,3.33,332.3,152.13,103.28
Ohio,OH,39,2015,3.44,343.73,157.36,106.83
Ohio,OH,39,2016,3.89,357.11,163.48,110.99
Ohio,OH,39,2017,4.92,374.69,171.53,116.45
Ohio,OH,39,2018,5.72,396.11,181.34,123.11
Ohio,OH,39,2019,4.75,414.93,189.95,128.96
Ohio,OH,39,2020,4.25,432.56,198.03,134.44
Ohio,OH,39,2021,10.89,479.66,219.59,149.08
Ohio,OH,39,2022,13.45,544.16,249.11,169.12
Oklahoma,OK,40,1975,,100,53.41,37.42
Oklahoma,OK,40,1976,11.14,111.14,59.36,41.59
Oklahoma,OK,40,1977,9.47,121.67,64.98,45.53
Oklahoma,OK,40,1978,21.48,147.8,78.94,55.3
Oklahoma,OK,40,1979,15.46,170.66,91.15,63.86
Oklahoma,OK,40,1980,10.85,189.17,101.03,70.78
Oklahoma,OK,40,1981,8.93,206.05,110.05,77.1
Oklahoma,OK,40,1982,9.77,226.18,120.8,84.63
Oklahoma,OK,40,1983,3.48,234.04,125,87.57
Oklahoma,OK,40,1984,-3.14,226.68,121.07,84.82
Oklahoma,OK,40,1985,-3.7,218.3,116.59,81.68
Oklahoma,OK,40,1986,-2.79,212.21,113.34,79.4
Oklahoma,OK,40,1987,-7.14,197.06,105.25,73.73
Oklahoma,OK,40,1988,-8.76,179.8,96.03,67.28
Oklahoma,OK,40,1989,2.9,185.01,98.81,69.23
Oklahoma,OK,40,1990,1.2,187.23,100,70.06
Oklahoma,OK,40,1991,3.23,193.27,103.23,72.32
Oklahoma,OK,40,1992,2.8,198.67,106.11,74.34
Oklahoma,OK,40,1993,3.63,205.89,109.96,77.04
Oklahoma,OK,40,1994,3.71,213.52,114.04,79.9
Oklahoma,OK,40,1995,3.68,221.37,118.23,82.83
Oklahoma,OK,40,1996,3.7,229.56,122.61,85.9
Oklahoma,OK,40,1997,3.03,236.52,126.32,88.5
Oklahoma,OK,40,1998,4.14,246.32,131.56,92.17
Oklahoma,OK,40,1999,3.7,255.44,136.43,95.58
Oklahoma,OK,40,2000,4.62,267.25,142.74,100
Oklahoma,OK,40,2001,4.94,280.47,149.8,104.94
Oklahoma,OK,40,2002,3.34,289.83,154.79,108.45
Oklahoma,OK,40,2003,2.89,298.2,159.27,111.58
Oklahoma,OK,40,2004,3.9,309.82,165.48,115.93
Oklahoma,OK,40,2005,4.94,325.13,173.65,121.66
Oklahoma,OK,40,2006,4.58,340.01,181.6,127.22
Oklahoma,OK,40,2007,3.89,353.22,188.66,132.17
Oklahoma,OK,40,2008,1.76,359.43,191.97,134.49
Oklahoma,OK,40,2009,-0.13,358.98,191.73,134.32
Oklahoma,OK,40,2010,-0.62,356.74,190.53,133.49
Oklahoma,OK,40,2011,-1.59,351.07,187.5,131.36
Oklahoma,OK,40,2012,0.92,354.3,189.23,132.57
Oklahoma,OK,40,2013,1.66,360.19,192.37,134.78
Oklahoma,OK,40,2014,3.18,371.64,198.49,139.06
Oklahoma,OK,40,2015,3.52,384.74,205.49,143.96
Oklahoma,OK,40,2016,2.41,394,210.43,147.43
Oklahoma,OK,40,2017,3.38,407.32,217.54,152.41
Oklahoma,OK,40,2018,2.98,419.43,224.02,156.94
Oklahoma,OK,40,2019,3.67,434.82,232.23,162.7
Oklahoma,OK,40,2020,3.78,451.24,241,168.84
Oklahoma,OK,40,2021,9.74,495.18,264.48,185.29
Oklahoma,OK,40,2022,15.08,569.87,304.36,213.23
Oregon,OR,41,1975,,100,41.9,22.6
Oregon,OR,41,1976,11.05,111.05,46.53,25.1
Oregon,OR,41,1977,19.51,132.72,55.61,30
Oregon,OR,41,1978,18.73,157.58,66.02,35.62
Oregon,OR,41,1979,13.95,179.56,75.23,40.59
Oregon,OR,41,1980,5.42,189.29,79.31,42.79
Oregon,OR,41,1981,-4.45,180.86,75.78,40.88
Oregon,OR,41,1982,2.72,185.79,77.84,42
Oregon,OR,41,1983,1.33,188.25,78.87,42.55
Oregon,OR,41,1984,-1.8,184.86,77.45,41.79
Oregon,OR,41,1985,-0.95,183.11,76.72,41.39
Oregon,OR,41,1986,0.25,183.57,76.91,41.49
Oregon,OR,41,1987,0.6,184.67,77.37,41.74
Oregon,OR,41,1988,4.24,192.49,80.65,43.51
Oregon,OR,41,1989,9.13,210.06,88.01,47.48
Oregon,OR,41,1990,13.62,238.68,100,53.95
Oregon,OR,41,1991,8.82,259.72,108.82,58.71
Oregon,OR,41,1992,6.13,275.65,115.49,62.31
Oregon,OR,41,1993,7.05,295.08,123.63,66.7
Oregon,OR,41,1994,8.44,319.98,134.07,72.33
Oregon,OR,41,1995,10.77,354.45,148.51,80.12
Oregon,OR,41,1996,6.3,376.78,157.86,85.17
Oregon,OR,41,1997,6.57,401.51,168.22,90.76
Oregon,OR,41,1998,3.66,416.22,174.39,94.08
Oregon,OR,41,1999,2.43,426.35,178.63,96.37
Oregon,OR,41,2000,3.76,442.4,185.35,100
Oregon,OR,41,2001,4.58,462.68,193.85,104.58
Oregon,OR,41,2002,3.6,479.36,200.84,108.35
Oregon,OR,41,2003,2.99,493.69,206.85,111.59
Oregon,OR,41,2004,8.79,537.09,225.03,121.4
Oregon,OR,41,2005,16.48,625.6,262.11,141.41
Oregon,OR,41,2006,16.07,726.16,304.24,164.14
Oregon,OR,41,2007,5.39,765.28,320.64,172.99
Oregon,OR,41,2008,-2.7,744.65,311.99,168.32
Oregon,OR,41,2009,-9.71,672.34,281.7,151.98
Oregon,OR,41,2010,-8.08,618.04,258.95,139.7
Oregon,OR,41,2011,-6.8,575.99,241.33,130.2
Oregon,OR,41,2012,-1.46,567.56,237.8,128.29
Oregon,OR,41,2013,6.14,602.44,252.41,136.18
Oregon,OR,41,2014,9.55,659.97,276.51,149.18
Oregon,OR,41,2015,7.82,711.57,298.13,160.84
Oregon,OR,41,2016,10.9,789.12,330.63,178.37
Oregon,OR,41,2017,7.99,852.18,357.04,192.63
Oregon,OR,41,2018,6.28,905.68,379.46,204.72
Oregon,OR,41,2019,4.35,945.06,395.96,213.62
Oregon,OR,41,2020,3.43,977.51,409.56,220.96
Oregon,OR,41,2021,13.47,1109.17,464.72,250.72
Oregon,OR,41,2022,13.93,1263.7,529.46,285.65
Pennsylvania,PA,42,1975,,100,37.63,31.43
Pennsylvania,PA,42,1976,5.48,105.48,39.7,33.16
Pennsylvania,PA,42,1977,5.68,111.48,41.95,35.04
Pennsylvania,PA,42,1978,8.03,120.43,45.32,37.86
Pennsylvania,PA,42,1979,11.84,134.69,50.69,42.34
Pennsylvania,PA,42,1980,4.71,141.04,53.08,44.34
Pennsylvania,PA,42,1981,4.02,146.71,55.21,46.12
Pennsylvania,PA,42,1982,1.36,148.71,55.96,46.75
Pennsylvania,PA,42,1983,5.48,156.85,59.03,49.31
Pennsylvania,PA,42,1984,6.15,166.5,62.66,52.34
Pennsylvania,PA,42,1985,5.87,176.27,66.34,55.41
Pennsylvania,PA,42,1986,7.77,189.97,71.49,59.72
Pennsylvania,PA,42,1987,11.97,212.71,80.05,66.87
Pennsylvania,PA,42,1988,15.13,244.9,92.16,76.98
Pennsylvania,PA,42,1989,6.23,260.16,97.91,81.78
Pennsylvania,PA,42,1990,2.14,265.72,100,83.53
Pennsylvania,PA,42,1991,1.45,269.57,101.45,84.74
Pennsylvania,PA,42,1992,1.65,274.02,103.13,86.14
Pennsylvania,PA,42,1993,0.99,276.74,104.15,86.99
Pennsylvania,PA,42,1994,0.24,277.4,104.4,87.2
Pennsylvania,PA,42,1995,1,280.18,105.44,88.07
Pennsylvania,PA,42,1996,1.66,284.83,107.19,89.54
Pennsylvania,PA,42,1997,1.4,288.81,108.69,90.79
Pennsylvania,PA,42,1998,2.76,296.78,111.69,93.29
Pennsylvania,PA,42,1999,2.5,304.18,114.48,95.62
Pennsylvania,PA,42,2000,4.58,318.12,119.72,100
Pennsylvania,PA,42,2001,5.89,336.87,126.78,105.89
Pennsylvania,PA,42,2002,5.53,355.49,133.79,111.75
Pennsylvania,PA,42,2003,4.59,371.81,139.93,116.88
Pennsylvania,PA,42,2004,9.36,406.62,153.03,127.82
Pennsylvania,PA,42,2005,11.41,453,170.48,142.4
Pennsylvania,PA,42,2006,7.6,487.42,183.44,153.22
Pennsylvania,PA,42,2007,2.48,499.49,187.98,157.01
Pennsylvania,PA,42,2008,-0.74,495.8,186.59,155.85
Pennsylvania,PA,42,2009,-3.24,479.71,180.53,150.8
Pennsylvania,PA,42,2010,-2.49,467.76,176.04,147.04
Pennsylvania,PA,42,2011,-2.38,456.61,171.84,143.53
Pennsylvania,PA,42,2012,-1.69,448.88,168.93,141.11
Pennsylvania,PA,42,2013,0.77,452.34,170.23,142.19
Pennsylvania,PA,42,2014,1.96,461.2,173.57,144.98
Pennsylvania,PA,42,2015,2.24,471.52,177.45,148.22
Pennsylvania,PA,42,2016,2.47,483.15,181.83,151.88
Pennsylvania,PA,42,2017,3.55,500.28,188.28,157.26
Pennsylvania,PA,42,2018,4.35,522.05,196.47,164.1
Pennsylvania,PA,42,2019,3.89,542.38,204.12,170.49
Pennsylvania,PA,42,2020,3.48,561.28,211.23,176.44
Pennsylvania,PA,42,2021,9.73,615.89,231.78,193.6
Pennsylvania,PA,42,2022,12.84,694.94,261.53,218.45
Rhode Island,RI,44,1975,,100,26.45,23.79
Rhode Island,RI,44,1976,3.77,103.77,27.44,24.69
Rhode Island,RI,44,1977,7.77,111.84,29.58,26.61
Rhode Island,RI,44,1978,13.4,126.82,33.54,30.18
Rhode Island,RI,44,1979,10.73,140.44,37.14,33.42
Rhode Island,RI,44,1980,9.23,153.39,40.56,36.5
Rhode Island,RI,44,1981,6.43,163.25,43.17,38.85
Rhode Island,RI,44,1982,1.44,165.61,43.79,39.41
Rhode Island,RI,44,1983,7.55,178.11,47.1,42.38
Rhode Island,RI,44,1984,7.9,192.17,50.82,45.73
Rhode Island,RI,44,1985,11,213.31,56.41,50.76
Rhode Island,RI,44,1986,18.67,253.14,66.94,60.23
Rhode Island,RI,44,1987,25.89,318.67,84.27,75.83
Rhode Island,RI,44,1988,15.66,368.56,97.47,87.7
Rhode Island,RI,44,1989,4.12,383.76,101.49,91.32
Rhode Island,RI,44,1990,-1.46,378.14,100,89.98
Rhode Island,RI,44,1991,-3.81,363.75,96.19,86.55
Rhode Island,RI,44,1992,-2.19,355.77,94.08,84.65
Rhode Island,RI,44,1993,-0.94,352.43,93.2,83.86
Rhode Island,RI,44,1994,-1.62,346.73,91.69,82.5
Rhode Island,RI,44,1995,-0.37,345.44,91.35,82.2
Rhode Island,RI,44,1996,0.85,348.37,92.13,82.89
Rhode Island,RI,44,1997,0.7,350.82,92.78,83.48
Rhode Island,RI,44,1998,3.07,361.61,95.63,86.04
Rhode Island,RI,44,1999,3.9,375.71,99.36,89.4
Rhode Island,RI,44,2000,11.86,420.26,111.14,100
Rhode Island,RI,44,2001,10.97,466.38,123.34,110.97
Rhode Island,RI,44,2002,14.17,532.47,140.81,126.7
Rhode Island,RI,44,2003,10.92,590.62,156.19,140.54
Rhode Island,RI,44,2004,18.16,697.87,184.55,166.06
Rhode Island,RI,44,2005,14.2,797,210.77,189.64
Rhode Island,RI,44,2006,3.99,828.78,219.17,197.2
Rhode Island,RI,44,2007,-2.4,808.9,213.91,192.48
Rhode Island,RI,44,2008,-7.16,751,198.6,178.7
Rhode Island,RI,44,2009,-9.53,679.43,179.67,161.67
Rhode Island,RI,44,2010,-4.43,649.34,171.72,154.51
Rhode Island,RI,44,2011,-4.63,619.3,163.77,147.36
Rhode Island,RI,44,2012,-3.7,596.39,157.72,141.91
Rhode Island,RI,44,2013,-0.16,595.43,157.46,141.68
Rhode Island,RI,44,2014,3.09,613.83,162.33,146.06
Rhode Island,RI,44,2015,4.45,641.17,169.56,152.56
Rhode Island,RI,44,2016,4.76,671.69,177.63,159.83
Rhode Island,RI,44,2017,5.91,711.38,188.13,169.27
Rhode Island,RI,44,2018,6.28,756.09,199.95,179.91
Rhode Island,RI,44,2019,4.43,789.58,208.8,187.88
Rhode Island,RI,44,2020,4.45,824.74,218.1,196.25
Rhode Island,RI,44,2021,13.33,934.67,247.17,222.4
Rhode Island,RI,44,2022,15.74,1081.83,286.09,257.42
South Carolina,SC,45,1975,,100,45.49,32.38
South Carolina,SC,45,1976,5.55,105.55,48.01,34.17
South Carolina,SC,45,1977,4.44,110.24,50.14,35.69
South Carolina,SC,45,1978,10.22,121.5,55.27,39.34
South Carolina,SC,45,1979,10.33,134.05,60.98,43.4
South Carolina,SC,45,1980,9.98,147.43,67.06,47.73
South Carolina,SC,45,1981,9.64,161.64,73.53,52.34
South Carolina,SC,45,1982,3.75,167.71,76.29,54.3
South Carolina,SC,45,1983,2.41,171.75,78.13,55.61
South Carolina,SC,45,1984,3.31,177.44,80.71,57.45
South Carolina,SC,45,1985,3.64,183.89,83.65,59.54
South Carolina,SC,45,1986,3.31,189.98,86.42,61.51
South Carolina,SC,45,1987,3.82,197.23,89.72,63.86
South Carolina,SC,45,1988,4.33,205.77,93.6,66.62
South Carolina,SC,45,1989,3.83,213.65,97.18,69.17
South Carolina,SC,45,1990,2.9,219.84,100,71.18
South Carolina,SC,45,1991,2.33,224.96,102.33,72.84
South Carolina,SC,45,1992,2.06,229.59,104.43,74.33
South Carolina,SC,45,1993,1.68,233.45,106.19,75.58
South Carolina,SC,45,1994,2.23,238.66,108.56,77.27
South Carolina,SC,45,1995,3.8,247.72,112.68,80.2
South Carolina,SC,45,1996,3.92,257.42,117.09,83.34
South Carolina,SC,45,1997,4.37,268.66,122.2,86.98
South Carolina,SC,45,1998,4.37,280.4,127.55,90.79
South Carolina,SC,45,1999,4.59,293.28,133.4,94.95
South Carolina,SC,45,2000,5.31,308.86,140.49,100
South Carolina,SC,45,2001,5.01,324.34,147.53,105.01
South Carolina,SC,45,2002,2.73,333.2,151.56,107.88
South Carolina,SC,45,2003,1.97,339.77,154.55,110.01
South Carolina,SC,45,2004,4.03,353.45,160.78,114.44
South Carolina,SC,45,2005,7.17,378.78,172.3,122.64
South Carolina,SC,45,2006,7.35,406.62,184.96,131.65
South Carolina,SC,45,2007,4.08,423.21,192.51,137.02
South Carolina,SC,45,2008,0.56,425.58,193.59,137.79
South Carolina,SC,45,2009,-2.87,413.39,188.04,133.84
South Carolina,SC,45,2010,-5.39,391.1,177.9,126.63
South Carolina,SC,45,2011,-3.96,375.59,170.85,121.61
South Carolina,SC,45,2012,-1.95,368.28,167.52,119.24
South Carolina,SC,45,2013,0.57,370.38,168.47,119.92
South Carolina,SC,45,2014,2.95,381.29,173.44,123.45
South Carolina,SC,45,2015,4.42,398.14,181.11,128.91
South Carolina,SC,45,2016,4.71,416.9,189.64,134.98
South Carolina,SC,45,2017,5.45,439.62,199.97,142.34
South Carolina,SC,45,2018,5.95,465.77,211.87,150.8
South Carolina,SC,45,2019,4.96,488.89,222.38,158.29
South Carolina,SC,45,2020,3.5,505.98,230.16,163.82
South Carolina,SC,45,2021,11.15,562.4,255.82,182.09
South Carolina,SC,45,2022,18.78,668.03,303.87,216.29
South Dakota,SD,46,1975,,100,52.36,33.48
South Dakota,SD,46,1976,3.13,103.13,54,34.53
South Dakota,SD,46,1977,10.25,113.71,59.53,38.07
South Dakota,SD,46,1978,12.85,128.32,67.18,42.96
South Dakota,SD,46,1979,11.5,143.07,74.91,47.9
South Dakota,SD,46,1980,5.12,150.4,78.74,50.35
South Dakota,SD,46,1981,-3.05,145.81,76.34,48.82
South Dakota,SD,46,1982,12.45,163.96,85.84,54.89
South Dakota,SD,46,1983,-6.61,153.13,80.17,51.26
South Dakota,SD,46,1984,13.39,173.63,90.9,58.13
South Dakota,SD,46,1985,-0.99,171.91,90.01,57.55
South Dakota,SD,46,1986,3.1,177.24,92.79,59.34
South Dakota,SD,46,1987,1.87,180.55,94.53,60.45
South Dakota,SD,46,1988,-1.76,177.38,92.87,59.38
South Dakota,SD,46,1989,3.2,183.05,95.84,61.28
South Dakota,SD,46,1990,4.34,191,100,63.94
South Dakota,SD,46,1991,4.27,199.16,104.27,66.67
South Dakota,SD,46,1992,4.93,208.97,109.41,69.96
South Dakota,SD,46,1993,6.52,222.59,116.54,74.52
South Dakota,SD,46,1994,6.17,236.31,123.72,79.11
South Dakota,SD,46,1995,5.1,248.37,130.04,83.15
South Dakota,SD,46,1996,3.44,256.93,134.52,86.02
South Dakota,SD,46,1997,4.23,267.8,140.21,89.65
South Dakota,SD,46,1998,3.11,276.13,144.57,92.44
South Dakota,SD,46,1999,3.2,284.97,149.2,95.4
South Dakota,SD,46,2000,4.82,298.7,156.39,100
South Dakota,SD,46,2001,4.19,311.23,162.95,104.19
South Dakota,SD,46,2002,3.44,321.95,168.56,107.78
South Dakota,SD,46,2003,2.46,329.87,172.7,110.43
South Dakota,SD,46,2004,5.3,347.34,181.85,116.28
South Dakota,SD,46,2005,6.78,370.89,194.18,124.17
South Dakota,SD,46,2006,4.75,388.51,203.41,130.07
South Dakota,SD,46,2007,3.56,402.36,210.66,134.7
South Dakota,SD,46,2008,2.18,411.11,215.24,137.63
South Dakota,SD,46,2009,-0.02,411.05,215.21,137.61
South Dakota,SD,46,2010,-1.21,406.07,212.6,135.95
South Dakota,SD,46,2011,-0.12,405.57,212.34,135.78
South Dakota,SD,46,2012,1.15,410.21,214.77,137.33
South Dakota,SD,46,2013,3.06,422.75,221.33,141.53
South Dakota,SD,46,2014,3.36,436.97,228.78,146.29
South Dakota,SD,46,2015,3.52,452.36,236.84,151.44
South Dakota,SD,46,2016,4.46,472.55,247.41,158.2
South Dakota,SD,46,2017,4.98,496.1,259.73,166.08
South Dakota,SD,46,2018,4.6,518.91,271.68,173.72
South Dakota,SD,46,2019,4.32,541.31,283.41,181.22
South Dakota,SD,46,2020,3.04,557.74,292.01,186.72
South Dakota,SD,46,2021,10.85,618.24,323.68,206.98
South Dakota,SD,46,2022,17.11,724.02,379.07,242.39
Tennessee,TN,47,1975,,100,47.19,33.07
Tennessee,TN,47,1976,2.88,102.88,48.55,34.02
Tennessee,TN,47,1977,9.19,112.34,53.01,37.15
Tennessee,TN,47,1978,11.66,125.43,59.19,41.48
Tennessee,TN,47,1979,8.32,135.87,64.11,44.93
Tennessee,TN,47,1980,7.81,146.48,69.12,48.43
Tennessee,TN,47,1981,3.76,151.98,71.72,50.25
Tennessee,TN,47,1982,-0.38,151.39,71.44,50.06
Tennessee,TN,47,1983,8.67,164.52,77.64,54.4
Tennessee,TN,47,1984,2.64,168.86,79.68,55.84
Tennessee,TN,47,1985,7.07,180.79,85.32,59.78
Tennessee,TN,47,1986,5.45,190.64,89.96,63.04
Tennessee,TN,47,1987,5.66,201.43,95.05,66.61
Tennessee,TN,47,1988,3.26,207.99,98.15,68.77
Tennessee,TN,47,1989,1.4,210.9,99.52,69.74
Tennessee,TN,47,1990,0.48,211.91,100,70.07
Tennessee,TN,47,1991,0.94,213.91,100.94,70.73
Tennessee,TN,47,1992,2.28,218.8,103.25,72.35
Tennessee,TN,47,1993,2.69,224.68,106.03,74.3
Tennessee,TN,47,1994,4.47,234.72,110.77,77.62
Tennessee,TN,47,1995,6.22,249.32,117.65,82.44
Tennessee,TN,47,1996,4.59,260.77,123.06,86.23
Tennessee,TN,47,1997,4.62,272.81,128.74,90.21
Tennessee,TN,47,1998,4.03,283.79,133.92,93.84
Tennessee,TN,47,1999,3.11,292.63,138.09,96.76
Tennessee,TN,47,2000,3.34,302.42,142.71,100
Tennessee,TN,47,2001,3.81,313.94,148.15,103.81
Tennessee,TN,47,2002,2.3,321.16,151.56,106.2
Tennessee,TN,47,2003,1.81,326.97,154.3,108.12
Tennessee,TN,47,2004,3.61,338.78,159.87,112.03
Tennessee,TN,47,2005,6.4,360.46,170.1,119.19
Tennessee,TN,47,2006,7.08,386,182.15,127.64
Tennessee,TN,47,2007,4.05,401.64,189.53,132.81
Tennessee,TN,47,2008,0.2,402.43,189.91,133.07
Tennessee,TN,47,2009,-2.38,392.86,185.39,129.91
Tennessee,TN,47,2010,-3.46,379.26,178.97,125.41
Tennessee,TN,47,2011,-2.63,369.28,174.26,122.11
Tennessee,TN,47,2012,-0.97,365.69,172.57,120.92
Tennessee,TN,47,2013,1.54,371.33,175.23,122.79
Tennessee,TN,47,2014,4.16,386.76,182.51,127.89
Tennessee,TN,47,2015,4.33,403.51,190.41,133.43
Tennessee,TN,47,2016,5.61,426.14,201.09,140.91
Tennessee,TN,47,2017,7.01,456.01,215.19,150.79
Tennessee,TN,47,2018,6.99,487.88,230.23,161.33
Tennessee,TN,47,2019,5.53,514.87,242.96,170.25
Tennessee,TN,47,2020,4.31,537.08,253.45,177.6
Tennessee,TN,47,2021,13.42,609.17,287.46,201.43
Tennessee,TN,47,2022,20.28,732.73,345.77,242.29
Texas,TX,48,1975,,100,50.05,36.94
Texas,TX,48,1976,8.13,108.13,54.12,39.94
Texas,TX,48,1977,12.35,121.49,60.8,44.88
Texas,TX,48,1978,13.82,138.28,69.21,51.08
Texas,TX,48,1979,16.02,160.43,80.29,59.27
Texas,TX,48,1980,11.23,178.46,89.32,65.92
Texas,TX,48,1981,7.99,192.73,96.46,71.19
Texas,TX,48,1982,7.86,207.87,104.03,76.79
Texas,TX,48,1983,4.38,216.96,108.59,80.15
Texas,TX,48,1984,1.44,220.08,110.15,81.3
Texas,TX,48,1985,-0.51,218.97,109.59,80.89
Texas,TX,48,1986,0.91,220.95,110.58,81.62
Texas,TX,48,1987,-5.81,208.12,104.16,76.88
Texas,TX,48,1988,-6.17,195.29,97.74,72.14
Texas,TX,48,1989,0.94,197.12,98.65,72.82
Texas,TX,48,1990,1.37,199.81,100,73.81
Texas,TX,48,1991,2.03,203.87,102.03,75.31
Texas,TX,48,1992,2.93,209.84,105.02,77.52
Texas,TX,48,1993,2.25,214.56,107.38,79.26
Texas,TX,48,1994,1.96,218.77,109.49,80.82
Texas,TX,48,1995,1.58,222.23,111.22,82.09
Texas,TX,48,1996,2.28,227.3,113.76,83.97
Texas,TX,48,1997,2.14,232.16,116.19,85.76
Texas,TX,48,1998,4.23,241.97,121.1,89.39
Texas,TX,48,1999,4.75,253.47,126.86,93.63
Texas,TX,48,2000,6.8,270.7,135.48,100
Texas,TX,48,2001,5.82,286.46,143.37,105.82
Texas,TX,48,2002,3.09,295.32,147.8,109.09
Texas,TX,48,2003,2.04,301.34,150.81,111.32
Texas,TX,48,2004,2.18,307.91,154.1,113.75
Texas,TX,48,2005,4.4,321.47,160.89,118.76
Texas,TX,48,2006,5.72,339.88,170.1,125.55
Texas,TX,48,2007,4.7,355.86,178.1,131.46
Texas,TX,48,2008,1.41,360.87,180.61,133.31
Texas,TX,48,2009,-0.38,359.49,179.92,132.8
Texas,TX,48,2010,-1.39,354.5,177.42,130.95
Texas,TX,48,2011,-1.34,349.74,175.04,129.2
Texas,TX,48,2012,0.93,352.98,176.66,130.39
Texas,TX,48,2013,4.11,367.49,183.92,135.75
Texas,TX,48,2014,7.56,395.28,197.83,146.02
Texas,TX,48,2015,6.66,421.61,211.01,155.75
Texas,TX,48,2016,6.91,450.76,225.6,166.51
Texas,TX,48,2017,7,482.32,241.39,178.17
Texas,TX,48,2018,6.01,511.3,255.9,188.88
Texas,TX,48,2019,4.52,534.42,267.47,197.42
Texas,TX,48,2020,3.17,551.36,275.95,203.68
Texas,TX,48,2021,12.06,617.84,309.22,228.23
Texas,TX,48,2022,18,729.04,364.87,269.31
Utah,UT,49,1975,,100,47.58,24.71
Utah,UT,49,1976,11.24,111.24,52.93,27.49
Utah,UT,49,1977,14.2,127.04,60.45,31.4
Utah,UT,49,1978,17.27,148.98,70.88,36.82
Utah,UT,49,1979,14.99,171.3,81.51,42.34
Utah,UT,49,1980,4.72,179.39,85.35,44.33
Utah,UT,49,1981,8.4,194.46,92.53,48.06
Utah,UT,49,1982,3.18,200.64,95.47,49.59
Utah,UT,49,1983,0.6,201.84,96.04,49.88
Utah,UT,49,1984,0.26,202.37,96.29,50.01
Utah,UT,49,1985,2.24,206.89,98.44,51.13
Utah,UT,49,1986,1.05,209.07,99.48,51.67
Utah,UT,49,1987,-1.73,205.45,97.76,50.78
Utah,UT,49,1988,-3.01,199.26,94.81,49.25
Utah,UT,49,1989,2.13,203.51,96.83,50.29
Utah,UT,49,1990,3.27,210.17,100,51.94
Utah,UT,49,1991,5.48,221.68,105.48,54.79
Utah,UT,49,1992,5.07,232.93,110.83,57.57
Utah,UT,49,1993,10.81,258.1,122.81,63.79
Utah,UT,49,1994,13.2,292.16,139.01,72.2
Utah,UT,49,1995,13.89,332.72,158.31,82.23
Utah,UT,49,1996,6.86,355.55,169.17,87.87
Utah,UT,49,1997,6.54,378.8,180.24,93.62
Utah,UT,49,1998,3.75,393.03,187.01,97.13
Utah,UT,49,1999,1.36,398.37,189.55,98.45
Utah,UT,49,2000,1.57,404.63,192.53,100
Utah,UT,49,2001,3.38,418.31,199.03,103.38
Utah,UT,49,2002,0.86,421.91,200.75,104.27
Utah,UT,49,2003,0.42,423.66,201.58,104.7
Utah,UT,49,2004,2.75,435.3,207.12,107.58
Utah,UT,49,2005,9.75,477.76,227.32,118.07
Utah,UT,49,2006,15.65,552.53,262.9,136.55
Utah,UT,49,2007,11.58,616.53,293.35,152.37
Utah,UT,49,2008,-0.54,613.19,291.76,151.54
Utah,UT,49,2009,-8.5,561.08,266.97,138.67
Utah,UT,49,2010,-7.44,519.36,247.11,128.35
Utah,UT,49,2011,-5.39,491.38,233.8,121.44
Utah,UT,49,2012,0.95,496.06,236.03,122.59
Utah,UT,49,2013,6.47,528.14,251.29,130.52
Utah,UT,49,2014,6.82,564.18,268.44,139.43
Utah,UT,49,2015,4.75,590.98,281.19,146.05
Utah,UT,49,2016,7.5,635.32,302.29,157.01
Utah,UT,49,2017,8.81,691.29,328.92,170.84
